;united;president;states;trump;new;great;federal;world;charles;people;media;american;house;big;working;asked;court;reserve;war;good;republican;article;country;piece;america;democrats;man;party;news;russia;thing;service;washington;may;senate;state;hideous;bill;next;times;democratic;sunday;ruled;supreme;york;vote;10;history;white;released;director;live;hard;best;care;life;fake;seen;protect;j;2016;family;called;secret;army;machinery;trying;china;sanders;take;black;ready;ok;found;donald;latest;secretary;part;tired;beat;interest;restaurant;enough;list;plus;supporters;rates;ten;corrupt;cia;government;women;scott;economic;someone;muslims;raise;maher;fight;portland
united;0;6;22;0;0;2;0;2;0;6;0;0;0;0;0;0;4;0;4;6;0;0;0;0;2;0;2;0;0;2;2;0;2;0;4;2;0;0;4;0;0;0;2;2;0;0;2;4;0;2;0;2;0;2;0;2;0;0;0;0;0;0;2;2;0;0;0;2;0;2;2;0;0;0;0;2;4;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0
president;0;0;6;10;4;8;0;0;0;4;6;6;4;0;6;4;4;0;2;0;0;2;2;0;2;0;0;0;2;0;2;2;4;0;0;2;0;0;0;0;0;0;4;2;0;0;0;2;4;2;0;0;6;2;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
states;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;2;4;0;0;0;0;2;0;2;0;0;2;2;0;2;0;4;2;0;0;4;0;0;0;2;2;0;0;2;4;0;0;0;2;0;2;0;2;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;2;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0
trump;0;0;0;0;4;4;2;0;0;2;6;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;2;0;2;0;2;0;4;0;0;0;4;0;2;0;2;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;2;0;2;0;2;0;0;2;6;0;0;2;0;0;2;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0
new;0;0;0;0;0;2;2;0;0;0;2;0;0;2;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;4;2;0;0;8;0;0;2;0;4;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0
great;0;0;0;0;0;0;0;0;0;6;4;2;2;2;0;0;0;0;0;0;0;2;0;0;4;2;0;0;2;0;2;2;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;2;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;2;0;0;2;0;0;4;0;2;0;2;0;0;2;0;0;4;0;0;0
world;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;2;0;4;2;2;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0
charles;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
people;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
