;great;trump;national;federal;united;new;president;states;people;post;government;working;american;state;campaign;senate;law;washington;best;love;house;police;history;ing;department;bill;justice;big;morning;tax;country;used;million;hillary;war;news;favor;court;power;congress;investigation;voice;playing;credit;report;public;released;fbi;investigating;name;article;statement;vote;friend;good;arrested;communications;defeat;fake;presidential;continue;committee;2016;supreme;critical;democrats;regulate;help;break;millions;act;play;j;reporting;john;use;another;support;aid;crime;copy;democratic;xmen;michael;book;defense;pay;reserve;jerry;political;dollars;team;agency;saying;businesses;russia;win;clinton;internet;party
great;0;4;2;0;2;8;0;2;4;4;0;0;2;2;0;0;0;4;2;4;0;0;0;0;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;2;0;0;4;0;4;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;4;0;0;0;0;0;2;0;0;0;0;2;4;0;0;2;0;2;0;0;0;0;4;0;0;0
trump;0;0;2;0;0;2;4;0;0;4;2;6;2;0;8;0;0;4;4;0;0;0;0;0;2;0;4;6;0;0;0;0;2;2;0;4;0;0;2;0;2;0;0;0;4;0;0;4;2;0;2;0;2;0;0;0;0;2;2;0;2;2;0;0;0;4;0;4;0;0;0;0;4;2;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;2;2;0;2
national;0;0;0;0;2;2;4;2;4;0;2;2;4;0;4;0;0;2;0;2;2;0;0;0;2;0;2;0;2;0;2;2;2;2;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;6;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0
federal;0;0;0;0;0;0;2;0;0;2;8;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0
united;0;0;0;0;0;2;4;16;4;0;0;4;2;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;4;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0
new;0;0;0;0;0;0;0;2;4;4;0;0;2;2;0;0;0;4;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0
president;0;0;0;0;0;0;0;4;2;0;2;6;4;2;0;4;0;0;0;0;4;0;0;0;2;4;0;0;0;0;2;0;0;0;2;0;0;0;4;0;0;2;0;0;2;2;2;2;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
states;0;0;0;0;0;0;0;0;4;0;0;4;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;4;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;4;2;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
post;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;8;0;0;0;0;4;0;0;0;2;2;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0
