;united;great;people;president;states;trump;new;american;government;national;state;federal;obama;news;world;administration;best;department;working;house;justice;senate;washington;police;man;history;love;country;court;white;party;post;fbi;big;york;former;donald;good;help;america;democrats;campaign;million;republican;week;may;law;times;investigation;security;city;election;hillary;americans;2016;job;democratic;fake;bill;russia;another;called;crime;win;war;presidential;information;year;work;media;important;support;killed;supreme;vote;nothing;used;team;public;number;greatest;tax;report;following;proud;congress;released;committee;california;article;continue;thank;book;reporting;stop;fact;millions;republicans;trumps;china
united;0;16;28;32;150;10;14;22;8;4;18;2;8;4;10;8;2;6;12;0;4;4;10;2;6;14;6;10;8;0;2;2;2;8;4;2;4;2;8;20;4;0;2;2;0;2;0;2;0;8;2;4;2;2;4;2;4;0;0;4;2;4;4;6;4;6;2;4;2;0;2;6;2;8;4;0;0;6;0;4;6;0;2;4;8;8;2;0;2;2;8;4;4;2;6;6;0;0;0;6
great;0;0;28;24;14;18;22;32;2;8;8;2;6;8;4;6;10;0;10;6;2;6;4;0;8;6;14;4;0;2;4;6;0;14;8;0;6;2;2;2;4;0;0;8;6;0;0;6;2;0;0;2;2;2;4;10;0;0;0;0;2;4;2;8;4;4;2;6;4;2;6;2;2;0;2;6;2;12;0;0;6;0;6;2;8;6;0;2;6;4;2;6;4;0;4;2;0;0;4;2
people;0;0;0;22;20;14;6;42;10;14;4;12;6;8;14;10;8;12;12;4;10;0;4;6;10;12;12;14;6;2;4;4;6;0;2;2;2;6;6;8;6;2;4;2;6;4;2;2;6;10;10;2;2;2;0;2;2;6;0;2;4;4;0;0;2;2;6;4;4;6;4;4;2;4;4;4;2;2;2;6;2;0;2;2;4;0;0;2;4;4;6;2;0;2;8;6;4;6;2;4
president;0;0;0;0;30;64;24;26;10;16;14;14;18;2;4;4;2;8;8;12;10;14;10;2;6;6;4;8;2;8;6;4;6;8;14;2;22;0;8;8;2;4;0;8;6;10;8;8;8;4;4;6;8;0;8;0;4;2;8;2;4;10;8;4;4;6;2;0;2;0;2;0;2;0;4;2;6;4;4;4;0;8;2;4;4;4;4;2;0;6;0;0;2;8;4;4;2;4;22;4
states;0;0;0;0;0;10;14;18;6;4;18;2;8;2;6;6;4;4;8;0;4;4;8;2;6;10;4;10;10;0;2;2;0;8;4;2;4;2;8;18;4;2;2;4;0;2;0;2;0;6;2;4;2;2;4;2;4;0;0;4;2;2;2;8;4;6;2;6;2;0;2;6;2;10;4;0;0;4;0;4;4;0;2;4;6;8;2;0;2;2;8;2;2;2;6;6;2;2;0;6
trump;0;0;0;0;0;0;14;12;4;14;6;4;4;6;0;18;6;2;6;2;6;12;14;2;4;4;2;2;2;2;4;6;10;14;8;0;24;4;4;2;6;14;4;14;2;6;2;6;8;2;6;8;8;2;6;2;2;4;2;6;2;8;8;4;2;6;2;2;2;2;4;0;2;0;4;0;0;0;4;2;2;6;4;4;4;4;2;6;0;8;2;0;2;10;2;2;4;2;0;2
new;0;0;0;0;0;0;0;10;8;10;14;0;2;4;2;0;2;4;4;0;4;4;10;2;2;4;2;2;0;0;2;12;4;4;42;6;8;4;2;2;4;0;0;8;4;4;4;18;0;2;6;0;0;4;4;4;0;0;6;2;2;8;6;4;4;4;6;4;8;0;2;0;4;0;0;2;2;0;0;6;2;0;6;4;2;0;4;0;2;6;0;0;6;6;0;2;0;2;2;2
american;0;0;0;0;0;0;0;0;4;12;2;4;6;8;10;8;2;6;8;4;6;4;4;2;6;12;4;2;6;4;4;2;4;6;4;0;2;0;6;4;2;2;0;6;0;6;0;2;2;6;4;2;0;2;2;2;0;2;4;4;4;0;6;0;8;2;4;2;4;4;6;2;4;4;0;2;0;2;2;0;6;2;0;0;4;2;2;0;2;4;2;4;2;2;4;0;2;0;2;4
government;0;0;0;0;0;0;0;0;0;6;6;24;2;4;6;4;4;8;6;2;6;6;2;4;0;4;0;4;8;0;0;4;4;0;2;2;4;4;0;0;6;0;0;0;0;4;2;2;4;2;0;0;0;4;4;2;2;0;6;0;0;6;4;0;2;6;2;0;2;0;6;2;2;4;2;4;0;0;4;2;0;6;4;2;0;4;2;0;0;0;6;0;0;0;4;2;4;6;4;0
national;0;0;0;0;0;0;0;0;0;0;4;2;4;2;0;4;2;2;2;2;2;0;8;0;0;2;4;2;2;0;2;0;2;4;0;4;2;0;2;2;4;8;2;6;2;0;0;0;4;16;2;4;4;8;6;0;14;2;0;2;0;0;2;2;4;2;4;2;2;0;0;2;0;2;0;0;4;0;0;0;0;0;0;4;6;4;2;16;0;0;4;0;0;0;4;2;4;0;0;2
state;0;0;0;0;0;0;0;0;0;0;0;4;6;2;0;2;4;10;2;4;0;6;6;2;2;0;0;4;0;2;2;4;0;4;4;12;6;0;2;2;0;0;4;6;0;4;0;2;2;0;6;0;8;0;4;0;2;0;4;0;6;2;0;4;4;2;0;6;0;0;0;4;2;0;0;2;2;0;6;2;0;0;0;2;6;0;8;0;4;0;4;0;0;0;0;2;2;0;2;0
