;president;trump;great;states;united;people;government;new;state;history;american;national;news;house;federal;thank;help;job;man;good;white;campaign;city;best;amazing;working;2015;year;world;administration;republican;another;america;washington;party;fbi;senate;donald;important;democrats;china;court;country;mayor;team;health;thing;bill;media;love;york;stop;former;incredible;usa;big;war;week;article;act;russia;oil;greatest;lot;complete;police;investigation;voted;russian;called;seen;home;texas;billion;presidential;election;trying;win;local;night;announce;radical;proud;hard;work;care;nfl;isis;2;fight;biggest;law;think;believe;military;tuesday;department;major;thought;saturday
president;0;38;10;24;24;4;4;2;4;10;6;4;10;14;8;2;2;10;2;4;14;2;2;4;4;4;0;2;4;2;0;4;0;10;0;6;0;4;0;4;0;2;4;0;2;2;2;0;2;0;2;4;6;0;4;2;4;2;0;2;6;0;6;0;2;2;8;0;2;4;0;2;2;2;2;2;0;0;2;0;0;4;2;2;0;0;0;0;2;2;0;0;2;2;0;2;4;0;2;0
trump;0;0;6;14;12;6;6;6;6;4;8;6;12;12;8;0;2;2;0;2;16;14;4;0;2;4;0;0;0;10;2;4;2;12;6;10;0;18;2;2;2;0;2;0;0;2;2;0;6;2;4;8;4;2;2;0;4;2;2;4;6;0;4;2;0;2;8;2;2;2;0;2;2;2;4;2;2;4;2;0;0;2;0;2;0;0;0;2;0;0;4;2;2;2;0;0;6;2;4;0
great;0;0;0;4;2;10;6;4;10;4;10;2;6;4;6;6;0;8;8;4;2;0;6;2;6;8;0;2;0;2;8;6;8;6;0;2;2;2;4;0;0;2;4;0;4;0;0;4;2;2;0;2;0;2;2;2;2;6;0;0;0;2;0;4;4;0;0;2;0;0;4;2;0;0;2;4;0;0;2;2;4;2;2;4;0;0;0;0;0;4;0;0;0;0;2;2;0;2;0;2
states;0;0;0;0;60;6;12;8;6;8;4;0;2;2;6;0;2;4;0;2;0;2;2;4;2;2;0;2;8;6;2;4;6;2;2;0;4;2;0;2;2;0;8;0;2;0;4;0;0;2;4;4;0;2;2;2;8;0;0;2;6;2;4;0;0;0;2;0;2;0;0;2;0;2;0;0;2;4;6;0;2;0;2;0;2;0;0;6;2;8;2;2;2;2;0;0;2;2;0;0
united;0;0;0;0;0;6;12;6;2;6;2;0;2;2;6;0;0;4;0;2;0;2;0;4;2;2;0;0;8;4;2;4;4;2;2;0;4;2;0;2;2;0;4;0;2;0;4;0;0;2;4;4;0;2;2;4;8;0;0;0;6;2;4;0;2;0;2;0;2;0;0;2;0;2;0;0;2;2;4;0;2;0;2;0;0;0;0;6;2;8;0;0;2;2;0;0;2;0;0;0
people;0;0;0;0;0;0;12;2;8;2;12;4;0;2;4;0;0;4;2;2;4;4;0;4;4;2;0;2;4;0;2;2;4;2;4;2;2;0;2;2;4;2;4;0;0;4;2;2;2;2;0;2;0;6;2;2;4;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;4;2;0;0;4;0;0;2;2;0;0;2;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0
government;0;0;0;0;0;0;0;6;0;0;2;4;2;4;10;2;4;2;0;6;2;2;2;4;0;4;0;2;6;2;2;2;2;0;2;4;2;2;2;2;2;4;0;0;2;0;4;0;0;2;2;2;0;0;2;2;4;0;0;0;2;0;2;2;0;0;0;0;6;0;0;2;0;0;2;0;2;2;0;2;2;2;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;2;0
new;0;0;0;0;0;0;0;0;2;2;6;4;6;4;4;0;4;0;0;0;4;0;6;2;0;4;0;2;0;2;0;0;2;0;2;0;2;0;0;0;0;0;2;6;0;2;0;4;2;2;16;2;0;0;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;2;4;2;4;0;0;0;2;0;2;0;0;2;2;0;0;2;0;2;0
state;0;0;0;0;0;0;0;0;0;4;0;6;0;0;2;0;2;0;0;0;0;2;8;0;2;4;0;4;0;0;4;0;0;6;0;2;2;0;0;0;0;0;4;0;2;2;0;6;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;2;2;0;2;0;2;2;6;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;2;2;4;0;0
history;0;0;0;0;0;0;0;0;0;0;8;4;4;4;2;0;4;2;0;2;2;2;2;6;2;2;0;2;4;0;2;0;2;0;2;0;2;2;0;2;0;0;2;2;2;0;4;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;8;0;2;0;0;0;0;2;2;2;0;2;2;0;2;0;0;2;2;0;2;0;0;0;2;0;0;2;4;2;2;2;0;0;0;2;0;0
american;0;0;0;0;0;0;0;0;0;0;0;4;2;4;0;0;0;4;0;0;2;2;2;2;2;4;0;0;0;2;0;0;2;0;2;2;0;2;0;2;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;2;2;2;0;2;0;0;0;0;0;2;2;0;2;2;0;2;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;2;6;0;0;2;2;2;0;0;0;0;0;0;0;0;6;0;0;2;4;2;0;2;0;0;0;0;0;0;2;4;0;2;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;6;2;0;0;0;2;2;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0
news;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;0;4;0;2;4;2;0;2;4;4;0;0;0;0;0;6;2;0;2;6;0;0;6;0;0;0;4;0;2;0;0;2;2;8;0;2;0;0;0;2;0;0;2;0;2;0;0;2;2;0;0;0;2;2;0;0;2;0;0;2;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;0;2;20;0;2;2;0;2;0;2;0;0;4;0;0;4;6;6;6;4;0;4;0;0;0;0;0;2;2;2;2;2;2;0;6;0;0;0;0;2;0;2;0;0;2;2;0;0;4;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;4;0;2;2;0;0;4;0;0;0;4;0;0;0;2;0;0;0;0;0;0;2;4;0;2;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;2;0;0;0;4;2;0;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;0;0;4;2;0;2;4;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;2;2;0;4;0;0;0;4;2;0;0;0;0;2;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;4;0;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;6;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0
