kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD,kw_q1,freq_q1,kw_q2,freq_q2,kw_q2YTD,freq_q2YTD
great,19,states,17,great,15,great,19,great,17,president,21,great,122,great,49,great,54,great,122
united,13,united,16,new,15,trump,17,united,14,trump,18,president,94,states,44,trump,44,president,94
states,13,great,15,president,15,new,13,president,12,great,18,trump,92,united,41,president,40,trump,92
national,12,new,12,people,14,states,13,people,10,people,15,united,88,president,36,people,38,united,88
president,11,president,10,states,14,people,13,new,9,american,12,states,87,new,35,united,37,states,87
house,10,federal,10,trump,13,united,13,trump,9,new,11,people,75,trump,31,new,33,people,75
american,9,trump,9,united,12,federal,9,states,9,administration,10,new,75,people,27,states,31,new,75
trump,9,court,9,federal,10,help,9,state,9,united,10,federal,56,federal,24,american,26,federal,56
people,9,state,9,former,8,american,8,federal,8,obama,10,government,50,national,21,federal,25,government,50
new,8,government,8,news,8,man,7,government,8,government,10,american,48,state,20,government,23,american,48
white,7,house,7,state,8,president,7,news,7,states,9,news,42,government,19,big,19,news,42
administration,7,man,7,government,8,york,7,donald,7,federal,8,house,41,house,19,news,19,house,41
year,6,end,7,country,7,donald,6,big,7,york,7,state,41,country,17,donald,19,state,41
department,6,country,6,obama,7,country,6,world,6,house,7,obama,41,obama,16,york,18,obama,41
following,6,york,6,trying,7,friend,6,article,6,justice,7,administration,39,news,16,help,17,administration,39
post,6,department,6,good,7,presidential,6,american,6,news,7,national,38,good,15,house,17,national,38
big,6,guy,6,bernie,6,hillary,5,history,6,usa,7,help,37,administration,15,obama,17,help,37
help,6,republican,6,democrats,6,announce,5,man,6,big,7,big,35,american,15,state,16,big,35
hillary,6,working,5,killed,6,proud,5,guy,5,fbi,7,country,34,man,15,white,15,country,34
released,5,rights,5,family,6,house,5,house,5,americans,6,man,32,republican,14,country,14,man,32
2016,5,article,5,best,6,government,5,game,5,thank,6,york,32,party,14,national,14,york,32
trumps,5,justice,5,article,6,job,5,help,5,democrats,6,democrats,31,court,14,administration,14,democrats,31
take,5,learn,5,party,6,candidate,5,department,5,donald,6,white,30,help,14,man,14,white,30
presidential,5,national,5,presidential,6,times,5,hillary,5,white,6,article,30,article,14,democrats,13,article,30
