;great;united;president;people;new;trump;states;state;federal;government;news;donald;big;world;article;american;history;man;guy;house;game;help;department;hillary;republican;deal;democrats;national;lost;private;white;working;2016;city;york;night;iraq;university;place;candidate;thank;men;historic;reports;clinton;month;spent;worth;obama;making;former;30;could;bad;10;country;media;kelly;james;take;fight;worst;bernie;emergency;asking;source;caught;election;fake;leaders;arrested;times;wrong;cut;100;david;manchester;massive;life;campaign;led;event;quest;america;happy;illegal;declared;chicago;senate;comments;china;friday;strong;year;job;reserve;graphic;director;j;rookie
great;0;4;2;4;2;0;4;6;0;0;0;0;2;2;0;2;0;0;6;2;2;4;4;0;2;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;4;0;0;2;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;2;4;4;0;2;0;0;0
united;0;0;12;4;0;4;18;4;0;4;0;2;0;2;0;2;2;2;0;2;0;4;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;2;0;0
president;0;0;0;6;0;6;8;4;2;2;2;4;2;2;2;4;4;0;0;2;0;2;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;2;2;0;2;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0
people;0;0;0;0;2;2;4;2;0;2;0;4;0;2;0;6;2;2;0;0;0;0;2;2;0;0;0;4;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;2;0;2;0;0;2;0;0;2;0;0;0;2;2;0;2;2;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0
new;0;0;0;0;0;6;0;4;2;0;0;4;2;0;2;0;0;0;0;0;2;0;0;6;0;2;0;0;0;2;0;0;0;0;8;0;0;2;0;0;2;0;0;0;8;0;0;0;0;2;2;2;0;0;2;0;0;2;0;0;0;0;0;0;2;0;4;0;0;0;0;6;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0
trump;0;0;0;0;0;0;2;4;2;0;2;10;2;0;2;2;2;0;0;0;0;2;0;4;2;2;2;2;0;2;0;0;2;0;2;0;2;2;0;0;0;0;0;0;4;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;2;0;0;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;2;0;0;4;0
states;0;0;0;0;0;0;0;4;0;4;0;2;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;6;4;0;0;0;0;0;2;0;0;2;0;0;0;2;2;0;0;2;0;2;0;4;0;0;0;0;0;2;2;0;2;2;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;4;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
