;president;united;new;trump;states;people;great;russia;election;thank;party;may;military;wonderful;national;federal;house;world;news;another;administration;obama;republican;clinton;history;bill;guy;security;presidential;working;rush;important;committee;transcript;2016;copy;area;year;border;big;life;court;progress;fact;york;supreme;white;article;vote;washington;final;person;love;part;team;woot;historic;city;former;good;human;impact;lives;philadelphia;crisis;monday;pr;america;hillary;turn;wear;deliver;borders;stand;best;approval;lot;2018the;announce;reason;schools;program;thousands;says;able;cryptographic;islamic;second;head;democrats;secure;democrat;asking;vice;rich;idea;strong;attack;understand;trying
president;0;6;0;14;4;8;2;0;2;6;2;4;4;0;0;0;4;4;0;0;2;4;4;0;0;0;0;0;2;4;2;0;0;2;0;2;0;2;4;0;0;2;0;0;0;2;2;0;2;4;2;2;0;0;2;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;2;4;2;2;0;0;0;6;0;0;4;0;0;0
united;0;0;0;4;18;4;6;0;4;2;0;0;6;0;2;2;2;6;0;0;0;0;0;2;2;0;0;0;0;4;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;0;0;0;2;0;0
new;0;0;0;2;0;4;2;2;0;2;2;0;0;4;2;0;2;0;0;4;2;0;2;4;2;2;0;2;2;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;0;2;0;4;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;2;0;0
trump;0;0;0;0;2;6;2;0;2;2;4;2;2;0;2;2;4;2;6;2;4;2;4;2;0;0;0;2;2;2;2;0;0;2;2;2;2;0;2;0;0;0;0;2;0;0;4;0;0;4;2;0;0;0;4;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0
states;0;0;0;0;0;4;6;0;2;0;0;0;6;0;2;0;4;6;0;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;0;0;0;2;0;0
people;0;0;0;0;0;0;4;0;0;2;2;0;2;2;0;2;2;4;0;2;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;2;0;4;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0
great;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;2;4;0;0;2;2;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0
russia;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;4;0;2;2;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;4
election;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;4;0;0;0;2;2;0;0;0;0;0;0;2;2;0;2;0;0;4;0;0;2;0;2;0;2;0;0;0;2;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2
thank;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;2;0;0;0
