;trump;great;president;people;united;states;new;federal;administration;national;republican;obama;news;house;government;party;election;american;history;bill;democrats;russia;left;state;thank;white;vote;working;security;love;washington;story;may;military;campaign;wonderful;world;2016;good;fbi;presidential;big;donald;best;job;clinton;america;guy;attack;huge;senate;another;strong;york;radical;city;team;country;important;border;looking;announced;committee;million;usa;head;china;win;article;announce;man;trying;help;fact;year;reason;court;hillary;nothing;totally;least;person;supreme;says;show;office;senator;latest;second;investigating;copy;leadership;women;could;colorado;part;justice;secret;department;university
trump;0;6;38;14;10;4;4;8;12;8;10;6;8;6;0;6;6;6;0;4;6;6;6;4;4;6;0;8;4;0;6;4;2;2;12;0;2;10;2;6;8;2;20;4;4;4;0;2;0;2;6;2;2;2;6;2;6;0;0;4;2;0;4;0;2;2;2;4;0;2;2;0;0;2;0;0;2;2;2;4;0;0;2;4;0;0;0;6;0;6;2;2;2;0;2;0;6;0;4;2
great;0;0;8;10;10;8;4;4;8;4;2;2;0;2;4;2;2;10;0;2;0;0;2;10;8;2;0;2;2;4;4;2;0;6;0;0;2;0;4;0;6;2;0;4;2;0;8;2;0;2;0;4;10;0;2;2;0;2;4;4;4;0;2;4;2;0;2;0;0;4;2;2;0;2;2;2;2;0;2;2;0;0;2;0;6;2;2;0;2;0;0;4;4;0;2;6;2;0;0;0
president;0;0;0;14;14;10;0;2;2;4;10;8;4;8;0;4;4;6;2;6;6;2;4;2;6;6;4;10;0;0;8;2;4;4;10;0;4;2;4;4;6;2;12;0;4;2;0;4;0;4;2;2;6;0;4;2;4;0;0;4;4;4;2;0;0;2;2;2;0;2;0;2;0;0;2;2;2;2;2;2;0;2;2;2;0;0;4;2;4;2;2;0;2;0;0;2;4;0;2;0
people;0;0;0;0;10;8;6;10;6;0;2;4;0;2;6;2;0;10;0;4;2;2;2;2;2;2;4;2;2;0;4;2;0;2;0;2;6;4;2;4;0;0;2;2;2;2;2;2;0;2;0;2;0;2;4;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;2;0;0;2;2;0;2;6;2;2;0;2;2;2;0;0;0;2;0;2;0;2;2;4;2;2;2
united;0;0;0;0;0;46;4;4;2;6;0;0;2;2;2;0;4;2;4;2;2;2;2;2;2;0;0;8;0;0;2;0;2;6;0;0;6;0;0;0;0;0;4;0;2;4;6;0;6;2;0;0;0;4;4;0;2;0;4;0;4;2;2;0;0;0;4;0;2;2;0;0;0;0;2;0;4;4;0;2;0;0;4;2;2;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0
states;0;0;0;0;0;0;4;0;2;6;0;0;2;4;2;0;2;2;4;2;2;2;2;2;0;0;0;6;0;0;0;0;2;6;0;0;6;0;0;0;0;0;2;0;0;4;6;0;6;2;0;0;0;4;4;0;0;0;4;0;2;2;2;0;0;0;4;0;2;2;0;0;0;0;2;0;2;4;0;2;0;0;2;2;2;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0
new;0;0;0;0;0;0;0;4;2;2;2;2;6;4;4;2;0;2;4;4;0;2;0;2;2;2;0;6;2;2;0;6;0;0;2;4;0;0;2;2;2;0;4;2;0;4;4;0;8;0;0;4;0;16;0;4;2;2;0;0;0;0;0;0;0;2;2;0;2;8;0;0;2;0;2;0;0;2;0;2;0;0;0;0;2;0;2;6;2;0;0;2;2;2;0;0;0;0;0;2
federal;0;0;0;0;0;0;0;0;2;2;4;0;2;0;16;6;4;0;0;2;2;0;0;0;0;0;4;0;2;0;4;0;0;0;0;0;0;0;0;2;0;0;4;0;2;0;0;0;0;0;2;0;2;0;0;4;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
administration;0;0;0;0;0;0;0;0;0;4;0;24;4;0;0;2;4;0;0;4;0;4;0;0;0;0;4;2;0;0;0;0;2;2;2;0;0;6;0;2;2;4;0;2;2;0;4;0;0;0;0;0;0;0;2;0;0;0;2;2;2;2;0;4;2;0;4;2;0;2;2;2;6;2;2;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;4;2;4;2;2;0;2;2;2;0;0;2;0;2;0;2;0;2;8;0;0;0;2;0;4;0;2;4;0;4;2;0;2;2;2;4;0;0;0;0;0;4;2;0;0;0;2;0;0;0;0;0;14;2;0;0;2;2;0;2;0;2;2;6;0;0;0;4;0;2;0;2;0;0;0;0;0;0;0;4;2;2;0;2;2;0;2;0;2;0
republican;0;0;0;0;0;0;0;0;0;0;0;4;4;6;2;12;4;0;4;2;8;2;6;2;2;6;2;2;0;0;8;0;2;0;4;2;0;0;2;4;4;0;2;0;0;0;0;2;2;0;2;2;2;2;4;2;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;2;0;4;0;0;0;0;2;0;0;0;0;0;0;4;0;2;4;0;0;0;0;0;0;2;0;0;0
obama;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;4;2;0;0;0;4;0;2;0;2;4;2;0;0;2;0;4;0;6;0;0;6;0;2;4;4;0;4;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;4;0;4;0;0;2;2;0;0;0;2;6;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0
news;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;2;2;2;4;0;2;0;4;2;0;2;0;4;2;0;0;2;2;0;0;0;0;0;0;0;2;2;2;0;0;2;2;0;2;0;2;0;0;0;2;0;2;2;2;2;0;2;2;0;0;2;4;0;2;2;4;0;2;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;2;2;0;0;0;0;2
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;2;2;4;0;6;0;2;20;0;4;2;0;2;0;2;0;0;0;0;2;0;0;0;0;2;2;4;0;0;0;0;0;2;2;2;0;4;0;0;0;0;0;0;2;0;0;0;2;2;0;4;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;0;2;2;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;2;0;2;2;0;0;4;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;2;2;0;2;2;4;2;2;0;2;0;6;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;2;2;0;4;0;2;0;2;0;0;0;0;0;0;0;2;4;0;0;2;2;0;0;0;0;2;0;0;0;0;2;2;0;4;0;0;0;0;2;0;0;0
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;4;0;0;2;2;4;0;0;2;0;0;0;4;0;0;8;0;0;2;4;2;0;2;2;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;2;0;0;0;0;4;0;0;0;4;0;2;2;2;2;2;2;0;0;2;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0
american;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;4;2;2;0;0;0;0;0;2;0;2;2;2;2;0;0;2;0;2;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;2;2;0;0;0;2;2;2;0;0;0;4;2;2;4
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2
