;trump;president;great;united;people;states;new;federal;national;party;government;american;house;obama;news;state;republican;administration;russia;man;democrats;election;best;white;left;working;world;donald;big;security;history;love;2016;good;thank;story;department;york;washington;fbi;job;senate;bill;radical;court;military;supreme;campaign;country;may;health;help;vote;america;former;year;committee;fake;china;amazing;article;second;act;presidential;media;city;democrat;women;says;nothing;police;americans;2015;released;power;post;another;hard;announce;least;trying;reserve;fact;money;senator;huge;wonderful;investigating;law;strong;million;usa;team;justice;head;reason;border;times;months;bernie
trump;0;88;20;20;24;14;14;14;12;18;4;14;18;12;16;6;20;20;16;6;10;14;6;14;14;10;2;48;6;6;0;6;18;4;4;4;14;6;6;12;8;16;4;12;2;4;2;26;2;4;2;0;2;2;4;0;8;8;2;4;4;2;2;10;6;2;4;2;6;4;2;0;0;4;6;4;2;10;2;0;0;8;4;6;2;6;0;18;2;2;0;4;6;14;2;0;6;8;10;2
president;0;0;12;30;28;22;18;8;6;8;2;14;18;18;8;6;18;4;16;4;10;16;2;12;12;14;4;28;2;0;2;4;10;6;6;2;4;6;8;10;6;6;6;8;2;10;2;14;4;4;4;2;6;4;6;2;4;2;2;2;4;6;8;12;2;2;2;4;4;4;0;0;2;2;0;6;2;12;2;2;2;4;0;0;4;4;0;6;2;6;0;0;4;6;2;4;4;4;2;2
great;0;0;0;24;24;22;14;6;16;8;8;20;4;2;6;18;10;8;2;10;6;4;10;6;4;10;6;6;10;6;2;14;0;8;20;6;2;2;8;0;8;2;2;4;2;6;2;0;10;0;2;2;4;14;0;4;2;6;8;4;0;6;0;6;6;4;2;6;0;4;2;6;0;0;4;0;4;6;6;0;6;0;4;0;10;2;0;2;2;12;6;2;0;2;0;2;8;0;4;0
united;0;0;0;0;20;130;10;6;10;4;4;12;4;4;6;6;0;8;8;4;2;6;6;4;2;10;8;6;0;0;6;0;4;2;6;2;2;4;2;2;4;2;6;4;4;10;4;4;4;4;0;0;0;14;0;4;4;0;8;2;4;0;2;0;0;0;4;6;4;0;0;4;0;4;4;4;4;4;4;0;0;2;2;0;2;2;0;0;6;0;2;2;4;2;2;2;0;2;0;2
people;0;0;0;0;0;18;16;16;6;10;8;28;6;8;8;12;4;10;4;6;2;4;4;4;6;4;8;2;4;2;2;0;8;8;2;4;2;6;6;8;4;2;4;8;8;4;8;0;6;0;4;4;4;2;2;2;2;8;8;4;0;2;4;2;2;4;4;2;0;2;2;0;0;0;2;0;4;2;0;12;6;4;4;4;2;8;6;0;4;2;2;0;0;6;0;2;0;2;4;2
states;0;0;0;0;0;0;10;2;8;4;4;12;6;4;4;6;0;8;8;4;2;2;6;4;2;8;8;4;0;0;6;0;2;2;4;2;2;4;0;2;2;2;6;4;2;10;2;2;2;4;0;0;0;14;0;4;2;0;6;0;4;0;2;0;0;0;4;6;4;0;0;4;0;4;4;4;4;2;4;0;0;2;2;0;2;2;0;0;6;0;2;2;2;2;2;2;0;2;0;0
new;0;0;0;0;0;0;0;6;6;8;4;8;8;6;12;6;10;2;2;4;2;2;2;2;0;10;0;8;4;6;6;4;0;2;4;14;2;42;2;4;2;4;8;0;2;2;2;2;2;2;2;2;4;6;2;6;0;2;2;0;6;2;8;2;2;10;2;2;0;2;4;2;0;6;0;4;4;6;8;2;0;2;0;2;2;4;6;0;0;0;2;0;2;0;4;4;2;22;2;2
federal;0;0;0;0;0;0;0;0;6;6;34;2;2;0;4;4;4;2;4;0;4;4;4;2;0;2;0;8;2;4;2;0;2;0;2;0;2;0;4;4;4;2;2;0;6;0;4;2;6;0;4;6;4;0;2;0;4;4;0;4;0;2;4;2;0;4;0;0;0;2;0;2;2;2;0;0;2;0;2;2;2;20;4;10;0;0;0;2;6;2;2;0;0;2;2;2;0;2;0;0
national;0;0;0;0;0;0;0;0;0;2;4;6;6;4;8;8;10;4;8;4;4;4;4;4;0;4;2;2;2;26;8;0;8;0;0;2;2;2;2;4;2;2;2;0;0;0;0;8;2;6;2;4;0;2;2;6;28;4;2;0;0;4;2;4;4;2;6;2;0;2;0;8;0;2;0;0;6;0;4;2;2;0;6;2;4;0;0;6;2;2;2;0;2;2;2;0;0;0;4;4
party;0;0;0;0;0;0;0;0;0;0;2;4;8;2;4;6;26;4;0;2;6;8;0;4;8;2;0;4;4;4;2;2;0;0;6;0;0;0;6;2;4;0;2;4;4;4;4;2;2;2;0;2;4;2;0;4;0;4;4;0;0;4;2;0;0;0;18;0;2;6;2;2;0;2;0;2;4;0;0;2;2;2;2;2;2;2;0;2;0;4;4;0;0;2;4;0;4;2;0;4
