;trump;people;news;states;president;great;united;american;administration;new;country;2017;fake;obama;americans;women;best;good;media;national;fact;campaign;democrats;massive;major;end;government;important;history;washington;federal;court;nfl;center;post;help;forward;fbi;clinton;allaah;job;work;story;house;men;presidential;complete;high;bill;located;quest;announce;thank;city;conference;latest;police;military;department;working;disaster;illegal;night;justice;world;pay;article;killing;supreme;prius;save;political;list;week;groups;lives;legal;least;uespwiki;targeting;times;law;elder;system;15;proud;white;away;valley;food;big;part;home;governor;donald;public;bernie;soon;another;scrolls
trump;0;6;4;2;8;4;2;2;8;2;2;0;2;2;4;2;0;0;4;0;0;0;2;2;0;2;4;0;0;4;0;2;0;0;0;0;0;4;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;2;0;2;2;2;4;2;0;4;0;4;0;0;0;0;2;0;0;4;0;0;2;0;2;2;0;2;4;0;0;0;0;0;0;0;0;0;2;0;2;0;4;0;0;2;0;0
people;0;0;2;2;2;2;2;6;0;4;2;2;0;0;0;4;0;2;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;4;2;2;2;0;0;0;0;0;0;0;4;0;6;2;0;0;0;0;0;0;2;0;0;4;0;0;4;0;0;0;0;0;0;4;0;2;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0
news;0;0;0;0;4;4;0;2;0;4;2;2;10;0;0;0;4;2;4;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;4;2;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0
states;0;0;0;0;2;2;18;2;2;0;4;0;0;2;4;0;0;2;0;2;4;0;2;2;4;2;2;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0
president;0;0;0;0;0;4;2;0;2;2;2;0;4;2;0;0;0;2;4;0;0;2;4;0;0;0;2;0;2;2;0;0;0;0;0;2;0;4;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;2;2;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0
great;0;0;0;0;0;0;2;0;0;0;4;2;2;0;4;2;0;4;0;0;0;0;4;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0
united;0;0;0;0;0;0;0;2;2;0;4;0;0;2;4;0;0;0;0;2;2;0;2;2;2;2;2;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
american;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;0;0;0;0;0;0;2;0;4;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;2;2;2;0;0;0;2;0;0;0
administration;0;0;0;0;0;0;0;0;0;0;2;0;0;10;2;2;0;0;2;2;0;0;0;2;2;2;0;0;0;4;0;0;0;0;4;0;0;4;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;2;4;0;2;4;0;4;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0
new;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;4;0;2;0;2;0;0;2;2;2;0;0;2;0;0;0;0;4;0;2;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0
country;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;4;0;4;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0
2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
