;states;united;great;new;people;trump;security;obama;government;working;police;may;work;country;party;administration;president;democrats;news;american;article;election;act;house;black;good;national;man;war;asked;left;court;billion;world;department;city;republican;wednesday;shooting;running;named;saying;report;state;thought;bill;days;americans;terrorismthe;across;washington;union;minnesota;massive;nfl;million;fbi;protect;series;european;woman;help;russian;arabia;health;sick;hero;received;trying;badass;according;political;law;federal;media;major;list;accused;joined;force;social;york;tax;investigation;senate;recklessness;young;border;given;win;history;close;congress;following;centre;white;hit;spent;announce;night
states;0;10;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;4;0;0
united;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;6;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;2;0;0;0;0;4;0;0
great;0;0;0;4;2;2;2;2;2;2;0;0;2;4;0;0;2;0;4;2;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0;2;2;0;0;2;0;0;0;0;2;0;4;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2
new;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;4;0;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;2;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;6;0;2;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0
people;0;0;0;0;0;2;2;2;4;0;0;2;2;0;0;0;4;0;4;6;0;0;4;2;0;0;2;0;0;2;2;2;0;2;2;0;0;2;4;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;0;0;4;4;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2
trump;0;0;0;0;0;0;0;4;0;0;0;0;4;0;2;6;6;4;2;0;0;2;2;2;0;2;0;0;0;2;2;0;0;0;2;0;0;2;2;0;0;0;2;2;2;0;0;0;0;0;2;0;2;4;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0
security;0;0;0;0;0;0;0;2;6;2;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;8;0;0;2;2;0;0;2;0;0;2;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;2;0;2;0;6;0;0;0;0;0;0;0;2;0;2;2;2;0;2;0;0;0;2;0
obama;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;6;4;2;0;2;0;2;0;2;2;0;2;2;0;0;2;0;0;0;2;0;4;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;4;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;2;0;2;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;4;0;0;0;2;0;2;2;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
