;trump;great;news;people;president;united;party;media;justice;republican;administration;federal;house;states;another;fake;judge;nothing;fbi;government;committee;economy;democrats;released;trumps;fire;new;obama;american;working;best;used;business;world;terrorists;conservative;little;donald;work;court;attack;washington;whether;nation;thing;story;approve;texas;places;end;smith;china;history;hearing;rtechnology;debate;technology;labeled;clinton;jobs;gm;free;security;enforcement;bill;womens;tonight;arrested;trying;war;dead;life;movie;charges;country;former;terrorist;matthews;fact;department;week;interview;part;tuesday;known;real;left;killed;tv;intelligence;social;bjp;days;man;j;americans;money;trouble;state;set
trump;0;4;2;0;4;4;4;2;2;4;6;4;2;2;0;0;2;4;4;2;0;2;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;6;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;4;2;0;2;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;2;0;6;0;0;0;0;0
great;0;0;2;4;4;2;0;2;0;0;0;4;0;2;2;2;0;0;0;4;0;2;0;0;0;2;4;2;2;0;2;4;0;2;0;0;0;2;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;2;2;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0
news;0;0;0;4;2;0;0;4;0;0;0;0;0;0;2;10;0;2;2;0;2;2;0;2;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;2
people;0;0;0;0;2;2;0;4;2;0;2;0;0;2;0;4;0;0;2;2;2;0;0;0;0;2;2;2;2;2;0;2;0;2;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2
president;0;0;0;0;0;2;0;0;0;0;0;4;0;2;0;0;4;2;0;0;0;0;0;0;8;2;0;2;4;0;0;2;2;0;0;0;2;2;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;2;2;0;0;0;2;0;0;0;0;0;2;0;2;0
united;0;0;0;0;0;0;0;0;2;0;4;0;0;12;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;4;0;0;2;2;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;2;0
party;0;0;0;0;0;0;0;4;0;8;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0
media;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0
justice;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;4;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;2;0
another;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
