;people;united;great;states;trump;new;american;federal;president;news;man;state;government;trying;big;good;party;working;house;obama;national;radical;leader;donald;michigan;americans;thing;department;tuesday;presidential;administration;article;best;republican;arrested;former;take;left;democrats;life;white;love;america;may;heard;end;city;supreme;second;world;friend;country;political;congress;please;reserve;glad;police;admitted;lives;media;officer;hard;thank;quickly;watch;iran;association;california;together;failing;close;home;kansas;amazing;german;force;georgia;secretary;team;pleased;nothing;conference;announce;rifle;washington;nra;celebrate;massive;following;usa;money;victims;source;another;ready;says;fbi;next;tech
people;0;4;6;4;2;0;8;4;2;2;2;0;0;0;0;4;0;0;4;4;0;0;2;0;4;2;2;2;4;2;4;0;0;0;2;4;0;0;0;0;2;2;2;2;2;2;2;0;0;4;2;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;2;2;2;0;0;0;2;0;0;0;4;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;4;0;0;0;2;0
united;0;0;0;20;0;4;0;2;2;0;2;0;2;0;0;2;2;0;0;0;0;2;4;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;2;4;2;2;2;2;0;0;0;0;0;0;2;6;2;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0
great;0;0;0;0;2;2;6;0;2;2;0;2;0;0;0;2;0;0;4;0;0;0;0;0;2;0;2;0;2;0;0;0;4;0;0;2;0;0;0;0;2;2;2;2;4;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;0;0;0;6;2;2;0;0;2;0;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0
states;0;0;0;0;0;4;0;2;2;0;2;0;2;0;0;2;2;0;0;0;0;2;4;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;2;4;2;2;2;2;0;0;0;0;0;0;2;6;2;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0
trump;0;0;0;0;0;2;2;0;4;0;0;2;0;4;2;0;4;0;4;0;0;2;0;6;0;0;0;2;0;6;2;2;0;4;0;0;2;2;4;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;4;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;4;0;4;4;0;0
new;0;0;0;0;0;0;0;0;2;0;2;2;2;0;2;2;0;0;0;0;2;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;4;2;0;4;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0
american;0;0;0;0;0;0;0;4;2;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;2;0;4;0;2;0;2;0;2;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0
federal;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;2;2;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0
president;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;2;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;0;0;0;2;2;0;4;0;0;0;0;0;0;2;0;0;2;4;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;4;4;0;0
news;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;4;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0
