;trump;new;president;people;great;donald;states;man;country;world;security;party;united;thank;national;story;democrats;news;greatest;best;support;military;administration;bad;million;radical;think;court;history;life;house;obama;protect;russia;protection;left;voting;fire;working;second;republican;money;department;presidential;help;senator;iran;says;continue;american;massive;lot;stand;big;guard;state;hard;odds;scene;wish;website;york;health;illegal;woman;article;police;thing;year;conservative;scott;game;released;given;primary;economic;private;usa;hillary;arrested;could;j;war;democratic;2016;weeks;dragon;elder;russian;calling;virus;supreme;sanders;scrolls;laws;night;poor;shooting;november;white
trump;0;4;8;4;2;16;6;2;4;2;2;2;6;0;0;0;4;2;0;0;0;0;2;2;2;0;2;0;0;0;4;2;0;2;0;0;2;0;4;2;4;0;4;2;0;2;0;4;0;0;0;2;0;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;2;0;2;0;2;0;2;0;0;6;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;6;2
new;0;0;0;0;2;2;2;2;2;0;0;4;0;0;0;0;2;0;2;2;2;2;0;0;6;2;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;2;2;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;2;2;0;4;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;2;2;0
president;0;0;0;8;2;4;2;0;0;0;2;0;2;2;0;0;0;2;0;0;2;0;0;2;2;0;2;0;2;0;2;2;2;2;0;0;0;0;4;0;2;0;0;2;0;2;0;0;0;4;0;2;4;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0
people;0;0;0;0;4;2;4;0;2;0;2;0;4;0;0;0;0;0;0;2;2;2;0;0;0;0;4;0;0;0;0;2;2;4;0;0;0;0;2;0;4;2;0;2;0;2;2;0;2;6;0;8;4;0;0;0;4;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
great;0;0;0;0;0;0;6;0;2;0;0;0;2;4;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;2;4;0;0;2;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;2;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2
donald;0;0;0;0;0;0;4;2;2;0;0;2;4;0;0;0;2;2;0;0;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;2;0;4;0;0;2;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0
states;0;0;0;0;0;0;0;0;6;0;2;0;14;2;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;0;2;0;2;0;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0
man;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;4;0;2;0;0;0;2;0;0;0;0;0;0;4;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;4;0;0
country;0;0;0;0;0;0;0;0;0;0;4;2;4;0;2;0;0;0;2;0;2;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
