;united;great;president;trump;states;new;administration;american;election;obama;state;america;federal;house;2016;democrats;people;michigan;million;help;world;team;love;billion;senate;party;military;largest;act;friend;man;kavanaugh;russian;case;intelligence;americans;amazing;government;usa;calling;called;north;trade;report;free;donald;young;communist;presidential;bill;passed;islamic;release;defense;committee;working;violence;national;bernie;campaign;released;david;announce;death;senator;cost;week;whole;community;efforts;v;nations;nation;hes;hard;protect;students;job;interview;allaah;history;ben;reserve;2;court;vote;white;form;dems;russia;syria;account;rare;best;thursday;end;cancer;vanishing;forward;former
united;0;4;6;0;20;0;4;0;0;0;4;10;0;2;2;0;0;0;0;2;4;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;6;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0
great;0;0;2;0;4;2;4;4;0;2;2;4;2;0;0;2;0;2;0;2;0;0;4;0;0;2;2;0;2;4;0;0;0;0;0;4;2;2;2;2;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;4;0;2;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0
president;0;0;0;4;6;2;6;0;2;4;0;4;0;2;2;2;2;0;2;2;2;0;2;0;4;2;0;2;0;0;0;0;4;0;4;0;0;0;2;4;0;2;0;2;0;4;0;0;2;0;0;0;0;0;4;2;0;2;2;2;2;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0
trump;0;0;0;0;0;6;0;2;2;0;0;0;0;4;0;0;2;0;0;0;0;2;2;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;2;0;2;0;6;0;0;0;0;0;0;2;0;0;0;0;0;2;4;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;2;2;0;0;0;2;0;0;0;2
states;0;0;0;0;0;0;4;0;0;0;4;10;0;2;2;0;0;0;0;2;4;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;6;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0
new;0;0;0;0;0;0;0;4;8;0;2;0;2;0;4;0;2;0;2;2;0;2;4;2;0;2;0;0;2;0;0;2;0;0;2;2;0;4;0;2;0;0;0;4;0;4;0;0;2;2;2;0;0;0;0;2;0;0;2;2;0;4;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2
administration;0;0;0;0;0;0;0;2;2;12;0;4;0;4;0;2;0;0;4;2;2;0;0;2;0;0;0;2;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0
american;0;0;0;0;0;0;0;0;2;2;0;2;4;0;0;0;4;0;0;4;2;2;0;2;0;0;2;2;2;0;2;0;0;2;0;2;0;4;0;2;2;2;2;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0
election;0;0;0;0;0;0;0;0;0;2;0;0;0;2;6;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;4;0;4;0;0;2;0;0;0;0;0;4;0;4;0;0;4;0;2;0;2;0;4;0;0;0;0;2;2;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;4;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0
