;president;great;trump;new;united;states;people;american;house;national;obama;state;federal;help;act;election;good;love;government;working;man;year;party;world;called;administration;2016;million;america;times;donald;job;york;white;week;department;committee;end;senate;washington;democrats;military;report;media;billion;following;part;police;article;city;americans;case;may;campaign;huge;court;dc;islamic;signed;russian;former;bill;russia;country;usa;free;left;force;history;released;forward;group;thank;killed;terrorist;supreme;five;democrat;senator;north;health;amazing;justice;reserve;morning;hard;largest;bernie;thing;nfl;michigan;team;trying;radical;security;statement;number;nation;republican;tax
president;0;10;28;8;14;14;6;4;8;4;12;4;2;2;0;4;6;2;0;4;0;0;6;4;4;6;4;2;4;2;10;6;4;8;2;6;4;0;4;4;2;2;2;4;2;0;2;0;2;4;0;2;4;2;0;2;2;0;4;4;8;2;4;6;2;0;2;2;2;6;0;4;0;0;2;2;0;2;0;4;2;0;2;0;4;4;2;2;6;0;0;0;4;0;4;4;0;0;0;0
great;0;0;4;16;8;8;6;10;2;2;2;8;4;6;2;2;6;8;2;10;2;2;2;0;2;4;0;2;4;2;0;10;2;0;2;2;2;2;2;4;2;4;0;4;0;6;4;2;4;0;4;0;2;2;0;0;4;0;0;0;0;2;2;2;4;2;0;0;2;0;2;4;4;0;2;0;0;2;2;2;0;4;2;2;0;6;0;0;2;0;4;0;8;0;0;0;0;6;4;2
trump;0;0;0;12;4;4;4;2;6;2;6;0;0;0;0;6;4;2;2;6;4;0;4;4;2;0;2;0;0;4;18;2;6;4;4;10;2;4;0;4;0;2;2;2;2;0;2;0;0;2;0;0;2;12;0;2;2;0;4;4;10;2;6;4;0;0;0;2;0;2;0;2;0;0;0;2;2;0;0;2;0;0;6;0;4;2;0;2;0;2;0;2;2;0;2;6;0;0;2;2
new;0;0;0;0;2;2;2;6;0;6;4;4;2;2;2;10;0;6;6;6;0;4;2;0;2;2;4;2;2;10;6;2;18;0;2;4;0;0;0;6;0;2;6;2;4;2;2;2;2;6;2;2;2;2;0;0;4;0;4;0;4;4;0;0;0;0;0;4;2;2;2;0;0;0;0;0;4;0;2;0;2;2;0;0;0;2;0;2;0;2;2;2;4;0;2;0;0;0;2;0
united;0;0;0;0;0;54;4;2;2;2;2;6;0;6;4;0;2;2;0;2;0;0;2;10;0;6;4;2;16;0;2;0;0;2;0;0;0;2;0;0;0;4;0;0;0;2;2;2;0;0;2;4;4;0;2;4;0;6;2;0;0;0;0;6;0;4;0;2;4;0;2;4;4;2;2;4;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;6;0;0
states;0;0;0;0;0;0;4;2;2;2;2;6;2;6;4;0;2;2;0;2;0;0;2;10;0;6;4;2;16;0;2;0;0;2;0;0;0;2;0;0;0;4;0;0;0;2;2;2;0;0;2;4;2;0;0;6;0;6;2;0;0;0;0;6;0;4;0;2;2;0;2;4;4;2;2;6;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;6;0;0
people;0;0;0;0;0;0;0;16;2;2;0;0;0;4;0;4;4;6;0;0;2;4;4;2;2;0;2;2;2;4;0;2;0;2;0;2;0;4;0;2;0;0;2;2;0;2;2;0;4;0;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;4;4;6;4;0;4;2;2;2;0;0;2;0;2;0;0;0;2;0;0;2;0;0;0;0;4;0;2;0
american;0;0;0;0;0;0;0;0;0;2;2;0;4;6;4;4;0;0;4;0;2;2;2;2;4;2;2;0;2;2;0;4;2;0;2;2;0;2;0;0;0;2;0;0;2;4;2;0;4;0;2;4;0;0;4;4;0;0;0;0;0;2;0;0;0;4;0;0;4;0;0;0;2;2;2;4;2;0;2;6;2;0;0;0;0;0;2;2;4;0;0;2;0;0;2;2;0;2;2;0
house;0;0;0;0;0;0;0;0;0;8;10;4;0;4;2;6;0;0;2;0;0;0;0;0;0;6;2;2;2;0;0;0;0;18;2;0;4;0;4;0;2;2;4;2;2;0;2;0;0;0;0;0;0;2;0;0;0;6;0;2;2;6;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;0;0;0;2;6;0;2;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;10;2;0;4;2;2;0;0;4;2;0;0;2;0;0;8;2;0;0;0;0;2;0;6;2;0;6;0;0;0;2;2;4;0;2;2;0;0;0;0;0;0;2;2;0;2;2;2;0;0;0;2;2;0;0;0;2;0;0;0;2;0;2;0;0;0;4;2;2;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;8;0;0;0;4;2
obama;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;4;0;0;2;0;0;0;0;0;6;20;2;4;0;0;2;2;0;6;0;2;2;0;0;0;4;0;6;0;4;0;2;0;0;0;0;0;2;2;0;0;0;4;0;2;2;0;0;2;0;0;0;0;2;6;0;2;0;0;2;0;4;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;6;4;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;0;2;0;8;2;2;2;2;0;2;2;0;0;0;0;2;0;2;0;4;0;2;0;0;0;0;2;4;4;0;0;4;0;2;2;0;4;2;0;0;0;10;2;0;0;2;0;0;2;0;0;2;2;0;2;2;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;6;0;0;2;0;0;0;2;2;2
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;12;0;0;2;0;4;0;0;0;4;2;0;0;0;0;0;6;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0;2;2;0;0;2;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;4;2;2;10;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;10;4;0;4;0;0;0;2;2;6;2;0;0;0;0;2;2;4;2;2;0;0;0;2;0;0;0;0;0;2;0;2;4;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
