;trump;president;united;great;states;people;new;american;thank;state;2016;administration;donald;department;fbi;investigation;justice;presidential;history;military;political;best;country;house;think;campaign;wednesday;terrorist;nothing;islamic;working;federal;play;thing;obama;senate;security;government;may;fact;released;work;committed;senator;russia;china;america;stop;told;law;report;proud;million;director;night;election;announced;corrupt;west;community;months;funding;power;interference;attack;radical;tim;caused;care;officially;honor;union;news;person;sanders;spent;young;national;spoke;illegal;michael;extremely;beastthe;find;paying;hard;investigating;year;action;man;bill;imperial;help;border;conservative;decision;supreme;mike;doj;democrat
trump;0;16;4;4;6;0;8;2;0;0;6;4;12;2;2;2;4;4;0;6;0;2;0;0;2;6;4;0;0;0;4;2;2;0;2;2;2;2;2;4;0;0;2;2;2;2;0;4;0;2;2;0;0;2;0;4;2;0;0;0;2;4;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;0;2;4;4;2;0;0;2;2;2;0;0;0;0;0;2;2;2;2;2;0;2;2
president;0;0;12;2;8;8;4;2;2;8;2;0;4;2;0;0;0;2;0;2;2;0;0;2;0;4;4;2;0;2;6;0;2;0;2;2;2;0;2;6;4;2;0;2;2;0;0;0;0;2;4;2;0;0;0;2;0;0;0;0;2;4;0;0;0;2;0;0;2;2;2;4;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;4
united;0;0;0;0;22;8;0;2;0;4;0;2;2;2;2;2;2;2;2;2;2;0;0;0;2;2;0;4;0;2;2;0;0;0;0;4;0;2;2;0;0;0;4;2;2;0;4;0;2;0;2;4;0;2;0;2;2;2;0;0;0;0;0;2;4;2;0;0;0;0;2;2;0;2;2;2;0;0;4;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;2
great;0;0;0;0;0;2;0;2;6;2;2;0;2;0;0;0;0;2;0;2;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;4;0;4;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0
states;0;0;0;0;0;2;2;2;0;2;0;2;2;2;2;2;2;0;2;2;0;0;0;0;2;2;0;2;0;2;2;0;0;0;0;4;0;4;2;0;0;0;4;2;2;0;4;0;2;0;2;4;0;2;0;2;4;2;0;0;0;0;0;2;2;2;0;0;0;0;2;2;0;2;2;2;0;0;2;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2
people;0;0;0;0;0;0;4;8;2;4;2;0;0;2;0;2;2;2;2;2;2;0;0;2;0;0;2;2;2;0;2;0;0;4;2;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;2;2;0;4;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;4;0;0;0;0;2;0;0;2;0;0;0
new;0;0;0;0;0;0;0;2;0;2;2;0;2;4;0;2;4;0;2;0;2;0;0;2;2;0;0;0;2;0;2;0;0;2;2;0;2;4;0;2;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;2;2;0;0;0;2;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0
american;0;0;0;0;0;0;0;0;2;4;0;0;0;4;0;2;2;0;2;4;0;0;2;2;0;0;2;0;0;2;0;0;0;0;2;0;2;0;2;2;2;2;2;0;0;4;0;2;0;0;2;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;2;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2;2;4;0;0;2;0;2;0;0;0;0;0;0;2;4;0;0;0;2;0;4;0;2;2;2;0;0;4;2;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;2;0;0;0;2
