;trump;people;states;president;police;new;great;court;killed;house;united;white;presidential;democrats;death;tuesday;obama;man;women;love;america;could;state;election;country;national;china;military;world;family;russian;force;important;government;good;donald;help;thank;safe;yes;law;federal;wonderful;video;ruled;leaders;usa;job;suicidecause;recently;home;celebration;republican;americans;seen;history;news;2016;enough;supreme;hillary;nuclear;working;american;lost;political;work;act;article;shot;press;stand;security;move;dangerous;wants;arrested;tampa;washington;bad;fake;year;clinton;cost;young;senate;nexus;ruling;ss;administration;policy;victory;millions;media;released;city;fired;rapids;convention;without
trump;0;4;2;12;2;0;6;2;0;2;2;4;2;2;0;4;0;0;0;0;4;0;2;0;2;0;2;0;0;2;0;0;0;2;0;10;2;0;2;0;0;0;0;0;2;4;0;2;0;0;2;0;2;0;0;2;2;0;0;0;4;0;0;0;0;0;2;4;0;0;0;0;0;0;2;4;0;0;2;4;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0
people;0;0;2;0;0;4;4;2;0;2;0;2;2;4;0;2;0;0;0;0;0;0;2;2;2;0;2;0;4;0;0;0;0;0;0;4;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;2;0;0;2;0;2;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
states;0;0;0;6;0;2;0;4;0;2;14;2;0;2;0;4;0;0;2;0;2;0;4;0;0;0;4;2;0;0;0;0;4;0;0;2;4;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;2;2;0;0;0;0;2;2;0;0;4;2;0;0;0;2;2;0;0;2;2;0;2;0;2;0;2;0;0;2;0;0;0;0;0;2;0;0;4;2;2;0;0;2;0;0;0;0
president;0;0;0;0;4;0;8;2;2;4;6;4;0;4;0;2;0;2;0;0;2;0;2;2;0;2;4;2;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;2;6;0;2;0;2;0;0;2;0;0;2;0;0;0;0;2;2;0;2;0;0;2;0;0;2;0;0;0;2;2;2;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0
police;0;0;0;0;0;2;2;0;6;0;0;0;2;0;0;2;0;6;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;6;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;4;2;0;2
new;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;2;0;0;2;0;0;0;2;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;2;0;0;0;2;0;0;4;0;0;0;0;2;0;0;0;0
great;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;2;0;2;0;2;4;2;2;2;0;0;0;0;2;0;0;2;0;2;2;0;2;0;0;0;0;2;4;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;2;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
court;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;4;0;4;0;4;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;6;6;0;0;8;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;0;0;0;4;2;0;0;0;0;0;0;0
killed;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;0;0;0;0;0;0;0;2;0;0;4;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2
house;0;0;0;0;0;0;0;0;0;0;2;10;0;2;0;0;0;0;0;0;0;2;2;2;4;0;4;0;2;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
