;great;trump;people;united;states;american;president;working;national;new;good;care;country;history;former;passed;house;wants;government;intelligence;campaign;obama;nothing;news;russia;dangerous;lot;court;federal;iran;bill;@;report;austin;health;committee;administration;city;war;senate;stand;center;power;group;police;arrested;year;fact;pittsburgh;downthe;department;fired;meet;fantastic;attack;released;donald;may;man;fight;family;chinese;strong;win;russian;another;convention;senator;full;republican;works;real;leaders;happy;thank;sanders;legislation;spoken;10;friend;connection;book;incredible;amazing;2016;work;away;love;military;reason;fighter;approved;america;turtles;women;size;times;deal;successful;businesses
great;0;4;6;4;4;2;4;4;2;2;6;2;6;2;2;2;0;4;4;2;0;0;0;0;0;0;2;0;2;0;0;2;2;0;2;2;0;4;0;2;0;2;0;0;0;0;2;4;0;0;0;2;2;2;0;0;2;0;2;2;0;2;2;0;0;0;2;0;0;2;0;2;0;2;0;0;4;0;0;2;0;0;0;2;0;4;0;2;2;0;0;0;2;0;2;0;0;2;2;0
trump;0;0;4;0;0;2;6;0;0;0;0;0;4;0;4;0;0;0;0;0;10;0;2;0;0;0;4;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;2;0;6;2;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4
people;0;0;0;2;4;6;2;4;0;2;2;2;4;0;2;0;0;0;0;0;2;0;2;2;0;0;0;2;2;2;0;0;0;0;2;0;2;4;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;2;2;2;0;2;0;0;0;0;2;2;2;0
united;0;0;0;0;20;0;4;4;2;2;4;0;2;4;4;2;0;2;0;2;0;0;0;4;0;2;0;0;2;2;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;4;0;2
states;0;0;0;0;0;2;4;4;0;2;4;2;2;4;2;2;0;0;0;2;0;0;0;4;0;2;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;2;4;0;0
american;0;0;0;0;0;0;2;0;2;2;0;2;2;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;2
president;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0
working;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0
national;0;0;0;0;0;0;0;0;0;2;0;0;0;4;4;0;0;0;2;2;0;4;0;0;0;0;0;4;0;0;0;2;4;0;2;2;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;4;0;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2
new;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;2;0;4;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2;2;2;0;0
