;president;united;states;great;trump;people;world;news;bernie;new;attack;friday;senator;republican;national;greatest;administration;fbi;night;protect;study;sending;work;sanders;team;job;party;election;fake;best;american;part;health;whistle;game;country;help;obama;ncaa;crisis;democrats;democratic;love;big;started;white;history;2;general;group;tough;saying;hard;rest;blown;north;announced;2016;police;weeks;opened;committee;trade;human;security;nothing;real;americans;center;released;canada;important;media;government;house;calling;bad;early;thank;trying;million;carolinathe;morning;percent;political;billion;young;leading;nation;court;report;created;dark;federal;following;able;used;crowd;friend;latest
president;0;6;6;2;12;0;0;6;2;0;4;4;2;0;2;2;4;6;2;0;0;2;0;2;2;2;0;4;4;0;2;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;2;0;2;0;0;2;4;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;2;2;0;4;0;0;4;0;0;0;0;0;2;0;0;0;0;4;0;2;0;2;0;0
united;0;0;24;2;4;4;6;0;0;0;2;0;0;0;0;4;2;2;2;0;0;2;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;2;0;0;2;0;0;0;4;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;4;0;0;2;2;2;2;0;4;0;0;2;0;0;0;0;0;0;0;0
states;0;0;0;0;4;4;6;0;2;0;2;0;0;0;2;4;2;2;0;0;0;2;0;2;0;0;0;4;0;0;2;0;2;0;0;2;0;0;0;2;0;2;2;0;2;0;4;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;4;0;0;2;2;2;2;0;4;0;0;2;0;0;0;0;0;0;0;0
great;0;0;0;0;0;2;0;0;0;4;2;0;2;4;2;2;0;0;2;0;0;0;6;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;4;0;2;0;2;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;2;0
trump;0;0;0;0;0;0;0;2;0;2;4;2;0;0;0;0;6;6;2;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0
people;0;0;0;0;0;0;4;0;0;2;0;0;0;2;4;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;2;0;2;0;2;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0
world;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0
news;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;8;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;4;0;0;0;4;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0
bernie;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;2;0;2;0;0;8;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;4;0;2;0;2;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;2
