;great;new;people;president;united;states;house;trump;year;committee;attack;white;department;obama;country;american;called;administration;intelligence;state;federal;america;working;navy;show;senate;national;take;big;think;care;fake;former;texas;york;fbi;says;party;news;center;high;san;world;expected;comey;another;congress;history;man;republican;bill;democrat;corrupt;war;government;call;office;secretary;proud;book;start;week;family;issues;nothing;bernie;able;larry;less;military;china;public;live;report;act;20;top;puerto;build;foreign;amazing;statement;best;special;billion;free;orlando;updates;lie;money;friday;taken;win;debate;without;general;join;little;decision;greatest
great;0;2;2;2;2;0;2;4;0;0;4;2;0;0;2;0;2;2;0;0;2;2;2;0;2;0;2;0;6;2;0;2;0;0;0;0;0;2;2;2;2;0;0;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;2;4;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;0;2;0;0;0;0;4;2;2;0;2;2;0;2;2;2;0;0
new;0;0;4;2;0;0;0;0;2;0;2;0;2;0;4;2;2;0;0;2;4;0;0;2;0;0;0;0;0;0;4;0;2;2;10;0;0;0;2;4;2;0;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2;4;2;0;0;2;0;0;0;2;0;2;0;2;2;0;0;2;0;0;0;0;0;2;0;0;2;0;2;4;0;0;0;0;0;0;0;0;4;0;0;0;0
people;0;0;0;0;2;2;0;6;2;2;4;0;0;0;8;4;2;2;2;2;0;0;4;0;0;0;2;0;2;0;2;2;0;0;2;0;2;6;0;0;4;0;2;2;0;2;0;0;2;6;2;4;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;2;0;0;0;2;0;2
president;0;0;0;0;6;4;4;6;2;2;2;2;0;4;2;2;2;2;2;4;0;0;4;2;0;2;0;2;0;8;0;4;0;2;0;2;0;0;2;0;0;0;0;2;2;2;2;4;0;0;0;2;2;0;2;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2
united;0;0;0;0;0;18;2;2;2;0;2;2;2;0;2;2;4;0;0;0;2;2;0;0;0;0;4;2;0;4;0;2;0;0;0;0;2;0;0;2;2;0;0;2;0;0;0;2;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;2;2
states;0;0;0;0;0;0;2;0;2;0;2;2;4;0;2;2;4;0;0;0;2;2;0;0;0;0;2;2;0;2;0;2;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;2;0
house;0;0;0;0;0;0;0;4;0;4;0;6;0;4;0;0;0;2;4;2;0;0;4;0;2;4;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
trump;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;2;2;6;0;2;0;0;4;0;0;0;0;0;2;2;0;0;2;4;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;2
year;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
committee;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6;2;0;0;2;0;0;4;4;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0
attack;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;2;2;0;2;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;4;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;0;2;0
white;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;4;2;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;0;0;0;0;2;0;0;0
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
