;people;new;trump;great;united;american;york;states;president;justice;washington;season;days;democrats;economy;senate;administration;game;government;job;house;stop;campaign;working;state;best;national;help;important;story;times;vote;nfl;team;leading;thank;obama;may;thing;expect;big;fbi;program;country;player;hillary;article;final;world;called;voted;criminal;looking;federal;think;presidential;highest;director;china;las;investigating;greatest;war;court;across;military;take;played;information;moving;news;representatives;thursday;support;demand;deal;past;fact;men;bill;list;super;usa;announce;fake;radical;republican;asked;supporting;workers;editorial;act;put;arrest;4;islamic;hard;russian;post;progress
people;0;4;2;0;2;10;2;2;0;2;4;2;2;4;0;0;2;0;2;0;0;0;0;2;0;2;2;2;0;2;2;0;0;0;0;0;0;2;0;2;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;2;4;0;0;2;0;0;2;0;2;2;0;0;0;0;0;2;0;0;0;2;2;0;0
new;0;0;6;4;0;2;12;0;4;4;2;2;2;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;4;8;0;2;4;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;2;0;4;0;2;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;2;0;0;0;2;0
trump;0;0;0;4;0;0;6;0;12;2;2;0;2;0;0;0;2;0;0;2;2;2;4;0;2;0;2;2;2;4;4;4;0;0;0;0;0;2;2;0;2;6;2;0;0;2;2;2;2;0;0;2;0;0;0;2;0;6;0;0;2;2;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;4;0;2;2;2;0;2;2;0;0;0;0;0;2;2;0
great;0;0;0;0;4;2;4;4;0;0;0;2;0;0;6;2;0;0;2;6;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;2;0;2;0;0;0;4;0;2;2;2;0;2;0;0;0;0;0;4;2;0;2;0;0;0;2;2;0;0;2;4;0;0;0;0;4;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;4
united;0;0;0;0;0;2;0;18;2;0;0;0;0;2;0;0;4;0;4;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;4;2;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;0;0;0;4;0;0;0;2
american;0;0;0;0;0;0;0;2;0;2;4;0;2;6;0;0;0;0;0;0;0;0;0;6;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;2;2
york;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0
states;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;4;0;4;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;4;2;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;0;0;0;4;0;0;0;2
president;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;4;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;6;2;0;0;2;0;2;0;0;0;2;0;2;0;0;0;6;0;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;0;0;0;2;0;2;0;0
justice;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;2;6;0;0;0;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0
