;trump;united;new;states;president;people;great;government;federal;house;campaign;article;state;department;york;republican;administration;party;former;man;national;american;fbi;obama;white;best;times;country;presidential;killed;good;news;south;americans;senate;donald;may;world;democrats;j;law;announce;media;police;work;election;russia;reserve;bill;released;2016;act;big;russian;fact;military;family;trying;team;investigation;proud;security;justice;investigating;congress;part;place;week;thank;business;major;women;days;night;texas;james;democrat;job;join;year;fake;clinton;report;service;end;third;season;pay;statement;director;mike;john;iran;final;billion;second;illegal;help;hit;working
trump;0;8;20;8;34;12;6;10;18;12;24;2;6;4;12;12;16;2;8;0;2;8;10;4;2;0;6;2;14;0;2;6;0;4;0;22;4;0;2;16;6;0;2;0;0;10;6;2;4;0;8;0;2;4;0;2;0;4;0;4;2;0;4;6;8;2;0;2;0;2;2;0;8;4;2;6;2;2;0;2;8;0;2;2;0;0;0;2;2;8;2;0;0;4;0;2;2;0;2;0
united;0;0;2;62;14;8;4;4;8;4;2;0;4;0;2;4;2;2;0;0;6;0;0;0;4;2;2;6;2;4;2;2;0;8;2;2;4;8;0;2;0;0;0;2;0;0;2;2;0;0;2;0;0;0;0;2;0;2;0;0;4;6;0;0;2;2;2;0;0;0;2;4;2;0;2;0;0;2;0;2;0;0;0;4;2;0;0;2;4;0;0;2;4;2;2;4;2;2;2;0
new;0;0;0;2;10;2;4;2;6;4;4;8;0;0;34;6;8;6;6;4;0;4;4;4;2;0;18;0;2;0;4;0;0;4;4;4;2;0;0;4;2;6;2;0;0;0;0;0;4;2;4;2;0;0;4;2;0;2;2;0;2;0;0;0;4;0;0;2;2;2;4;0;0;2;0;2;6;0;0;2;2;0;2;0;0;0;4;0;2;4;2;0;2;2;2;2;0;2;2;0
states;0;0;0;0;14;8;4;4;8;2;2;0;2;0;2;2;2;2;0;0;6;0;0;0;2;2;2;6;2;4;4;2;0;6;2;2;4;8;0;2;0;0;0;2;0;0;2;4;0;0;2;0;0;0;0;4;0;2;0;0;4;4;0;0;2;2;2;0;0;0;2;4;2;0;2;0;0;0;0;2;0;0;0;4;2;0;0;2;4;0;0;2;4;2;2;4;2;2;2;0
president;0;0;0;0;0;2;4;6;8;12;2;2;2;2;6;4;2;2;12;0;8;4;8;10;6;0;2;0;0;2;2;6;0;2;2;4;8;0;2;2;4;0;2;4;4;2;2;2;4;2;2;2;4;6;0;0;0;4;0;4;2;4;2;2;2;4;0;2;0;2;6;0;4;2;0;6;0;0;2;4;4;2;4;0;0;0;0;0;2;8;6;4;2;6;0;6;2;0;2;0
people;0;0;0;0;0;0;8;4;4;2;2;0;6;6;2;4;2;2;2;8;0;6;0;0;0;4;2;8;2;4;4;2;6;2;2;4;0;2;0;6;2;0;2;0;8;4;0;2;2;0;0;0;2;0;2;0;2;0;0;0;2;0;2;2;2;2;0;4;0;2;2;2;2;0;2;0;2;2;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;4;0;2;0;4;0
great;0;0;0;0;0;0;0;2;0;0;0;4;0;0;2;2;2;2;0;2;0;10;0;2;0;10;2;4;4;0;4;4;4;4;2;6;0;4;2;4;2;4;0;0;8;6;0;0;2;0;0;0;0;0;0;2;6;2;2;0;6;0;0;0;2;2;6;2;6;4;0;2;0;2;0;0;0;4;4;0;2;2;2;2;0;0;2;0;2;0;0;0;2;0;2;0;0;0;2;2
government;0;0;0;0;0;0;0;0;14;2;4;0;6;0;0;2;4;0;4;0;2;0;2;2;0;4;0;2;2;4;2;4;2;6;2;2;2;4;4;0;2;0;0;0;2;2;4;2;0;0;0;0;2;6;2;0;0;0;2;2;0;2;2;0;4;0;2;0;0;0;0;0;2;2;2;0;0;2;0;2;0;2;2;0;2;0;0;0;0;2;2;2;0;0;4;0;0;0;0;2
federal;0;0;0;0;0;0;0;0;0;2;6;2;8;4;4;0;4;0;4;0;0;2;2;0;4;2;2;0;2;0;2;0;0;4;2;0;4;0;0;0;4;0;0;0;0;2;2;12;2;0;2;4;0;2;0;2;0;0;0;2;0;0;4;2;4;0;0;2;0;0;2;0;0;0;2;0;0;2;0;4;0;0;0;2;0;2;0;0;0;2;0;0;0;2;2;2;0;0;0;2
house;0;0;0;0;0;0;0;0;0;0;6;2;0;2;4;6;2;6;2;0;0;4;2;6;24;0;4;0;2;0;0;2;0;2;6;4;0;2;4;2;0;2;4;0;0;0;4;0;2;2;0;2;2;2;0;2;0;2;0;2;0;0;2;2;2;2;0;0;0;0;2;0;2;4;2;0;4;4;0;2;2;2;2;0;4;0;0;0;2;0;0;2;2;0;0;4;0;0;2;0
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;4;2;4;0;4;2;4;2;0;0;2;0;12;0;2;0;0;2;0;8;0;2;0;8;0;0;0;0;0;6;6;2;0;0;6;0;0;2;0;2;0;0;0;2;0;2;2;4;4;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0
article;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;0;0;0;2;0;2;2;0;8;0;0;0;2;2;0;0;6;2;6;0;2;0;0;0;4;0;0;0;0;0;2;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2
state;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;2;2;0;2;0;2;0;2;0;0;2;0;4;2;4;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;2;0;2;0;2;0;2;0;0;0;0;6;0;4;2;6;0;2;0;2;0;4;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0;2;2;2;2;0;2;2;2;0;2;0
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;4;2;6;2;2;4;0;2;2;2;0;0;0;0;0;0;2;2;2;0;2;0;0;6;2;2;0;0;2;0;2;0;2;0;2;0;0;0;0;8;0;4;12;4;0;2;0;2;0;4;0;2;0;0;4;2;2;2;0;0;0;2;0;0;2;0;2;2;0;4;2;0;2;2;0;2;2;0;0;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;4;0;2;4;2;2;0;16;0;2;0;2;0;0;0;4;4;0;0;0;2;0;0;2;0;0;0;0;0;2;2;2;2;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;4;0;0;2;2;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;2;0;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;16;0;0;4;0;0;0;0;0;2;0;8;0;4;0;0;0;0;10;2;0;2;6;0;0;0;0;2;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;4;2;0;2;0
