;great;new;united;trump;states;people;government;president;american;man;state;released;deal;house;senator;work;white;donald;media;night;world;party;best;group;show;department;campaign;university;hillary;thank;javascript;release;left;away;americans;presidential;republican;stop;federal;national;big;history;fbi;killed;friday;businesses;report;democrats;j;daily;attack;deadly;young;comes;thought;action;committee;terrorist;youve;latest;greatest;airport;decided;administration;paid;care;terms;days;election;ad;investigating;says;candidate;everyone;washington;named;investigation;extremely;record;clinton;considering;crime;youthank;millions;police;beginning;may;health;tuesday;detroit;live;possible;murder;obama;san;year;russia;political;highly;set
great;0;8;4;6;4;2;0;2;6;2;2;2;0;0;4;2;0;4;0;2;4;0;2;2;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;2;0;2;2;0;0;0;4;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;4;0;0;0;2
new;0;0;0;0;0;0;2;0;0;2;2;6;4;0;2;0;0;0;2;0;2;2;0;0;2;4;0;2;0;0;2;0;4;0;2;0;0;0;4;0;4;2;0;0;0;2;0;0;0;2;2;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2
united;0;0;0;4;22;6;2;8;4;0;2;0;0;2;2;2;0;4;2;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;4;2;0;0;0;4;0;0;2;0;0;0;2;0;2;0;4;2;0;2;0;0;0;0;4;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;0;2;0;0;2;0;0;0;4;2;0;2;4;2;0;0
trump;0;0;0;0;4;4;0;10;2;0;0;2;0;2;0;0;2;8;2;8;0;0;0;2;0;0;4;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;4;0;4;0;0;4;4;0;0;0;2;2;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;2;0;0
states;0;0;0;0;0;4;0;8;4;0;2;0;0;2;2;2;0;4;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;4;2;0;0;0;4;0;0;2;0;0;0;2;0;2;0;4;2;0;2;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;2;2;0;2;4;2;0;0
people;0;0;0;0;0;0;4;2;2;2;0;2;0;2;0;4;2;2;0;2;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;2;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;4;0;2;0;0;2;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;0;2;0;2;0;2;0;0;0;0;2;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;2
president;0;0;0;0;0;0;0;0;4;0;0;2;0;2;2;0;0;4;2;4;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;4;0;0;0;0;2;0;2;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;4;2;0;0;0;2;0;0
american;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;4;0;2;0;2
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
