;trump;president;united;states;great;donald;news;fbi;bill;people;2018;american;country;russia;announced;national;usa;obama;new;house;says;law;police;help;proud;party;china;white;security;working;campaign;republicans;democrats;republican;race;las;trying;man;war;presidential;administration;california;election;vegas;court;vote;federal;congress;real;intelligence;2017;taking;former;team;information;strong;j;media;legal;justice;important;taken;happened;america;safe;blog;human;university;supreme;allow;shot;director;deal;billion;pass;think;article;embassy;san;trumps;job;francisco;democratic;marred;year;nominated;senate;source;voted;hard;may;following;suspect;serious;world;lives;went;tried;building;thank
trump;0;12;2;2;2;16;4;4;0;6;0;2;0;8;0;2;2;0;2;2;2;0;0;2;0;4;0;2;2;2;6;0;0;4;2;2;2;0;0;4;2;4;4;2;0;4;2;2;4;0;0;0;4;4;2;0;6;2;0;2;0;0;2;0;2;0;0;0;0;0;2;2;2;0;0;2;0;0;2;0;0;2;4;0;0;2;2;0;2;2;0;0;0;0;2;0;0;2;4;0
president;0;0;8;8;0;6;2;4;2;2;0;2;2;4;4;6;2;4;0;4;4;2;0;0;0;2;2;4;4;0;2;2;0;0;0;2;2;2;0;0;0;0;0;2;0;0;2;2;0;4;0;0;8;4;2;2;2;4;0;0;0;2;0;2;2;0;0;0;0;0;2;4;2;0;2;2;0;0;2;4;0;2;4;0;0;0;2;0;0;0;2;2;0;0;2;0;2;0;0;0
united;0;0;0;28;2;2;0;2;2;0;0;0;4;2;2;0;0;0;0;0;0;4;0;4;0;0;4;0;0;0;2;2;0;0;2;0;4;0;2;2;0;0;4;0;2;0;0;2;0;2;0;4;0;4;0;0;0;0;2;0;2;0;0;0;2;0;2;2;2;0;0;2;2;2;2;2;0;4;2;2;0;2;0;0;0;0;2;0;2;0;0;2;2;0;2;0;0;0;2;2
states;0;0;0;0;2;2;0;4;2;0;0;0;4;2;2;0;0;0;0;0;0;2;0;4;0;0;4;0;0;0;2;2;0;0;0;0;4;0;2;2;0;0;4;0;2;0;0;2;0;4;0;4;0;4;0;0;0;0;2;0;2;0;0;0;2;0;0;2;2;0;0;2;2;2;2;2;0;4;2;2;2;2;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;0;2;2
great;0;0;0;0;0;0;4;0;0;6;0;8;2;0;0;0;0;0;0;2;0;0;0;0;4;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
donald;0;0;0;0;0;0;2;2;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;2;0;6;0;0;0;0;4;0;2;4;2;2;0;0;0;4;0;2;2;2;0;0;2;0;0;0;0;0;2;2;2;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0
news;0;0;0;0;0;0;0;2;0;2;0;2;2;2;0;0;0;0;2;4;0;0;0;2;2;0;0;4;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;4;0;0;0;0;0;2;0;0;2;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2;0
fbi;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;0;4;0;2;0;4;0;0;2;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;2;0;0
bill;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;4;2;0;0;0;2;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
people;0;0;0;0;0;0;0;0;0;0;0;10;0;0;2;2;0;2;2;0;0;2;2;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;4;0;0;0;0;4;2;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
