;new;president;people;united;states;trump;great;obama;war;york;national;american;administration;russia;campaign;story;police;america;best;presidential;fbi;director;please;caught;move;republican;working;texas;nothing;following;democrats;second;country;sanders;bernie;house;together;political;south;friend;media;party;help;job;free;city;saying;youthank;congress;county;video;2016;security;enforcement;helped;still;louis;russian;finally;number;trial;world;forward;federal;plan;nation;history;leader;michael;amendment;may;officers;critical;news;turn;associated;2017;proud;incredible;public;able;thursday;u;donald;four;anniversary;name;department;military;africa;win;charge;harris;amazing;thank;bring;bonus;prepare;friends;convention
new;0;6;0;0;0;2;2;4;2;12;0;2;2;0;0;4;2;0;2;2;0;0;2;2;0;2;0;0;2;2;0;0;2;2;2;0;2;0;0;0;0;0;2;0;4;4;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0
president;0;0;4;6;8;8;8;10;0;2;2;6;6;2;4;0;0;0;2;4;2;0;0;2;0;2;4;0;2;4;2;2;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;2;4;0;2;0;2;0;2;0;2;0;0;0;0;0;2;2;4;0;0;2;0;0;4;2;2;0;0;2;0;0;2;0;4;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0
people;0;0;0;2;2;2;4;4;0;0;4;0;2;0;0;0;0;0;4;0;0;0;0;0;2;2;2;4;2;0;2;2;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;2;0;4;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0
united;0;0;0;0;16;4;2;2;2;0;4;0;0;4;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;2;0;0;0;4;0;2;2;0;0;0;0;0;0;2;0
states;0;0;0;0;0;4;2;2;2;0;4;0;0;4;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;4;0;2;0;0;0;0;0;0;0;2;0
trump;0;0;0;0;0;0;2;4;0;0;4;2;2;4;6;2;0;2;0;2;4;4;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;2;2;0;2;4;2;2;4;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
great;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;2;0;2;0;0;0;0;2;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0
obama;0;0;0;0;0;0;0;0;2;0;0;2;8;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;2;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0
war;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;2;0;2;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
