;united;states;trump;president;people;obama;american;national;new;congress;administration;great;best;nothing;news;china;million;history;city;man;government;job;book;world;year;article;state;russia;number;house;federal;video;post;2016;white;report;released;9;republican;war;series;political;security;went;continue;end;democrats;important;left;thank;election;terrorism;values;announce;death;businesses;set;republicans;win;disarray;project;picture;texas;deal;donald;health;firearms;kim;falcon;reuters;york;business;north;deer;russian;economy;information;paying;soon;clinton;shot;iran;jong;another;committee;action;party;latest;pittsburgh;program;illegal;soccer;difference;department;pay;looking;starbucks;attack;police;killing
united;0;24;4;4;8;4;4;4;0;0;6;4;0;0;0;2;2;4;2;2;0;0;0;2;6;2;2;0;2;2;2;0;0;2;4;0;0;0;2;2;0;0;0;2;2;0;0;2;0;0;0;0;4;0;2;0;0;0;4;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;4;2;2;0;0;0;4;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0
states;0;0;4;2;8;4;4;4;0;0;6;2;0;0;0;0;2;4;2;2;0;0;0;2;6;2;2;0;2;2;2;0;0;2;4;0;0;0;2;2;0;0;0;2;2;0;0;2;0;0;0;0;2;0;2;0;0;0;4;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;4;0;2;0;0;0;4;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0
trump;0;0;0;12;0;4;4;2;4;2;6;0;0;2;4;2;0;2;2;0;0;0;0;0;0;2;2;2;0;2;0;0;2;0;2;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;6;2;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;4;0;2;0;0;0;0
president;0;0;0;0;2;2;0;4;2;2;0;2;0;2;6;2;0;2;2;0;0;0;0;0;0;2;0;4;0;4;0;0;2;2;4;2;2;0;0;0;0;0;4;0;2;0;2;2;2;0;2;0;2;0;0;0;0;2;0;0;0;0;2;0;4;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0
people;0;0;0;0;0;0;4;4;2;4;0;2;0;2;2;0;4;0;2;4;2;0;0;0;4;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0;2;2;2;0;0;2;2;2;2;2;0;2;2;2;0;0;0;0;0;0;0;2;0;2;0;2;2;2
obama;0;0;0;0;0;0;0;2;4;4;12;0;0;2;0;2;0;0;0;0;2;0;0;4;0;6;2;2;4;0;0;0;4;2;0;2;2;0;0;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0
american;0;0;0;0;0;0;0;2;0;4;0;2;0;2;0;0;0;4;0;0;0;2;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;2;2;2;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;4;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;6;0;0;0;8;0;0;0;0;0;0;4;0;0;0;2;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;2;2;2;0;2;0;0;0;0;6;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;6;2;0;0;0;2;0;2;0;2;0;4;0;0;2;0;2;2;0;0;0;2;2;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2
congress;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;4;0;0;0;0;0;0;4;2;0;0;0;2;0;0;0;0;2;2;0;2;2
