;trump;president;united;people;great;new;states;national;federal;government;american;administration;obama;house;news;york;state;world;election;committee;year;good;russian;post;nothing;history;former;china;congress;donald;intelligence;best;looking;white;senate;million;department;working;story;says;job;2016;times;republican;economy;democrats;party;man;security;washington;thank;city;country;reserve;police;morning;court;nfl;support;leader;number;left;general;continue;deal;bad;away;information;another;big;clinton;win;russia;florida;proud;americans;end;amazing;war;important;problem;iran;justice;lot;youthank;fight;money;take;book;help;finally;group;north;millions;islamic;days;trade;america;death;pay
trump;0;38;12;6;8;12;10;4;2;2;6;12;6;10;10;12;4;2;6;4;2;6;4;2;4;4;0;6;4;24;4;0;2;8;0;0;12;6;2;4;0;2;8;8;4;2;4;0;2;4;2;2;4;0;2;2;4;2;2;0;0;2;4;6;4;2;4;2;2;0;0;6;4;0;2;0;2;2;0;2;2;2;8;2;0;4;6;0;0;2;0;0;0;0;0;2;2;0;0;0
president;0;0;8;6;4;8;4;10;2;2;0;0;6;12;8;8;0;0;2;8;0;6;4;2;2;2;4;4;4;10;6;2;0;10;2;0;6;2;0;2;0;2;6;2;0;2;4;2;4;4;0;2;2;0;2;6;0;2;2;2;0;2;2;6;0;0;0;4;0;0;2;0;4;2;0;0;0;0;0;2;2;0;6;4;0;0;0;2;0;2;0;0;0;2;0;4;0;0;2;0
united;0;0;0;14;6;2;50;8;2;2;6;6;6;6;2;0;4;8;2;6;6;0;0;0;0;8;6;2;0;6;0;0;0;8;4;4;0;0;2;2;0;2;0;6;4;0;0;4;0;0;2;4;2;2;0;2;4;0;0;0;2;0;2;2;2;6;2;0;4;0;2;4;0;0;0;0;2;0;4;4;0;2;2;0;0;0;0;0;2;0;2;2;2;0;4;2;2;4;2;2
people;0;0;0;0;6;4;12;6;2;10;14;4;2;0;4;2;0;4;4;2;6;6;2;2;4;2;4;0;8;2;0;0;2;2;4;6;2;2;2;4;2;2;0;0;2;2;0;4;0;0;4;4;2;0;2;0;2;0;0;0;4;0;0;2;4;0;2;0;2;0;2;0;0;2;0;0;4;2;2;0;2;4;2;4;0;2;2;4;0;0;2;2;4;2;0;2;4;0;4;0
great;0;0;0;0;0;2;4;2;4;4;2;2;2;4;4;0;2;0;0;0;2;2;0;0;2;2;0;6;0;2;0;0;0;2;2;0;2;4;2;0;6;2;0;2;2;2;0;0;0;0;4;0;2;2;2;0;0;0;6;0;2;2;0;4;2;2;2;0;0;2;4;2;2;2;4;0;0;2;0;0;4;2;0;2;2;0;2;2;2;2;0;0;2;2;0;0;0;8;0;0
new;0;0;0;0;0;0;2;0;2;6;0;4;6;0;2;28;4;2;0;0;4;2;2;4;0;0;2;2;6;2;2;0;0;0;0;2;2;0;4;6;0;0;14;0;0;2;2;0;0;0;0;4;0;0;0;0;0;2;0;0;2;2;2;2;0;2;2;2;6;4;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;2;2;4;2;0;2;0;0;0;0;2;2;0;0
states;0;0;0;0;0;0;0;6;2;2;6;6;6;4;0;0;4;6;2;4;6;0;0;0;0;8;6;0;0;4;0;0;0;6;4;2;0;0;2;0;0;2;0;4;4;0;0;4;0;0;2;4;2;2;0;0;4;0;0;0;2;0;2;2;2;4;2;0;4;0;2;4;0;0;0;0;2;0;4;4;0;2;2;0;0;0;0;0;2;0;2;2;2;0;4;2;0;4;2;2
national;0;0;0;0;0;0;0;0;4;2;4;2;4;0;4;0;0;2;0;12;0;0;4;0;0;2;4;0;0;4;8;2;0;0;4;0;0;0;0;0;0;4;0;8;2;0;4;4;14;4;6;0;2;4;0;0;2;4;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;4;6;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;4;4;0;2;0;2;2;0
federal;0;0;0;0;0;0;0;0;0;14;4;2;0;2;4;0;4;0;2;2;2;0;0;2;2;0;0;2;2;0;2;0;4;0;0;6;2;0;0;2;0;6;0;2;6;2;2;0;0;2;0;2;2;14;0;2;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;4;0;2;0;0;0;6;2;0;2;0;0;0;0;0;0;0;4;0;2
government;0;0;0;0;0;0;0;0;0;0;6;4;2;0;4;0;4;0;4;0;0;2;0;0;2;0;2;0;2;0;0;0;2;0;2;4;0;2;0;2;0;0;0;0;0;4;2;0;0;0;2;2;2;0;0;2;6;0;2;0;2;0;0;2;4;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;4;2;0;0;8;4;2;2;2;0;0;0;0;0;0;2;2;0
american;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;2;0;2;0;2;6;0;0;8;2;0;0;4;0;2;0;0;2;0;0;2;0;0;0;4;2;2;0;0;0;0;0;0;2;0;2;4;0;2;0;0;2;2;2;0;0;0;0;0;0;2;0;2;0;0;2;4;0;2;0;0;0;2;0;0;6;2;0;0;0;2;0;0;2;0;2;2;2;2;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;16;0;2;2;6;4;0;0;2;4;4;0;2;0;0;4;4;0;0;0;0;0;0;0;2;4;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;0;0;0;2;2;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;0;2;0;2;2;4;2;0;2;2;4;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;4;0;0;4;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;2
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;6;0;2;2;0;0;0;0;0;0;4;8;0;0;18;2;0;0;2;0;0;0;2;2;2;0;0;4;2;0;4;0;2;0;0;2;4;2;0;2;0;0;0;0;0;2;0;2;4;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;4;4;2;0
news;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;2;2;2;0;0;0;2;2;2;2;2;2;2;0;0;2;6;0;2;0;0;2;4;4;0;0;2;0;2;2;0;2;0;0;0;0;0;0;2;0;2;0;0;4;0;0;0;2;2;2;2;0;0;4;0;0;2;0;2;0;0;2;2;0;0;2;0;0;2;0;0;4;0;0;0;2;0;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;4;0;0;2;2;2;2;2;0;0;0;0;0;2;0;4;6;0;0;14;0;0;2;2;0;0;0;0;4;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;2;0;0;2;0;2;0;0;0;0;2;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;2;0;0;2;0;0;2;0;0;0;0;2;6;0;0;0;0;0;0;0;2;0;0;0;2;2;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;2;0;0;2;2;8;0;0;10;2;0;0;2;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;4;0;4;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0
