;great;president;states;united;trump;people;new;news;million;media;election;hill;government;help;world;republican;obama;state;working;democrats;night;federal;human;2016;russia;fake;hillary;money;could;bill;take;party;campaign;big;department;economy;austin;white;feminists;billion;fbi;spending;house;tuesday;americans;fact;law;hail;times;national;announced;thank;complete;good;york;performance;political;months;congress;mary;foreign;dems;history;distribution;trust;happening;senator;closely;decided;presidential;odds;days;american;democrat;estimated;case;health;country;work;dollars;thursday;gun;strength;strong;beat;crime;rich;attacks;trying;court;post;think;adobe;friday;season;lost;companies;ministry;russian;moving
great;0;2;2;0;4;2;0;4;0;2;0;0;2;0;2;2;0;0;4;0;0;2;0;0;2;2;0;0;2;0;0;4;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;4;2;0;0;2;2;2;2;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
president;0;0;8;8;4;2;2;6;2;4;4;0;0;2;0;0;6;2;4;4;4;0;2;6;2;2;2;0;0;2;2;2;2;0;2;2;0;2;0;0;4;2;6;2;0;2;2;0;0;2;2;2;0;0;2;0;0;2;2;0;0;0;4;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;2;2;0;0;2;2;0;0;0;2;4
states;0;0;0;28;4;4;2;0;2;0;2;0;0;2;0;4;0;2;2;0;2;2;2;2;0;0;0;2;0;2;2;4;0;0;0;0;0;4;0;4;0;0;4;0;2;4;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;4;4;4;2;2;0;0;0;0;0;0;4;2;0;2;0;0;0;0;0;0;2;2;0;0
united;0;0;0;0;4;4;2;0;2;0;2;0;0;2;0;0;0;2;2;0;2;2;2;2;0;0;0;2;0;2;2;2;0;0;0;0;0;4;0;4;0;0;4;0;0;4;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;4;4;4;2;2;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;2;2;0;0
trump;0;0;0;0;0;0;0;6;0;2;6;0;0;0;0;0;2;2;0;2;0;0;0;4;4;0;0;0;0;0;0;0;6;0;2;0;0;2;0;0;2;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;4;0;0;0;0;2;0;2;0
people;0;0;0;0;0;0;4;2;4;2;0;0;6;2;2;0;0;4;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;2;0;2;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;4;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;2;0;0;2
new;0;0;0;0;0;0;0;4;0;6;2;2;2;0;2;2;0;4;0;2;2;0;0;0;0;2;0;0;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;2;2;0;2;8;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;2;0;4;0;0;0;0;4;0;0;0;2
news;0;0;0;0;0;0;0;0;2;10;4;0;0;0;0;2;0;4;4;0;2;0;0;2;2;8;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;2;4;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;0;2
million;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;2;2;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0
media;0;0;0;0;0;0;0;0;0;0;4;0;2;4;0;2;0;4;4;0;2;2;0;0;0;8;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;4;0;2;4;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;2;4;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;0;2;0;2;0;0;0;2
