;great;trump;president;united;states;people;new;house;american;news;government;obama;white;administration;republican;national;election;federal;democrats;state;department;man;country;party;big;world;law;media;senate;working;york;thank;committee;hillary;donald;may;city;clinton;military;campaign;congress;nfl;million;americans;support;job;killed;called;think;history;good;2016;night;announce;story;best;fbi;justice;could;work;presidential;says;article;security;fake;released;win;former;bill;investigation;political;team;america;fact;power;china;strong;russian;nothing;show;court;police;trade;intelligence;economy;looking;attack;hard;thing;left;washington;important;russia;use;order;release;senator;trying;pay;criminal
great;0;28;18;16;18;26;24;8;18;16;10;4;4;10;6;4;8;10;12;16;2;8;12;8;10;10;4;16;8;12;2;6;2;2;8;4;6;2;0;2;0;4;0;4;8;16;4;2;8;14;6;2;4;8;4;2;0;2;8;8;2;2;2;0;8;0;8;0;2;2;6;4;10;2;4;2;4;0;12;4;0;0;2;2;0;6;0;6;2;0;2;4;2;2;6;2;6;6;4;2
trump;0;0;80;28;26;16;26;12;18;18;8;4;14;22;10;10;14;2;6;8;6;8;6;6;4;0;2;12;2;8;10;2;6;8;36;8;2;10;0;30;10;0;0;0;0;4;4;14;14;0;0;12;2;4;6;2;6;2;6;2;4;8;4;0;4;8;4;6;2;10;8;0;4;2;4;4;6;6;4;4;0;0;6;4;0;2;2;2;2;6;10;2;16;2;2;2;2;4;2;2
president;0;0;0;36;34;16;22;20;18;14;14;16;14;6;8;8;12;0;8;6;6;8;6;10;4;4;12;12;6;6;10;4;8;8;10;8;0;6;2;4;6;4;2;0;0;2;6;8;6;4;2;14;8;6;2;0;10;8;0;2;4;10;2;2;4;6;6;4;4;6;4;0;8;4;6;4;4;8;2;2;2;0;6;4;2;2;2;0;2;2;6;4;14;0;2;6;6;4;0;6
united;0;0;0;0;146;22;6;6;8;6;20;10;6;20;4;8;6;4;2;2;6;2;18;10;4;8;14;0;10;10;0;0;2;0;6;6;4;0;18;4;2;0;8;4;0;2;2;8;2;6;0;6;4;4;0;0;2;4;2;4;4;0;0;6;0;4;2;0;4;8;2;0;10;4;2;4;4;4;4;4;4;0;6;2;0;0;4;0;2;0;0;4;2;2;2;2;0;0;10;0
states;0;0;0;0;0;14;8;6;8;4;16;6;6;16;8;6;6;4;4;2;4;2;18;12;6;8;16;0;10;10;0;0;2;0;6;6;2;0;16;2;2;0;8;6;0;4;2;6;2;6;0;6;4;4;0;0;2;2;2;4;4;2;0;4;0;2;2;0;4;8;2;0;10;4;2;2;4;4;2;4;4;0;6;2;0;0;4;0;2;2;0;4;2;0;0;2;0;0;10;0
people;0;0;0;0;0;0;20;2;34;10;20;6;2;10;4;4;2;6;4;14;8;6;6;4;2;8;12;6;2;6;6;6;0;0;6;2;6;0;4;6;8;0;6;2;2;6;12;2;6;2;2;2;2;0;4;2;2;6;4;8;2;0;2;4;4;2;0;0;0;0;4;0;4;2;12;0;0;2;6;0;2;2;6;0;6;2;6;4;4;6;2;6;0;4;6;0;4;2;0;6
new;0;0;0;0;0;0;0;2;16;16;8;4;2;8;4;6;8;4;8;20;0;8;2;0;6;6;8;12;0;6;48;10;4;8;6;2;8;6;2;6;2;4;2;0;4;4;2;2;6;6;2;6;4;6;10;0;2;2;2;2;6;4;6;2;8;4;4;0;6;4;6;2;0;2;2;0;6;0;2;2;4;0;0;2;0;2;0;2;0;4;8;2;0;2;4;2;2;6;2;4
house;0;0;0;0;0;0;0;0;2;10;2;6;54;2;2;6;4;2;10;2;4;2;2;0;2;0;4;4;14;6;0;4;8;2;0;8;0;0;2;0;6;2;2;0;2;2;0;2;0;2;2;4;4;6;6;0;4;2;4;0;0;4;0;2;2;4;6;2;10;0;2;2;2;4;4;0;0;0;2;2;2;0;0;4;0;0;0;6;0;2;6;4;4;0;4;4;0;0;4;0
american;0;0;0;0;0;0;0;0;0;8;4;8;2;16;4;2;4;2;0;2;2;4;2;2;0;0;8;10;2;0;6;4;0;2;4;2;0;0;0;4;10;0;0;2;0;0;0;2;2;4;0;6;4;0;0;0;2;2;0;0;4;2;0;2;4;2;0;0;0;0;8;0;8;0;6;4;4;0;2;0;2;0;4;0;2;0;4;0;0;4;0;6;4;2;2;0;2;4;0;4
news;0;0;0;0;0;0;0;0;0;0;4;8;8;4;2;0;6;4;2;4;4;6;4;0;0;0;4;26;4;6;6;2;0;2;4;0;0;4;0;4;6;2;2;2;2;0;0;2;4;2;8;4;2;0;4;0;4;2;2;0;6;2;0;2;28;0;4;0;2;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;4;2;0;4;2;8;0;4;2;2;0;2;6;0;2
