;united;states;trump;great;people;president;new;democrats;american;national;government;obama;news;house;trying;security;fake;border;administration;report;election;released;war;left;rights;end;republican;york;world;big;federal;history;china;jets;real;department;radical;information;monday;state;incredible;presidential;hard;release;soon;michael;family;number;free;terrible;white;thing;joke;order;bill;approximately;whether;thank;vote;vehicles;average;social;john;male;wall;system;fbi;working;soldier;efforts;may;million;america;human;killed;party;point;rates;act;congress;interest;hero;twitter;welcome;businesses;attack;best;clintons;donald;reform;committee;man;senate;economic;men;plan;story;justice;area;asked
united;0;20;6;2;2;4;2;0;4;0;0;0;0;0;2;2;0;2;0;0;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;0;0;0;2;2;0;4;0;0;2;0;4;0;2;0;0;0;2;2;2;0;2;0;2;0;2;0;0;2;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;4;0;0;2;0;0;2;0;2;2;2;0;0;0
states;0;0;6;2;2;4;2;0;4;0;2;0;0;0;2;2;0;2;0;0;0;2;2;4;0;0;2;0;0;0;2;0;0;0;0;0;2;0;4;0;0;2;0;0;0;0;2;0;4;0;0;2;0;4;0;2;0;0;0;2;2;2;0;2;0;2;0;2;0;0;2;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;4;0;0;2;0;0;2;0;2;2;2;0;0;0
trump;0;0;0;2;4;10;4;4;2;2;2;2;0;0;2;0;0;2;2;0;2;2;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;6;0;0;2;0;0;0;0;0;2;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;4;0;0;0;0;0;0;0;2;2;0;2
great;0;0;0;0;8;4;2;0;4;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;2;2;0;2;0;4;0;2;4;0;0;0;0;2;4;0;2;0;0;0;0;0;0;0;2;2;0;0;4;0;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2
people;0;0;0;0;0;6;2;0;2;2;2;4;0;2;0;0;0;2;4;4;0;4;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;2;2;0;0;2;0;0;0;0;0;2;4;0;2;0;2;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;4;0;0;0;2;0;2;0;0
president;0;0;0;0;0;0;2;2;2;4;0;2;0;0;0;2;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;4;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0
new;0;0;0;0;0;0;0;2;0;2;2;2;2;2;0;0;2;0;2;2;4;6;0;0;2;0;0;8;0;4;0;0;2;4;0;0;0;2;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0
democrats;0;0;0;0;0;0;0;0;0;0;2;6;2;2;4;0;2;2;4;0;2;2;0;4;0;0;0;2;0;2;0;0;0;0;0;2;4;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0
american;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0
