;great;trump;president;united;people;states;new;american;administration;obama;government;country;republican;donald;york;news;house;national;job;democrats;congress;state;federal;world;security;fake;fbi;working;washington;forward;post;party;thing;department;china;released;j;election;trying;best;real;act;article;following;could;release;story;love;order;bill;looking;citizens;russia;former;health;end;border;war;big;history;man;bernie;white;americans;thank;hard;women;may;law;little;military;campaign;fight;transcript;young;information;told;number;help;wednesday;republicans;justice;clinton;court;men;general;russian;latest;nothing;hillary;city;program;says;north;thousands;killed;asked;crime;twitter;written
great;0;12;18;10;18;10;4;12;4;4;0;6;6;2;2;4;2;2;16;0;4;10;0;4;6;2;0;4;6;6;6;0;4;4;0;0;2;0;0;2;8;2;0;2;4;0;0;8;0;8;6;0;2;2;0;0;6;0;2;4;2;0;2;2;0;8;2;0;4;0;6;0;4;0;2;0;2;2;2;2;0;0;4;2;4;0;0;0;2;0;0;0;0;4;0;2;2;2;0;2
trump;0;0;52;12;12;12;14;14;10;8;8;8;10;24;6;2;4;2;4;6;2;8;6;0;2;6;10;6;10;2;2;6;6;8;0;8;20;6;4;0;2;2;0;0;6;4;6;0;8;0;0;4;8;4;4;2;2;0;4;2;4;4;0;4;0;2;0;2;4;4;0;12;2;4;0;4;6;0;4;2;2;6;8;2;0;4;4;0;0;8;2;2;2;2;6;0;2;2;4;0
president;0;0;0;14;16;14;6;8;4;10;4;8;4;8;4;2;2;4;6;4;6;6;4;2;4;4;4;4;8;0;4;4;2;4;0;4;6;4;6;0;2;4;0;0;2;2;4;0;8;2;0;4;8;10;2;2;4;2;0;2;4;2;2;0;0;2;0;0;2;0;2;8;0;0;0;2;6;0;4;4;2;2;4;0;0;4;4;0;2;4;0;0;0;2;4;0;0;6;6;0
united;0;0;0;0;10;62;6;6;2;0;6;10;2;2;0;0;0;2;4;0;2;0;0;10;2;0;2;2;0;2;2;2;4;0;4;2;2;2;2;4;2;4;0;0;2;2;2;2;8;0;0;8;0;0;0;0;2;4;0;2;0;2;2;0;0;0;0;2;2;2;6;0;4;2;0;0;0;2;4;0;0;0;0;2;2;0;2;2;0;0;2;0;0;6;0;2;0;0;0;0
people;0;0;0;0;0;10;4;20;6;4;6;2;4;4;0;2;2;2;6;0;4;0;8;0;4;2;2;2;4;4;0;4;0;4;0;6;0;0;0;2;0;4;2;2;2;2;2;2;4;4;4;6;4;2;6;4;2;2;2;2;4;0;0;0;0;2;0;2;4;4;0;0;0;0;0;2;4;8;4;0;0;2;2;4;0;0;4;0;0;0;2;4;0;2;6;4;0;0;0;0
states;0;0;0;0;0;0;6;6;2;0;6;8;2;2;0;0;0;2;4;0;2;0;2;10;2;0;2;2;0;2;2;2;4;0;2;2;2;2;2;4;2;4;0;0;2;2;2;2;6;0;0;8;0;0;0;0;2;2;0;2;0;2;2;0;0;0;0;2;2;2;4;0;4;2;0;0;0;2;4;0;0;0;0;4;2;0;2;0;0;0;0;0;0;6;0;2;0;0;0;0
new;0;0;0;0;0;0;0;2;4;6;4;0;2;4;22;4;6;2;2;2;0;0;2;2;0;2;4;0;0;0;2;2;4;0;2;8;4;6;0;0;2;2;0;0;4;2;4;0;2;2;0;2;2;2;2;2;0;2;6;2;0;0;2;4;2;4;0;2;0;2;0;0;2;0;2;4;0;0;2;0;2;0;4;0;2;0;6;0;0;4;4;0;0;0;0;0;0;0;2;0
american;0;0;0;0;0;0;0;0;4;2;2;4;4;2;0;6;0;4;0;2;2;0;6;0;0;4;2;4;4;2;0;2;0;4;0;2;2;0;0;0;0;4;0;2;2;0;4;0;0;0;6;2;4;0;6;2;0;0;0;4;0;0;2;2;0;4;2;0;2;0;6;4;0;0;2;0;2;0;2;2;2;2;0;0;2;0;2;2;0;0;0;2;0;2;2;2;0;0;0;0
administration;0;0;0;0;0;0;0;0;0;24;4;0;2;0;2;0;2;4;0;4;4;0;4;0;0;0;0;4;2;0;4;0;0;2;0;6;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;2;0;0;4;4;2;2;2;0;2;0;0;6;0;2;0;4;0;2;0;4;4;2;2;0;0;0;0;2;0;4;0;0;0;0;2;2;0;2;2;4;2;2;2;2;0;2;0;0
obama;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;4;2;4;8;4;2;4;0;0;2;0;0;2;0;4;0;0;2;0;4;0;4;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;2;2;2;0;2;0;2;4;0;0;0;2;0;2;0;4;0;0;2;0;0;0;0;2;0;4;2;0;0;0;2;0;0;4;2;2;0;0;0;2;0;2;0;0
government;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;2;2;0;10;2;2;2;2;2;0;0;0;0;0;2;4;0;0;2;0;0;0;2;2;0;0;4;0;0;0;0;2;2;2;0;2;2;0;2;2;0;0;2;0;0;2;0;0;0;2;0;2;2;2;0;2;2;0;2;0;2;0;2;0;2;0;0;2;2;0;0;2;4;2;0;0;0;0;0;0;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;2;0;0;2;2;2;0;6;0;2;0;4;0;0;2;0;2;0;4;0;6;2;0;2;0;2;2;2;0;0;0;2;2;0;0;2;0;0;2;2;2;2;0;0;0;0;2;0;0;2;2;0;0;0;4;0;0;0;0;0;2;2;2;4;4;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;2;4;0;2;4;0;0;4;2;0;0;0;0;0;10;6;2;0;0;6;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;6;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;2;0;2;0;0;0;4;0;0;0;0;0;0;4;0;0;0;2;0;0;0;2;0;0
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;4;0;0;0;0;2;0;2;0;0;4;6;0;0;0;18;4;2;2;0;0;0;0;4;2;2;0;2;0;0;0;2;2;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;2;4;0;2;2;0;0;4;0;0;2;2;0;0;4;0;0;0;0;0;0;0;0;2;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;2;2;2;0;0;2;0;0;0;0;2;4;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;2;0;0;4;4;0;0;0;0;0;0;0;2;0
news;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;2;0;0;16;4;2;0;2;2;2;0;2;0;0;0;0;4;2;2;0;0;2;2;0;0;0;0;2;2;0;2;2;0;2;0;2;0;4;0;0;4;0;2;2;0;0;2;0;0;4;0;2;0;2;0;0;0;2;0;2;2;0;0;0;0;6;0;2;0;0;0;0;0;0;0;0;2;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;2;0;0;2;2;0;4;0;6;0;2;0;2;0;0;2;0;2;0;0;6;0;0;4;0;2;0;0;0;2;0;0;2;12;6;2;0;2;0;0;0;2;0;0;0;0;6;0;0;0;2;4;2;0;0;2;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;0;2;0;0;2;0;0;2;0;4;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;4;0;2;0;0;2;0;2;2;0;2;0;2
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;4;0;0;0;0;0;2;2;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;4;0;2;0;0;0;0;0;2;0;2;2;2;6;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;4;2;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0
