;great;states;trump;united;president;house;new;government;white;obama;2016;caught;released;american;national;federal;campaign;donald;video;republican;dangerous;election;university;scrolls;trade;thank;good;people;job;think;general;j;decision;nfl;security;attacks;aid;vote;california;york;city;democrats;help;secretary;economy;says;billion;report;crisis;woman;best;patients;police;presidential;russia;country;press;fighting;nations;live;policy;senator;imperial;pay;state;medical;wrong;world;choice;department;guard;americans;group;peace;iran;close;senate;game;agency;committee;part;wall;deal;provide;worst;share;night;news;economic;allow;strongly;voted;article;florida;warned;sunday;quarterback;working;called;cincinnati
great;0;8;4;6;6;4;0;2;4;2;2;0;0;6;0;2;0;2;0;2;2;4;0;0;0;2;0;2;4;0;4;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;2;0;0;2;2;0;2;2;2;0;0;0;0;2;2;0;4;2;0;0;4;2;2;2;0;0;0;0;0;2;2;0
states;0;0;2;20;2;0;0;6;2;0;0;0;0;2;2;4;2;2;0;0;0;0;0;0;2;0;0;2;0;0;2;2;2;0;2;2;0;2;2;0;0;0;2;2;0;2;2;0;2;2;0;2;0;0;0;0;0;0;2;0;0;2;0;2;0;2;2;2;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;2;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0
trump;0;0;0;0;14;8;2;0;8;8;8;2;2;2;0;0;8;12;0;4;2;4;4;0;0;0;0;0;2;0;4;6;0;0;2;2;0;2;0;2;2;0;2;2;0;0;0;2;0;0;0;0;2;6;2;4;2;2;0;2;0;2;0;0;0;0;0;2;0;4;0;2;0;0;0;0;2;0;0;4;0;0;2;0;0;2;2;2;0;0;4;2;2;2;0;4;0;2;2;0
united;0;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0
president;0;0;0;0;0;8;2;0;10;8;4;2;2;6;2;0;2;2;0;2;2;4;0;0;0;0;0;4;2;0;2;2;0;2;2;2;2;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;2;0
house;0;0;0;0;0;0;2;0;12;2;0;0;0;2;0;2;2;2;0;2;2;0;0;0;0;0;2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2;0;0;2;0
new;0;0;0;0;0;0;0;0;2;0;0;2;4;0;4;0;0;0;0;2;2;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;6;4;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;2;2;6;2;4;2;0;0;0;0;2;0;0;2;2;0;0;2;4;0;2;2;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;4;2;0;0;2;0;0;0;2;2;0;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0
white;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0
obama;0;0;0;0;0;0;0;0;0;0;4;2;2;2;0;0;2;2;0;2;0;4;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;2;0;0;0;4;4;0;0;0;0;0;0;0;0
2016;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;4;0;4;0;6;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0
caught;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
released;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2
american;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
