;trump;great;states;president;united;people;house;new;government;federal;national;white;world;obama;state;thank;washington;news;donald;republican;american;democrats;york;administration;help;vote;campaign;may;bill;senate;making;working;department;election;court;security;senator;decision;told;life;report;city;military;police;country;post;job;j;million;iran;big;money;night;article;party;left;2016;released;continue;law;general;university;economy;caught;story;south;california;think;interest;stop;trade;best;committee;presidential;wrong;terrorist;crisis;says;possible;russia;support;sunday;fbi;youthank;times;approved;intelligence;love;live;fake;history;proud;radical;hard;billion;part;opportunity;victory;act;republicans
trump;0;12;10;42;6;4;18;6;0;6;4;14;2;14;6;0;14;4;24;6;4;0;6;12;2;2;14;8;2;4;2;2;10;4;6;6;2;6;2;0;2;2;4;2;6;8;4;12;2;2;8;4;2;4;0;0;8;4;2;2;8;4;0;2;0;0;0;0;2;2;0;0;6;8;2;2;2;2;2;6;2;4;4;0;4;0;6;0;2;0;2;2;0;0;2;0;2;2;2;0
great;0;0;10;14;10;16;8;2;2;2;4;8;4;2;8;6;4;4;4;4;8;6;0;0;4;4;0;0;2;2;4;6;2;6;4;0;4;4;0;4;0;0;6;2;2;0;8;4;2;2;6;4;2;0;4;0;2;0;2;2;4;0;0;0;2;0;0;2;2;0;0;0;0;0;2;2;2;0;0;4;4;0;0;4;0;0;0;2;2;0;0;4;0;6;0;0;4;2;4;2
states;0;0;0;4;54;2;2;2;10;6;4;4;4;2;2;0;2;6;4;0;2;0;2;4;4;2;4;0;4;2;2;0;0;0;6;4;2;4;0;0;4;0;2;0;2;0;0;2;6;2;2;2;2;0;0;0;0;0;6;2;4;0;0;0;2;2;2;0;0;2;4;0;0;2;2;2;4;2;0;0;0;0;0;0;2;0;2;0;0;4;4;4;0;0;4;0;2;0;2;0
president;0;0;0;0;4;10;16;4;0;4;4;16;2;12;6;0;6;0;10;2;10;2;2;6;2;0;4;6;0;6;2;2;2;4;2;4;0;4;0;0;2;0;2;0;4;6;2;4;4;2;6;2;0;2;2;2;4;2;2;2;4;0;0;2;0;0;0;0;2;0;0;0;2;2;2;4;2;4;2;0;2;0;4;0;2;0;2;0;4;0;2;0;0;0;0;0;0;0;0;0
united;0;0;0;0;0;0;2;2;4;0;4;4;4;2;2;0;4;6;2;0;0;2;2;4;2;2;0;0;4;4;2;0;0;0;4;2;0;2;0;2;4;0;4;0;2;0;0;0;4;2;2;0;2;0;0;0;0;0;6;2;2;0;0;0;2;2;0;0;0;2;4;0;0;0;0;2;4;0;0;0;0;0;0;0;2;0;2;0;0;4;4;2;0;0;2;0;0;0;4;2
people;0;0;0;0;0;0;4;10;4;2;0;4;8;2;10;2;2;2;0;2;2;2;6;2;2;0;0;2;0;4;2;12;0;2;0;0;2;0;4;0;0;4;0;2;0;0;2;0;4;0;2;2;0;0;2;2;0;0;4;0;0;0;0;0;2;2;6;2;4;2;0;2;0;0;0;4;0;0;4;0;0;2;0;0;2;0;0;0;0;2;0;2;0;6;2;2;4;2;2;0
house;0;0;0;0;0;0;0;2;2;4;0;26;0;4;4;2;0;8;6;6;4;0;0;0;4;4;4;2;6;4;0;0;2;4;0;0;2;0;2;2;0;0;0;0;0;4;0;0;2;2;0;2;0;6;4;2;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;2;0;2;0;6;6;0;2;4;2;0;2;0;0;0;0;2;0;0
new;0;0;0;0;0;0;0;0;0;2;4;2;2;0;6;0;0;6;0;2;0;2;26;0;2;0;0;6;0;0;0;0;2;0;2;0;0;0;0;2;2;8;0;2;0;2;2;0;2;0;0;6;0;0;0;0;0;4;2;0;0;2;0;2;0;0;2;2;0;2;0;2;2;0;2;2;2;0;0;2;0;2;0;0;10;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0
government;0;0;0;0;0;0;0;0;0;12;2;2;2;0;0;2;2;4;0;0;2;2;0;0;6;2;0;0;4;4;0;2;2;0;2;4;0;0;0;2;0;0;0;0;4;0;4;0;4;6;0;4;0;0;0;0;0;0;2;0;0;0;4;0;0;0;2;2;2;2;2;0;0;0;0;0;2;2;2;0;2;0;2;0;0;6;0;0;0;0;0;0;0;0;4;2;2;0;0;2
federal;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;4;0;2;0;2;2;0;2;2;4;0;2;2;4;0;2;0;6;0;4;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;0;0;0;0;0;0;0;2;0;2;4;0;0;0;2;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;4;0;0;0;0;0;0;0;0;4;0;2;0;0;0
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;4;4;0;2;0;4;2;0;2;0;0;4;4;2;0;0;10;2;2;0;0;4;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;4;0;2;0;0;0;0;0;0;0;4;0;0;0;2;2;4;2;2;0;0;2;0;0;0;0;0;0
white;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;0;6;4;0;4;0;0;0;4;0;2;0;2;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;2;0;2;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;4;4;2;0;0;0;0;0;0;0;0;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;4;2;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;4;4;0;0;0;2;0;0;2;2;0;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;2;4;0;0;12;2;2;4;2;2;4;0;0;0;4;0;0;2;4;0;0;2;0;0;0;2;4;2;4;0;2;4;0;2;0;0;0;4;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;2;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;0;4;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;2;0;2;2;2;4;0;0;2;2;2;2;2;0;4;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;2;2;0;2;0;2;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;4;0;0;2;2;2;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;4;0;0;0;2;2;0;2;0;0;0;2;2;0;2;2;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;2;0;2;4;0;4;0;2;0;0;0;0;0;2;2;0;2;2;2;0
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;4;2;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;4;0;4;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;2;2
news;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;0;0;2;2;4;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;4;2;0;0;0;2;0;2;0;0;2;0;2;4;4;2;0;0;8;2;0;0;2;2;0;0;0;0;2
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;4;4;4;2;2;0;2;2;4;0;2;2;0;0;0;0;0;2;0;2;6;2;10;0;2;2;0;2;4;0;0;4;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;4;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0
