;great;new;president;trump;states;united;federal;government;man;big;national;people;american;house;york;rate;police;war;vote;women;white;2016;protect;increase;fbi;article;americans;believe;crime;days;america;security;thank;attack;killed;michael;city;presidential;include;south;wont;country;good;job;election;provide;black;nfl;final;number;usa;young;hillary;leader;v;looks;family;reserve;happy;state;democrats;elder;season;act;director;strong;california;hit;incredible;media;republican;growth;depression;congress;order;seahawks;wall;fighting;administration;dangerous;bernie;scrolls;support;life;children;information;report;weather;alleged;love;increasing;san;critical;party;care;news;announce;nation;campaign;please
great;0;0;0;0;2;2;0;2;4;4;2;6;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2;0;2;0;6;0;0;0;0;0;0;2;0;2;2;4;4;0;0;0;0;0;0;2;0;4;0;0;0;0;0;4;2;0;0;0;0;4;2;0;2;0;0;0;2;0;0;0;4;0;4;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;2;0;0;2;2;0
new;0;0;6;4;0;0;4;2;0;2;2;0;2;0;12;4;2;0;0;0;2;0;0;4;0;2;2;0;2;0;0;0;0;0;0;2;4;0;0;0;2;2;4;0;0;0;0;0;0;2;2;2;2;0;0;0;2;4;0;0;0;0;2;0;0;0;2;2;2;4;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;2;0;2;2;0;2;2
president;0;0;0;14;4;4;2;4;0;0;2;2;0;4;0;0;2;0;2;0;4;0;2;4;2;2;6;2;2;2;2;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;4;0;2;0;0;0;2;0;0;0;0;4;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;2;0;0;2
trump;0;0;0;0;2;2;0;2;0;0;4;0;0;4;2;0;2;0;4;0;4;2;2;0;2;2;4;4;2;2;0;4;0;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;4;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;4;0;0;2;0
states;0;0;0;0;0;20;4;4;0;2;0;2;0;0;0;2;0;4;2;2;0;2;2;0;2;0;0;2;2;0;4;0;0;0;0;0;0;2;2;0;0;2;0;0;2;2;0;0;0;2;2;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;4;2;2;2;0;0;0;0;0;4;0;0;2;2;0;2;0;2;0;2;2;0;0
united;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;4;2;2;0;2;4;0;2;0;0;2;2;0;4;0;0;0;0;0;0;2;2;0;0;2;0;0;2;2;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;4;2;2;2;0;0;0;0;2;4;0;0;2;0;0;0;0;2;0;2;2;0;0
federal;0;0;0;0;0;0;0;10;0;0;0;2;0;0;2;4;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;8;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;0;2;0;0
government;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;2;0;0;0;2;0;0;0
man;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;6;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0
big;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;4;0;0;2;0;4;0;0;0;2;2;0;2;0;0;0;2;2;0;0;2;0;0;0;0;0;2;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
