;trump;great;president;news;new;people;obama;house;federal;left;working;campaign;states;fake;government;senate;administration;friday;democrat;investigation;big;donald;state;support;former;united;man;bill;nothing;york;fbi;may;white;democrats;washington;whether;job;think;times;wisconsin;2015;thank;vote;speech;part;complete;court;supreme;article;national;supporter;saying;congress;used;good;help;law;information;country;safety;announced;fda;club;notification;website;governor;republican;police;approved;korea;using;senator;says;north;strong;proud;border;technology;end;together;case;radical;soon;kill;days;series;leadership;act;convention;hard;given;reviewing;presidential;party;source;baltimore;ear;continuing;food;plan
trump;0;2;14;8;10;0;2;4;8;2;8;14;4;8;4;2;6;4;4;6;2;8;0;4;2;4;0;0;2;0;4;2;4;2;0;4;2;0;0;2;0;2;2;0;2;0;0;0;2;0;2;4;0;2;2;4;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;2;0;2;2;0;0;0;2;0;0;0;2;0;2;0;2;4;4;0;0;0;2;0;2
great;0;0;2;6;2;2;0;2;4;0;0;4;4;2;2;2;0;0;0;0;2;2;4;0;0;0;2;0;4;2;2;0;2;0;2;0;0;0;2;0;2;2;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;4;0;2;2;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;2
president;0;0;0;6;2;0;4;6;4;2;6;4;2;4;2;0;6;2;2;4;0;4;0;0;0;0;0;0;0;0;2;0;4;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;2;0;0;2;0;0;2;4;0;0;0;0;0;0
news;0;0;0;0;0;0;0;2;4;2;2;4;2;10;0;2;2;0;4;0;0;0;0;0;0;2;2;2;2;0;2;0;2;2;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
new;0;0;0;0;0;4;0;2;2;2;0;4;2;0;0;2;0;2;0;0;0;4;2;2;2;0;0;0;0;8;2;0;2;0;0;0;0;0;4;2;0;2;0;2;2;2;0;0;2;2;0;0;2;2;2;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2
people;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;4;2;0;4;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0
obama;0;0;0;0;0;0;0;4;2;4;2;2;0;0;0;0;8;2;4;4;0;4;0;0;2;0;0;0;2;0;0;0;0;2;0;4;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;2;4;0;0;2;2;4;2;4;4;0;2;2;2;0;2;0;0;4;0;2;0;0;8;0;2;0;2;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;2;4;4;4;0;6;0;2;2;0;2;0;2;2;2;2;2;0;0;0;2;2;0;0;0;0;4;0;2;2;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;2;0;0
left;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;4;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0
