;great;trump;people;new;united;house;president;states;white;state;government;news;american;national;working;democrats;federal;country;fbi;million;donald;washington;republican;left;administration;fake;congress;former;senate;released;story;media;city;presidential;team;committee;night;party;year;tough;killed;thank;security;election;man;fight;americans;information;campaign;proud;love;young;big;article;bill;family;2016;guard;currently;trying;clinton;york;best;hillary;usa;may;republicans;book;report;chicago;department;marvel;post;world;men;obama;continue;act;final;number;comicscredit;closely;nations;copy;announce;deal;gop;businesses;win;police;school;top;law;group;beautiful;economic;another;help;history;trumps
great;0;4;12;8;12;6;6;10;10;8;2;4;12;4;10;2;0;4;0;0;6;6;2;6;2;0;6;6;4;4;2;0;0;2;6;0;4;2;0;0;2;8;0;2;0;0;0;0;2;2;6;2;0;2;2;0;2;4;0;2;2;0;6;2;0;2;4;4;4;0;2;0;2;2;4;2;4;2;0;4;0;2;6;0;0;6;2;4;0;2;2;0;0;2;2;4;0;4;0;2
trump;0;0;2;6;10;18;36;8;12;4;8;4;2;4;6;4;2;2;6;2;18;4;6;4;12;6;2;4;6;10;4;6;0;6;0;10;2;4;2;0;2;2;4;6;0;0;2;8;12;2;0;0;0;0;2;2;8;0;2;0;4;2;0;4;2;2;0;2;4;0;2;0;0;2;0;4;2;0;2;0;0;2;0;2;2;4;2;0;2;0;2;4;0;4;2;0;0;0;0;0
people;0;0;0;8;4;0;0;6;0;6;2;10;16;2;2;4;2;4;4;2;0;4;0;6;2;2;2;2;2;0;0;4;2;2;0;0;0;0;4;0;4;2;2;2;0;6;4;0;0;0;4;0;0;0;2;0;2;0;4;0;0;2;2;0;2;2;2;0;0;0;0;0;0;2;2;2;0;4;2;6;0;2;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0
new;0;0;0;0;2;6;4;2;6;4;6;6;4;4;2;8;4;2;6;6;2;2;2;0;2;2;6;0;8;0;4;2;4;0;2;2;2;0;0;2;0;0;2;6;0;4;4;2;0;2;2;0;4;0;4;0;2;0;0;2;2;14;2;2;0;2;4;6;4;2;0;0;2;2;0;0;2;4;2;0;0;0;0;6;2;0;6;0;2;0;0;0;0;0;0;0;0;0;0;2
united;0;0;0;0;0;2;8;48;0;2;10;2;4;2;0;8;0;6;2;2;4;0;2;8;6;0;2;4;2;8;0;0;0;0;2;0;0;2;0;0;4;2;2;0;2;2;0;2;0;0;2;4;2;0;4;0;0;0;0;4;0;0;0;0;0;4;0;2;0;0;2;0;0;2;2;4;4;0;2;2;0;4;6;0;0;2;0;0;0;0;0;0;2;4;0;2;2;2;2;2
house;0;0;0;0;0;0;18;2;38;2;6;0;6;4;2;12;4;0;0;0;6;4;4;2;4;0;4;2;6;4;0;0;0;2;0;6;4;0;0;0;0;4;0;2;0;0;4;2;4;6;0;0;0;0;6;4;4;2;2;2;2;2;0;2;0;2;4;0;4;0;2;0;2;2;2;2;2;0;2;2;0;2;0;4;4;0;4;0;0;0;0;4;0;4;0;2;2;0;0;6
president;0;0;0;0;0;0;0;8;16;0;2;2;4;2;2;6;4;2;0;4;12;2;8;2;0;4;0;6;6;6;2;0;0;2;0;6;0;0;2;0;2;2;2;2;2;0;0;2;2;2;0;0;2;0;4;2;2;0;2;0;0;2;0;0;0;2;0;2;2;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;2;4;2;0;0;0;0;2;0;2;0;0;0;0;2;4
states;0;0;0;0;0;0;0;0;0;2;12;4;4;2;0;6;0;6;2;2;2;0;2;6;6;0;0;4;2;6;0;0;0;0;2;0;0;2;0;0;4;2;2;0;0;2;0;2;0;0;2;2;2;0;4;0;0;0;0;4;0;0;0;0;0;4;0;2;0;0;2;0;0;2;2;4;4;0;2;2;0;4;4;0;0;2;0;0;0;0;0;0;2;4;0;2;2;2;2;0
white;0;0;0;0;0;0;0;0;0;0;2;0;6;4;2;8;2;0;0;0;6;4;4;4;2;0;4;2;4;2;0;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;4;0;0;6;0;0;0;0;2;4;0;2;2;4;0;0;2;0;0;2;0;0;2;2;0;0;2;2;2;0;0;0;2;2;0;2;0;4;4;0;2;0;0;0;0;2;0;0;0;2;2;0;0;6
state;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;4;4;4;4;2;0;0;0;2;0;0;6;0;4;0;0;2;2;4;4;8;0;0;0;4;2;0;0;0;4;2;2;2;0;4;4;0;0;0;2;0;2;2;0;8;2;6;8;2;0;2;0;2;0;6;0;0;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;4;2;2;2;2;0;0;2;4;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;12;0;4;4;6;0;4;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;4;4;4;4;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;6;4;0;2;0;4;4;0;2;0;0;0;0;0;4;4;2;2;0;4;0;2;0;0
news;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;4;0;0;0;0;2;2;18;2;2;4;0;8;12;0;0;6;0;0;0;2;0;0;2;0;0;2;2;2;2;2;0;0;2;2;0;0;2;0;0;0;4;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;2;0;4;0
american;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;4;0;4;0;2;2;2;4;0;4;0;0;2;0;2;2;0;2;0;2;0;2;2;2;2;4;0;2;0;0;0;4;0;0;0;4;2;2;0;0;0;0;0;0;0;2;4;2;4;0;0;0;0;0;2;2;0;0;4;4;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;0
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;2;0;2;2;0;2;0;0;4;0;0;4;0;0;0;2;4;4;0;0;0;0;4;12;0;0;2;0;0;0;2;2;0;0;2;0;2;0;10;0;0;2;2;2;2;4;6;0;0;0;0;0;0;0;0;4;0;0;0;6;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;2;2;0;4;0;4;0;2;0;4;2;0;2;0;0;0;2;0;0;0;2;0;0;0;2;2;0;2;2;0;0;2;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;4;0;4;2;0;2;0;4;0;0;2;2;0;2;2;0;0;0;0;0;0;2;0;0;0;0
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;6;4;0;2;0;2;4;0;0;0;0;0;2;4;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;2;0;6;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;4;0;0;0;0;4;0;2;2;2
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;2;0;4;0;2;0;0;0;2;0;2;0;0;0;2;0;4;2;0;0;0;2;0;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;2;0;2;2;0;2;0;2;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;2;0;0
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;8;2;2;0;0;0;2;0;0;0;0;2;2;0;0;4;4;0;0;0;4;4;0;0;0;0;0;0;0;4;0;0;0;4;0;0;4;0;4;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;2;0;0;2;2;0;4;0;2;2;2;2;0;0;0;0;2;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;0;2;4;0;0;0;0;0;0;0;8
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;2;0;4;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;2
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;4;2;2;0;0;6;0;2;0;4;2;2;0;4;0;0;0;0;4;0;4;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;4;0;2;0;0;0;0;0;0;0;2;0;0;0
left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;2;0;2;0;0;0;0;0;4;2;0;0;0;0;2;0;2;4;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;2;0;0;2;0;0;0;0;0;0;4;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;4;0;0;0;0;2;0;0;2;0;0;2
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;2;0;2;0;0;0;2;0;0;2;0;4;2;2;0;0;0;0;0;0;2;2;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;10;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;12;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;0;0;0;0;0;4;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;2;0;2;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;2;0;0;4;0;2;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;2;0;2;0;2;0;4;0;0;0;0;0;0;0;0;0;4;0;0
former;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;4;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;2;0;0;0;0;0;0;0;2;0;0;0;0;0
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;6;0;0;0;2;0;4;0;4;0;0;2;2;0;2;0;0;0;0;4;0;2;0;0;2;0;2;0;0;2;2;4;2;4;0;0;0;0;0;0;0;0;6;2;0;0;0;0;4;2;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0
released;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;4;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;4;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;6;0;2;0;0;0;0
story;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;0;0;0;0;2;2;0;0;4;0;2;4;0;0;2;2;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;2;0;2;0;2;0;0;2;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0
