;new;united;people;states;great;president;trump;federal;news;national;house;government;law;york;americans;working;texas;team;american;america;committee;administration;court;media;billion;study;fbi;best;bill;families;fake;enforcement;lead;big;fan;escape;may;thing;jobs;released;white;show;republican;think;copy;history;man;million;democrats;congress;tax;john;former;deal;final;year;bernie;happened;little;serious;bad;running;guy;post;republicans;relationship;anniversary;ruling;powerful;good;truth;world;senate;week;thousands;transcript;times;travel;countries;budget;cuts;phone;faggot;400;calls;politics;job;china;obama;tonight;rush;lower;statement;shown;incredible;information;includes;z3;mr;james
new;0;0;2;0;4;2;4;0;6;6;0;2;0;10;4;2;2;0;0;0;0;0;2;2;2;2;0;6;2;0;2;0;0;0;2;2;4;2;2;2;0;4;0;2;4;2;0;4;0;0;0;0;2;0;2;0;2;0;2;0;2;0;0;4;2;0;0;0;0;2;2;2;2;2;2;2;2;0;0;2;0;0;0;0;0;2;2;0;0;0;2;0;2;2;0;0;2;0;0;0
united;0;0;4;24;4;4;2;4;0;2;4;0;0;0;4;2;0;0;2;4;2;2;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;2;0;0;2;0;0;0;4;2;0;2;0;0;0;0;0;2;0;2;0;2;0;0;0;2;2;0;0;2
people;0;0;0;4;10;2;0;2;0;0;2;0;0;0;2;6;2;0;4;2;0;4;0;0;2;0;0;2;2;2;0;0;0;2;0;0;0;2;2;0;2;0;0;2;0;2;2;0;2;0;4;2;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;4;2;0;2;0;4;0;0;0;0;0;4;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0
states;0;0;0;0;4;4;2;4;0;2;6;0;0;0;2;4;0;0;0;4;2;4;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;2;0;0;2;0;0;0;4;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2
great;0;0;0;0;0;0;2;0;2;2;4;0;0;2;0;2;0;0;4;2;2;2;0;0;0;0;0;4;0;0;0;0;0;2;0;2;0;2;2;2;6;0;0;2;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;2;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0;4;0;0;0;0;0;0;0
president;0;0;0;0;0;0;10;2;2;2;6;0;0;2;2;0;0;0;2;0;2;2;0;0;0;0;4;0;2;0;0;0;4;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2;4;0;0;0;2;0;0;2;2;0;0;0;4;0;0;2;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
trump;0;0;0;0;0;0;0;4;4;2;2;0;4;2;0;0;2;0;2;0;0;4;4;0;0;0;2;0;0;0;0;4;2;0;0;0;4;0;2;0;2;0;0;0;2;2;0;0;0;2;0;0;2;2;2;0;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;2;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;2
federal;0;0;0;0;0;0;0;0;0;0;0;4;4;0;2;0;2;0;0;0;0;4;4;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;4;2;0;0;2;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2
news;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;4;0;0;0;2;0;0;6;2;0;0;2;2;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
