;new;trump;pure;president;united;great;states;people;news;government;american;house;york;country;national;big;working;federal;state;russia;china;white;help;million;fbi;department;fake;city;man;called;republican;investigation;obama;history;media;hillary;donald;article;bad;political;team;radical;best;thing;good;clinton;youthank;source;democrats;administration;democratic;job;scrolls;world;uespwiki;monday;nothing;left;elder;thank;north;military;movie;another;police;hard;justice;campaign;making;americans;senate;report;complete;death;business;corrupt;2016;next;rate;party;former;night;3;bill;tuesday;court;end;development;chief;shut;deal;attack;life;power;arrested;announced;number;shooting;general;strong
new;0;18;0;6;4;8;6;4;14;8;2;0;28;4;2;2;4;2;4;4;0;2;0;0;0;2;8;4;6;6;0;4;0;2;6;2;6;6;2;4;2;0;4;0;4;4;0;0;0;0;2;2;0;2;0;4;0;0;0;0;0;2;0;4;4;2;2;4;2;0;0;0;4;2;0;0;2;2;0;0;0;4;0;0;2;4;2;0;4;4;2;0;2;0;0;4;0;0;2;0
trump;0;0;0;34;12;2;12;4;12;2;2;4;12;4;8;6;4;2;6;4;2;4;2;0;6;6;6;2;6;4;4;6;8;6;2;0;14;2;2;6;0;0;2;0;0;0;0;2;6;6;6;2;0;4;0;2;2;0;0;4;2;0;0;4;0;0;8;6;2;0;2;0;6;2;0;2;0;2;0;2;4;2;2;2;2;4;0;2;0;2;4;4;2;0;0;4;2;2;4;2
pure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
president;0;0;0;0;18;8;18;6;6;10;0;6;4;6;6;2;6;8;6;4;2;2;2;4;4;6;4;2;4;2;6;2;0;2;0;0;6;0;2;0;2;2;2;0;0;2;0;0;2;0;4;2;0;4;0;2;0;2;0;4;2;4;2;0;0;2;6;2;2;0;4;0;4;0;0;2;2;4;0;2;2;2;2;2;2;4;2;0;0;0;2;2;2;2;0;4;2;0;4;2
united;0;0;0;0;0;4;62;6;0;6;4;4;0;4;4;2;4;2;0;0;8;0;6;6;2;0;0;6;2;4;2;0;2;6;0;0;2;0;2;2;0;6;2;4;0;0;0;0;2;2;2;0;0;2;0;0;0;2;0;0;6;2;2;0;0;2;2;0;2;0;0;2;2;0;0;0;2;2;4;4;2;0;2;2;2;0;2;4;0;0;4;0;0;0;0;2;0;0;2;0
great;0;0;0;0;0;0;4;6;10;4;10;4;2;6;0;4;6;2;2;4;4;2;2;2;0;0;2;2;2;6;0;0;0;0;2;0;0;2;2;0;4;2;4;2;0;0;0;0;4;0;4;4;0;0;0;0;0;0;0;4;0;0;2;0;0;2;0;0;2;4;4;0;2;0;2;0;2;0;0;0;4;0;2;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2
states;0;0;0;0;0;0;0;6;0;6;4;2;0;4;6;2;4;2;2;0;8;0;4;8;2;0;0;6;2;2;2;0;2;6;0;2;2;0;2;2;0;6;2;4;0;0;0;0;2;2;4;0;0;2;0;0;0;2;0;0;6;2;2;2;0;2;2;0;2;0;0;2;2;0;0;0;2;4;4;6;2;0;2;2;2;2;2;4;0;0;4;0;0;0;0;2;0;0;2;0
people;0;0;0;0;0;0;0;0;4;2;14;0;2;4;2;4;2;2;4;0;2;0;4;2;4;2;0;2;0;2;0;4;0;0;0;2;2;0;0;0;0;6;0;2;4;2;0;0;4;0;6;0;0;4;0;0;2;8;0;0;0;0;0;2;2;0;0;0;0;4;0;2;2;2;0;0;2;0;0;4;0;0;2;2;0;0;2;0;0;2;0;4;0;0;2;0;4;2;0;0
news;0;0;0;0;0;0;0;0;0;0;0;4;4;4;2;2;6;0;0;2;2;4;0;0;2;0;20;2;4;4;4;2;0;4;10;2;0;2;4;6;0;0;0;2;2;2;0;0;0;2;2;0;0;2;0;0;0;4;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0
government;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;8;12;0;4;2;2;2;2;4;0;0;0;4;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;4;0;0;2;0;0;0;4;2;2;0;2;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;2;0;0;2;2;2;0;0;0;0;2
american;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;2;0;0;2;0;2;2;0;2;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;2;4;0;4;0;0;0;0;8;0;2;0;0;0;0;0;0;4;0;0;0;2;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;2;0;16;2;0;0;2;0;0;0;0;4;0;2;4;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0;0;4;0;0;0;0;0;2;2;0;0;4;0;0;2;2;0;0;2;0;0;2;0;0;2;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0
