;united;states;people;president;trump;great;american;man;federal;house;world;love;forward;economy;job;party;republican;video;national;administration;news;left;2016;big;country;democrats;nation;clinton;support;thank;hillary;move;war;attack;act;democrat;senator;leaders;protect;government;help;story;complete;radical;million;white;bipartisan;came;donald;good;disaster;election;everyone;new;think;reserve;cleveland;amendment;incredible;save;economic;data;security;joining;pay;greatest;club;dems;school;fbi;tremendous;destroy;california;military;area;november;visitors;congressional;monday;thought;china;texas;state;please;organization;another;killed;released;campaign;step;trudeau;share;senate;russia;decision;friday;machine;beautiful;article;presidential
united;0;26;2;10;4;2;0;0;6;2;2;0;0;2;2;2;4;0;2;0;2;4;2;2;2;4;0;2;0;0;0;0;4;0;0;0;0;0;0;2;2;0;2;6;0;2;0;0;4;0;0;2;0;0;0;4;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;0;2;2;0;0;0;0;0;2;2;2;0;2;4;0;0;0;0;0
states;0;0;2;8;2;2;0;0;6;2;2;0;0;2;2;0;2;0;2;0;2;4;0;0;2;4;0;2;0;0;0;0;4;0;0;0;0;0;0;2;2;0;2;6;0;2;0;0;2;0;0;2;0;0;0;4;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;2;2;2;0;2;4;0;0;0;0;0
people;0;0;0;4;2;10;8;2;4;0;2;2;0;0;2;2;2;2;0;0;2;0;0;0;0;0;2;0;2;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;2;2;0;2;0;2;0;0;0;2;0;0;0;0;2;4;0;0;0;2;0;6;0;2;2;0;0;0;0;2;0;0;0;0;2
president;0;0;0;0;12;4;4;2;4;8;0;0;2;0;4;2;2;0;0;0;4;2;2;0;6;2;2;2;4;2;0;2;2;0;2;0;0;2;2;2;0;0;0;2;0;4;2;2;6;2;2;2;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;2;0;2;0;0;0;0;2;0;2;4;0;2;0;0;0;0;0;0;0;0;4;4;0;4;2;0;0;2;0
trump;0;0;0;0;0;2;0;0;2;4;0;0;0;0;4;2;2;0;4;6;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;2;0;4;0;2;0;2;0;0;0;2;0;0;6;0;0;4;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;4;0;2;0;2;0;0;2;0;0;2;2;2;0;0;2;0;2;2;0;2;2;0;0;2;2;2;0;2;0;0;2;0
great;0;0;0;0;0;0;8;6;4;0;0;2;2;0;4;4;2;0;0;2;2;0;2;2;2;0;2;0;0;4;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;0;2;0;2;2;0;0;2;2;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2
american;0;0;0;0;0;0;0;2;2;0;2;0;0;2;4;0;2;0;0;0;2;0;0;0;2;0;0;2;2;0;2;2;0;2;2;0;0;2;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;4;0;0;0;0;0;2;0;2;2;0;2
man;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;4;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;4;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;0;0;4;0;0;2;0;0;2;2;0;2;0;0;2;0;6;4;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;0;2;0
world;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;6;2;0;0;2;4;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
