;people;states;new;united;national;great;american;trump;president;york;news;house;democrats;best;night;history;court;important;young;republican;care;working;obama;times;white;address;country;help;elder;killed;iran;story;passed;government;supreme;fake;justice;cloudy;voted;second;department;military;man;hard;federal;friday;source;congress;americans;take;strong;john;tackle;security;scrolls;political;released;health;russia;bill;amendment;uespwiki;canada;thing;information;nation;thank;report;across;put;considering;may;defense;army;tax;together;resources;making;year;giants;amazing;program;week;democratic;black;work;hoax;association;poll;disturbing;corrupt;affordable;racialiststhe;big;wednesday;location;trumps;2016;illegal;article
people;0;4;4;2;6;6;6;2;0;2;4;0;2;0;2;2;0;4;4;0;2;2;0;0;0;2;0;0;0;4;0;2;2;0;0;0;0;0;0;2;0;0;0;4;0;0;0;2;2;0;0;0;0;2;0;2;2;2;0;2;2;0;0;0;2;2;2;0;0;2;2;0;0;0;2;2;0;0;0;0;2;2;0;0;0;4;0;4;0;0;2;2;0;2;2;0;0;0;0;0
states;0;0;4;20;0;0;2;0;0;4;2;0;0;0;0;4;2;2;2;2;0;4;0;2;0;2;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;0;0;0;2;2;2;2;0;2;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;2
new;0;0;0;4;4;0;0;2;2;14;8;2;0;0;0;4;0;2;2;2;4;0;4;6;0;4;0;0;0;4;0;2;2;4;0;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;2;0;0;4;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;6;2;0;4;0;4;0;0;0;0;2;0
united;0;0;0;0;0;0;2;0;2;4;0;0;0;2;2;4;2;2;2;2;0;4;0;2;0;2;2;0;0;2;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;2;0;0;0;2;2;2;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;2
national;0;0;0;0;0;4;4;2;4;2;2;0;0;0;0;0;2;0;0;4;0;0;4;2;0;0;2;0;0;0;0;0;2;2;2;0;2;0;0;4;2;0;0;0;2;0;0;2;2;0;0;0;0;6;0;0;2;0;0;2;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;4;0;2;0;0;2;0;2;2;0;0;6;2;2;0;0;0;0;0;0;2;0;0;0
great;0;0;0;0;0;0;6;2;2;0;2;0;2;4;0;0;0;4;0;2;2;2;4;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;2;2;0;4;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2;2;0;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;2;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0
american;0;0;0;0;0;0;0;2;2;0;0;2;2;4;2;2;0;0;0;0;2;2;6;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;2;0;0;0;6;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0
trump;0;0;0;0;0;0;0;0;6;2;2;4;2;2;4;2;2;0;0;6;4;0;2;0;2;4;0;0;0;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;2;0;0;2;4;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0
president;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;4;2;0;0;0;2;0;0;0;2;2;2;0;0;0;2;0;6;4;2;2;0;0;2;2;0;0;0;0;0;4;0;2;0;0;0;2;0;2;0;2;2;2;0;2;2;0;0;0;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;4;0;0;0
york;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;2;0;0;0;2;0;0;2;6;0;2;0;0;0;4;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0
