;great;trump;president;united;states;people;new;house;government;american;state;administration;federal;former;history;court;working;obama;media;white;department;party;senate;republican;man;best;national;job;end;2015;campaign;russia;election;proud;investigation;million;good;fbi;post;law;think;vote;america;americans;love;big;senator;shooting;world;hoax;night;together;crime;university;york;clinton;nothing;supreme;news;justice;year;thank;support;could;asked;death;strong;announce;seen;article;security;full;center;2016;country;continue;michael;huge;important;still;fake;washington;hillary;committee;vegas;mass;friend;congress;november;left;second;texas;las;real;past;following;win;enforcement;action;play
great;0;16;12;4;6;8;14;6;4;6;8;6;2;4;0;0;8;4;4;4;0;2;0;4;6;4;2;8;2;0;8;2;0;10;2;0;8;2;2;4;2;8;8;0;8;4;6;0;0;0;2;2;4;2;6;4;0;0;6;0;0;10;4;2;2;0;4;2;0;2;2;2;0;0;2;2;0;0;2;0;0;0;2;0;2;0;8;2;2;6;4;0;2;2;2;0;4;2;2;0
trump;0;0;34;8;6;2;6;14;2;6;10;16;2;6;2;6;2;8;2;12;8;0;2;2;2;0;8;8;2;2;18;6;6;2;10;2;4;10;4;4;8;2;0;6;0;6;2;0;4;0;2;0;0;4;2;8;2;2;2;6;0;4;0;4;6;2;0;0;0;2;8;4;2;8;0;0;4;0;2;2;0;4;6;2;0;0;0;4;4;4;0;0;0;2;0;2;2;0;4;2
president;0;0;0;22;22;8;6;12;12;14;10;4;2;8;6;2;0;8;6;12;6;0;2;2;8;0;6;6;0;0;4;0;2;4;6;4;0;4;4;2;2;2;6;0;0;0;0;0;0;0;0;0;0;0;4;6;2;2;4;4;0;4;0;0;6;0;0;2;0;4;6;2;2;2;4;2;4;0;0;2;4;4;6;0;0;0;0;6;2;2;0;0;0;0;2;0;0;0;2;0
united;0;0;0;0;72;8;4;4;4;4;10;2;0;2;12;6;2;4;2;4;8;2;4;2;2;0;4;0;2;0;0;4;4;2;0;2;0;0;4;6;0;0;8;0;2;2;0;0;4;2;0;2;2;2;0;4;4;6;2;0;2;4;0;0;2;2;0;0;0;0;4;0;2;2;6;4;0;0;0;2;2;2;2;0;0;0;0;2;0;0;2;2;0;0;2;0;0;2;2;0
states;0;0;0;0;0;10;4;2;4;4;12;2;0;2;12;8;2;4;2;2;8;2;4;2;2;0;4;0;2;0;0;4;4;2;0;2;0;0;4;8;0;0;8;0;2;2;0;0;4;2;0;2;2;2;0;4;4;8;2;0;2;4;0;0;2;2;0;0;0;0;4;0;2;2;6;4;0;0;0;2;2;2;2;0;0;0;0;2;0;0;2;2;0;0;2;0;0;4;4;0
people;0;0;0;0;0;0;10;4;4;12;6;0;0;2;0;4;8;2;0;2;0;2;2;2;0;2;2;2;0;0;4;0;2;6;0;4;4;0;0;2;2;2;8;2;4;2;0;2;2;0;0;2;8;0;4;4;0;4;0;0;2;2;0;0;0;2;2;2;0;0;0;0;0;0;2;4;0;4;0;2;0;0;4;0;0;4;2;2;0;6;4;0;0;2;0;2;0;0;0;0
new;0;0;0;0;0;0;0;0;4;0;2;2;4;2;2;0;2;2;0;0;6;0;0;2;0;2;0;6;0;0;0;2;0;6;2;4;2;2;4;0;0;2;2;0;4;2;0;0;0;2;2;0;2;0;18;2;2;0;0;2;2;4;0;0;0;0;0;4;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0;2
house;0;0;0;0;0;0;0;0;4;2;4;4;6;2;4;2;0;2;2;26;0;2;8;2;0;0;2;4;0;0;2;0;2;0;4;4;0;2;0;0;0;4;6;0;2;2;0;0;0;0;0;2;2;0;0;2;2;0;0;2;0;0;0;0;4;0;0;0;0;0;4;2;0;2;0;0;2;0;0;0;0;2;0;2;0;0;0;2;6;0;0;2;0;0;0;0;4;0;2;0
government;0;0;0;0;0;0;0;0;0;2;2;4;10;0;0;0;0;0;0;2;6;2;2;2;2;0;2;2;6;0;0;2;0;0;0;6;2;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;4;2;0;0;2;0;0;0;2;0;0;2;0;2;2;0;2;2;0;2;2;0;2;0;2;0;0;0;0;2
american;0;0;0;0;0;0;0;0;0;0;4;4;2;2;2;0;4;8;0;0;0;2;4;2;4;0;2;0;0;0;0;0;2;2;0;2;2;2;2;0;4;0;2;0;0;0;0;4;0;0;2;0;2;0;0;2;0;0;2;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;2;0;2;2;0;4;2;0;0;2;2;4;2;2;0;0;0;0
