;great;trump;people;president;2018;house;new;national;senate;united;man;white;administration;act;power;killed;republican;states;american;love;fbi;washington;job;government;media;obama;using;spreadsheet;police;help;committee;military;five;law;china;agenda;state;report;news;press;wants;early;international;federal;funding;iraq;party;decision;florida;another;may;says;donald;thousands;best;head;country;reserve;scandal;10;confirmed;statement;firearm;death;support;charged;hard;beat;march;wonderful;cut;virginia;money;conference;2016;city;local;mayor;think;exactly;year;high;running;truly;ryan;york;business;senator;tax;j;third;morning;history;attacks;democratic;released;stand;voted;fighter;presidential
great;0;2;10;0;2;2;2;0;0;0;2;0;0;2;0;0;2;0;4;6;0;2;8;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;4;4;2;0
trump;0;0;4;12;0;0;2;2;2;2;0;0;8;0;0;0;0;2;4;0;0;2;0;0;4;2;0;0;0;2;2;2;0;0;2;0;0;2;0;2;0;2;4;0;0;0;2;0;0;2;2;2;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;4;0;2;0;0;0;2;0;4;0;0
people;0;0;0;6;2;0;0;0;0;2;2;0;0;2;0;2;0;2;6;4;0;0;0;2;2;0;2;0;0;2;0;2;2;2;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;2;2;0
president;0;0;0;0;0;6;0;2;2;2;0;6;0;0;2;0;0;2;4;0;0;2;0;0;4;2;4;0;0;0;2;2;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0
2018;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;4;2;0;12;0;2;2;0;0;2;4;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0
new;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;2;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;2;2;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0
united;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;12;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;2;0;4;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;6;0;0;0;0;0;0
