;president;great;new;united;american;people;trump;states;house;campaign;hillary;protect;2016;greatgod;news;york;state;administration;clinton;russia;federal;white;americans;department;obama;students;presidential;killed;former;act;released;law;justice;senate;left;fbi;investigation;possible;police;health;election;could;amendment;radical;national;bill;called;post;coming;congress;statement;collusion;russian;free;financial;director;friday;facebook;program;pleased;times;report;racist;world;best;democrats;beautiful;economy;night;present;complete;candidate;reports;agency;decision;shows;sanders;information;live;sunday;game;country;lot;media;species;washington;king;phoenix;final;year;season;protected;enforcement;committee;history;5;republican;extremely;virginia;central
president;0;6;4;8;6;4;10;4;6;6;4;0;4;0;4;0;0;4;4;6;0;2;0;0;6;0;2;0;6;0;0;0;0;2;0;0;2;8;0;0;4;4;0;0;0;2;2;0;2;0;0;4;4;2;0;0;0;0;0;2;0;0;0;2;2;4;2;2;4;0;0;0;2;0;4;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;4;2;2;0;0;0;0
great;0;0;4;2;6;6;2;2;2;0;0;0;0;2;2;0;2;2;0;0;2;2;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;4;0
new;0;0;0;0;0;2;4;0;0;2;4;0;0;0;2;6;0;2;2;2;0;0;0;0;4;0;2;0;0;0;2;0;0;0;0;0;4;2;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;2;0;2;2;0;0;2;4;2;0;2;2;0;0;2;0;0;0;2;2;0;0;2;2;0;4;2;0;0;2;2;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;2
united;0;0;0;0;4;4;4;18;2;0;2;2;2;0;0;0;2;2;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;4;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;2;0
american;0;0;0;0;0;8;0;0;2;0;2;0;0;0;2;0;0;0;2;2;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0
people;0;0;0;0;0;0;0;2;2;0;4;2;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0;2;0;0;0;4;0;2;0;0;0;2;0;0;0;2;0;0;4;2;2;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;2;2;2;0;0;2;0;0;0;0;4;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;0;0
trump;0;0;0;0;0;0;0;4;2;10;0;0;2;0;4;2;0;8;0;4;0;0;2;0;6;0;0;0;0;0;4;0;0;2;0;2;2;4;0;0;2;0;0;0;0;0;2;2;2;0;2;2;0;0;0;2;2;0;0;0;2;4;2;2;2;4;0;2;0;0;0;0;2;0;2;2;0;2;0;0;0;0;2;4;0;2;0;0;0;0;0;0;0;4;2;0;0;2;0;0
states;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;2;0
house;0;0;0;0;0;0;0;0;0;4;0;2;4;0;0;0;2;0;0;4;2;12;0;2;0;2;2;0;0;0;0;4;2;4;0;2;2;4;0;0;4;0;0;0;0;2;4;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;2;2;0;4;2;0;2;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;4;4;0;0;2;0;2;0
campaign;0;0;0;0;0;0;0;0;0;0;4;0;6;0;0;2;2;4;2;6;2;0;0;0;2;0;4;0;2;0;4;0;0;0;0;2;4;4;0;0;4;0;0;0;0;0;2;2;0;0;4;4;2;0;2;2;2;0;0;0;2;4;0;0;0;4;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;6;0;0;0;0;0;0
