;great;president;states;trump;united;people;new;house;american;news;white;federal;government;republican;state;national;thank;world;campaign;country;2016;media;presidential;york;party;administration;big;department;man;obama;americans;democrats;police;story;free;help;investigation;senate;fbi;washington;history;fake;election;bill;killed;former;russia;donald;justice;year;clinton;russian;left;court;called;article;may;another;good;thing;hillary;security;working;attack;protect;bernie;trying;could;program;health;political;nfl;supreme;congress;war;post;bad;law;report;committee;love;china;best;major;work;times;military;thursday;sanders;lot;week;pay;senator;radical;director;trumps;least;america;complete;act
great;0;18;14;12;16;28;12;12;20;14;12;4;4;8;10;8;12;6;2;16;4;8;8;6;4;4;12;4;6;2;2;0;0;10;4;4;0;4;0;2;4;2;2;8;0;2;0;2;2;12;0;0;2;0;4;0;2;2;4;2;0;0;4;2;0;4;0;0;4;0;2;6;0;2;2;2;0;0;2;2;10;0;6;6;2;2;4;2;2;10;0;4;6;0;2;0;2;14;4;4
president;0;0;36;68;42;18;22;26;8;18;22;6;6;4;4;8;6;6;10;6;10;10;12;10;2;4;4;2;4;12;6;8;0;4;2;4;10;4;10;6;12;10;10;4;2;12;14;16;6;10;4;14;6;2;2;2;8;0;4;0;4;4;2;8;2;2;4;6;4;2;6;0;0;4;4;2;8;2;2;6;4;0;8;0;2;2;12;2;2;10;2;0;0;4;8;22;0;4;2;2
states;0;0;0;16;126;8;6;12;8;4;8;8;10;2;8;8;6;6;0;14;4;2;2;0;0;10;6;0;6;8;0;4;2;2;4;6;4;6;2;4;4;2;4;8;4;0;0;2;0;2;0;2;2;14;8;2;2;0;4;2;0;8;4;4;4;0;6;2;8;0;4;0;14;4;4;2;2;2;0;2;2;6;2;6;2;0;6;4;0;0;0;4;0;0;0;0;4;8;0;2
trump;0;0;0;0;18;10;34;18;4;16;12;2;8;4;2;6;6;8;34;4;10;14;12;16;4;16;4;4;4;8;8;10;0;8;2;6;8;4;10;18;6;12;6;0;2;2;14;22;8;6;6;8;6;2;6;4;6;2;4;4;2;4;2;6;2;0;2;0;8;2;10;0;0;4;2;10;2;0;8;6;2;2;6;0;2;6;6;8;0;4;0;0;0;2;10;4;2;2;4;2
united;0;0;0;0;0;16;6;14;14;4;12;6;8;2;8;8;4;6;2;12;4;2;2;0;0;10;6;0;4;8;0;4;0;2;2;2;4;4;2;4;4;2;2;6;4;0;4;2;0;2;2;2;2;8;4;2;2;0;4;2;2;10;4;4;4;0;4;2;8;0;4;0;8;4;4;2;2;2;0;0;2;8;2;6;4;0;4;0;0;0;0;2;0;0;0;0;2;6;0;2
people;0;0;0;0;0;0;16;14;44;12;12;8;6;6;10;8;2;6;2;4;0;2;0;10;10;6;6;0;4;6;4;2;4;6;4;6;0;8;6;0;2;2;4;6;12;6;2;4;0;4;2;6;4;6;4;2;6;4;2;2;4;0;6;4;4;2;4;10;2;2;6;2;6;4;2;0;0;8;0;4;2;4;6;8;2;4;4;2;4;10;4;8;4;2;2;0;14;6;4;2
new;0;0;0;0;0;0;0;14;6;10;10;6;4;8;10;4;4;2;4;6;0;4;4;48;2;4;8;4;4;4;6;2;2;14;2;4;6;2;4;14;2;2;0;2;2;4;2;6;10;4;2;0;2;4;8;8;0;0;6;2;4;4;2;6;0;2;6;2;2;0;6;0;2;0;2;10;2;2;6;2;2;4;2;0;6;20;2;2;2;2;2;0;2;0;4;2;4;2;6;2
house;0;0;0;0;0;0;0;0;10;12;70;8;6;6;4;4;18;2;6;2;8;4;6;6;2;4;0;2;0;6;0;10;2;4;2;0;2;12;10;8;2;4;8;10;4;6;4;2;2;0;2;6;8;0;4;0;6;0;2;6;4;2;2;0;4;0;4;2;2;0;0;0;0;2;0;4;2;4;2;12;2;2;6;2;0;2;2;4;2;4;2;0;2;2;2;4;2;0;0;2
american;0;0;0;0;0;0;0;0;0;6;6;8;4;10;2;0;2;4;0;6;0;0;0;6;10;8;2;0;4;6;4;2;2;2;4;0;2;4;4;0;8;0;4;4;4;6;4;2;0;6;4;2;4;2;4;2;0;4;2;6;2;0;4;0;0;0;0;2;4;4;6;0;2;2;4;4;0;6;0;4;2;2;2;4;2;2;2;0;0;2;0;4;0;8;2;2;2;0;6;4
news;0;0;0;0;0;0;0;0;0;0;10;4;2;2;4;4;8;8;0;0;4;18;4;4;4;6;4;2;0;2;6;2;2;6;4;4;2;0;0;8;6;32;4;2;2;4;0;6;2;0;2;0;8;0;2;2;4;2;2;2;2;2;0;2;2;0;6;0;4;4;0;0;0;2;2;2;2;0;4;0;4;0;6;0;2;0;0;0;0;4;6;0;4;6;2;2;2;0;2;0
