;president;united;people;states;trump;great;new;american;house;news;man;world;help;country;white;administration;democrats;fbi;government;state;best;court;washington;thank;history;military;big;important;party;million;media;fake;love;team;federal;justice;congress;obama;election;investigating;bad;usa;donald;law;away;article;money;called;republican;shot;nothing;former;york;supreme;killed;left;end;national;complete;presidential;amazing;china;press;clinton;senate;lot;policy;campaign;put;fight;year;final;game;saying;may;friend;bill;proud;asked;working;life;win;good;nfl;protect;enforcement;war;radical;intelligence;accused;city;season;thing;department;nations;force;market;committee;hillary;highly
president;0;8;12;8;30;2;2;4;6;12;2;4;4;4;4;6;8;4;0;6;0;6;4;4;2;0;2;4;0;2;4;12;0;2;2;8;6;4;0;2;2;0;4;0;2;0;2;0;0;2;6;4;0;6;0;4;4;2;0;0;0;0;4;0;2;0;4;2;2;0;0;0;2;4;0;0;0;0;4;0;2;2;0;0;4;0;2;2;0;6;0;0;2;0;2;0;2;0;0;0
united;0;0;12;66;2;6;6;2;0;4;2;8;2;6;0;0;2;2;4;10;6;0;2;0;2;8;0;4;0;4;2;2;2;0;2;0;4;2;0;0;0;0;0;2;4;0;0;4;0;0;2;0;0;0;0;0;4;6;4;0;2;8;2;0;0;0;2;0;2;2;0;0;0;2;0;4;2;2;0;4;0;0;2;0;4;0;4;2;0;2;0;0;0;0;4;0;0;2;0;0
people;0;0;0;12;14;6;10;12;2;4;6;2;2;6;0;2;2;6;2;2;4;2;4;6;2;0;2;0;2;6;4;4;10;4;2;6;2;0;2;0;4;6;4;4;2;4;0;0;0;4;6;2;2;2;0;0;6;2;4;4;6;2;6;4;0;2;2;4;2;4;2;0;0;0;0;2;0;2;0;4;2;4;0;2;2;2;0;0;2;6;2;0;2;0;0;0;4;2;4;0
states;0;0;0;0;2;6;6;2;0;4;2;8;4;6;0;0;2;2;4;8;6;2;2;0;2;8;0;4;0;4;2;2;2;0;2;0;4;2;2;0;0;0;0;2;4;0;0;4;0;0;2;0;0;2;0;0;6;6;4;2;2;6;2;0;0;0;2;0;4;2;0;0;0;0;2;4;2;2;0;4;0;0;2;0;4;0;2;2;0;2;0;0;0;0;4;0;0;2;0;0
trump;0;0;0;0;0;2;4;4;12;6;4;0;2;2;6;10;2;6;4;2;0;2;6;8;2;0;2;0;2;6;6;2;0;2;2;10;4;2;0;4;4;0;18;0;2;2;0;2;0;0;4;2;2;2;0;0;4;4;0;6;0;0;4;4;0;0;2;6;0;0;2;0;2;0;0;2;2;2;6;2;0;0;4;2;0;0;0;0;4;2;0;0;0;4;0;0;2;4;4;4
great;0;0;0;0;0;0;2;6;2;4;6;2;4;4;2;2;2;0;0;4;0;0;0;6;4;4;2;4;2;0;0;2;8;8;0;0;2;0;2;0;0;2;0;0;4;0;0;6;2;0;0;0;0;0;0;6;0;0;2;0;2;0;0;0;2;2;0;2;0;2;2;0;0;0;0;0;0;4;2;2;2;2;0;0;2;0;0;2;0;0;0;0;2;0;2;2;2;0;0;2
new;0;0;0;0;0;0;0;6;6;2;2;0;2;0;4;6;2;2;2;2;4;2;4;0;2;4;2;0;4;4;0;0;2;0;2;2;0;6;2;4;2;2;4;0;0;2;6;4;2;0;2;0;16;2;0;0;0;4;2;2;0;0;0;2;0;2;2;4;2;0;2;2;2;2;4;0;0;4;0;0;0;0;0;0;0;2;0;0;0;2;4;0;2;2;0;2;0;0;0;0
american;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;4;6;2;0;2;0;2;4;6;8;2;2;2;2;0;2;2;2;2;0;2;4;2;2;2;4;0;0;2;2;0;0;0;2;2;2;2;0;2;4;2;4;0;2;0;4;0;0;0;0;0;2;0;0;4;2;4;0;0;4;2;0;2;0;2;2;2;2;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;4;2;0;0;0;22;4;6;0;8;2;0;0;4;2;2;0;6;0;4;2;2;2;0;2;4;0;0;2;0;4;4;0;4;0;0;0;0;0;2;0;2;0;2;0;0;4;0;0;0;0;0;0;6;0;4;4;2;0;0;0;0;2;4;0;0;0;6;0;0;2;0;0;0;2;0;2;0;2;4;0;2;0;0;2;0;0;0;4;0;0
news;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;6;2;4;2;0;0;4;0;0;2;2;0;0;0;4;20;0;0;4;4;0;0;2;4;0;0;2;0;0;0;2;2;0;0;0;2;2;0;0;4;4;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;2;2;2;0;0;2;0;0;0;0;0;2;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0
man;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;2;0;0;2;2;2;2;0;0;0;0;0;0;0;4;0;0;4;0;0;0;4;2;0;2;0;0;0;0;6;0;4;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;4;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;2;0;4;0;0;2;4;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;4;2;0;0;0;0;2;0;0;0;2;0;0;0
