Tweets,Month,Quarter,sampling,TweetsTokenized
The Federal Reserve is spending trillions of dollars to prop up the biggest and baddest economy on earth. They are doing it because they are sooo sure that things will get better again. They are doing it because they want to,January,Q1,45,"['federal', 'reserve', 'spending', 'trillions', 'dollars', 'prop', 'biggest', 'baddest', 'economy', 'earth', 'sooo']"
"He said he did not want to rush the decision.
The decision to fire James Comey was not a call for swift action but for the FBI to continue to do its job for the American people. The American people will ultimately",January,Q1,45,"['rush', 'decisionthe', 'decision', 'fire', 'james', 'comey', 'call', 'swift', 'action', 'fbi', 'continue', 'job', 'american', 'people', 'american', 'people', 'ultimately']"
"A LA County Superior Court judge has rejected a request by transgender student Gavin Grimm to be allowed to use the boys' bathroom at his high school in Olympia.
Fraudulent @nytimes reporters are now Democrats are the enemy",January,Q1,45,"['la', 'county', 'superior', 'court', 'judge', 'rejected', 'request', 'transgender', 'student', 'gavin', 'grimm', 'allowed', 'use', 'boys', 'bathroom', 'high', 'school', 'olympiafraudulent', '@nytimes', 'reporters', 'democrats', 'enemy']"
I am a woman! I am dedicated to serving our great Nation and am honored to have been considered as a U.S. Senator from Wisconsin for seven wonderful years. Today I want to THANK Senator Sessions for his hard work,January,Q1,45,"['woman', 'dedicated', 'serving', 'great', 'nation', 'honored', 'considered', 'senator', 'wisconsin', 'seven', 'wonderful', 'thank', 'senator', 'sessions', 'hard', 'work']"
"Abortion is a human right, not a privilege
Posted on by in Latest News
The time for trivial partisanship is over!
I am the only one that can beat Ted Cruz in November. I am strong and",January,Q1,45,"['abortion', 'human', 'privilegeposted', 'latest', 'newsthe', 'trivial', 'partisanship', 'overi', 'beat', 'ted', 'cruz', 'november', 'strong']"
"President Trump has spent the past few weeks drumming up support across the country for his controversial temporary ban on immigrants from seven Muslim-majority countries.
But experts say the President is blowing it. They point to the strong numbers",January,Q1,45,"['president', 'trump', 'spent', 'past', 'weeks', 'drumming', 'support', 'across', 'country', 'controversial', 'temporary', 'ban', 'immigrants', 'seven', 'muslimmajority', 'countriesbut', 'experts', 'president', 'blowing', 'point', 'strong', 'numbers']"
Fiery clashes broke out as protesters clashed with police in Istanbul on Saturday night. At least six were reported to have been injured and at least 50 arrested. Protesters threw water bottles and Molotov cocktails at police. Government spokesman,January,Q1,45,"['fiery', 'clashes', 'broke', 'protesters', 'clashed', 'police', 'istanbul', 'saturday', 'night', 'least', 'six', 'reported', 'injured', 'least', '50', 'arrested', 'protesters', 'threw', 'water', 'bottles', 'molotov', 'cocktails', 'police', 'government', 'spokesman']"
"The Policing Academy has introduced a course on how to identify and report bias. They are not calling for the investigation of White House Chief of Staff Reince. They are not even sure it is happening.
Congratulations to Professor",January,Q1,45,"['policing', 'academy', 'introduced', 'course', 'identify', 'report', 'bias', 'calling', 'investigation', 'white', 'house', 'chief', 'staff', 'reince', 'happeningcongratulations', 'professor']"
Serena Williams will be the first woman to make the US Women's National Team starting against China on Friday. The USA defeated Switzerland 2-1 on Friday. Hopefully a great start to the World Cup for the USA!,January,Q1,45,"['serena', 'williams', 'woman', 'womens', 'national', 'team', 'starting', 'china', 'friday', 'usa', 'defeated', 'switzerland', '21', 'friday', 'hopefully', 'great', 'start', 'world', 'cup', 'usa']"
"The Chinese government has issued a stern warning to any American citizen who has information about North Korea to do everything in their power to shut it down.
The Chinese have warned the United States that information about North Korea is extremely sensitive",January,Q1,45,"['chinese', 'government', 'issued', 'stern', 'warning', 'american', 'citizen', 'information', 'north', 'korea', 'power', 'shut', 'downthe', 'chinese', 'warned', 'united', 'states', 'information', 'north', 'korea', 'extremely', 'sensitive']"
"The Republicans have hijacked the House. Now they will hijack the Senate and possibly the White House.
The Democrats are using the phony Witch Hunts and the phony testimony of anonymous sources to delegitimize &amp; embarrass our",January,Q1,45,"['republicans', 'hijacked', 'house', 'hijack', 'senate', 'possibly', 'white', 'housethe', 'democrats', 'using', 'phony', 'witch', 'hunts', 'phony', 'testimony', 'anonymous', 'sources', 'delegitimize', 'embarrass']"
"The federal government will not force states to expand Medicaid under the Affordable Care Act.
GOP leaders are considering a bill that would make it easier for employers to fire good American workers by changing the definition of ""employer."" This",January,Q1,45,"['federal', 'government', 'force', 'states', 'expand', 'medicaid', 'affordable', 'care', 'actgop', 'leaders', 'considering', 'bill', 'easier', 'employers', 'fire', 'good', 'american', 'workers', 'changing', 'definition', 'employer']"
"The LDS Church is having a bad week. After commenting that gay marriage was against the teachings of the Church they now say that it is okay for people of different sexual orientations to marry.
In the House of Lords speech",January,Q1,45,"['lds', 'church', 'bad', 'week', 'commenting', 'gay', 'marriage', 'teachings', 'church', 'okay', 'people', 'different', 'sexual', 'orientations', 'marryin', 'house', 'lords', 'speech']"
"WASHINGTON (Reuters) - The U.S. Supreme Court on Monday declined to hear an appeal by Texas over the state's requirement that transgender people use bathrooms corresponding to the sex on their birth certificates.
A man holds a",January,Q1,45,"['washington', 'reuters', 'supreme', 'court', 'monday', 'declined', 'hear', 'appeal', 'texas', 'states', 'requirement', 'transgender', 'people', 'use', 'bathrooms', 'corresponding', 'sex', 'birth', 'certificatesa', 'man', 'holds']"
"The U.S. Supreme Court on Tuesday declined to hear a challenge to President Donald Trump's executive order temporarily banning citizens of seven Muslim-majority countries from entering the United States.
The 5-4 decision by the high",January,Q1,45,"['supreme', 'court', 'tuesday', 'declined', 'hear', 'challenge', 'president', 'donald', 'trumps', 'executive', 'order', 'temporarily', 'banning', 'citizens', 'seven', 'muslimmajority', 'countries', 'entering', 'united', 'statesthe', '54', 'decision', 'high']"
The United States is now the 15th country in the world to declare a state of emergency in response to the rapidly evolving situation in North Korea. The U.S. will continue to monitor the developments and will decide if and,January,Q1,45,"['united', 'states', '15th', 'country', 'world', 'declare', 'state', 'emergency', 'response', 'rapidly', 'evolving', 'situation', 'north', 'korea', 'continue', 'monitor', 'developments', 'decide']"
"Heather may have lost her job, but thousands of Americans are still working hard and enjoying the good times!


HAPPY HOCKEY CHECKS!





















",January,Q1,45,"['heather', 'may', 'lost', 'job', 'thousands', 'americans', 'still', 'working', 'hard', 'enjoying', 'good', 'timeshappy', 'hockey', 'checks']"
"The FBI is investigating claims that President Trump asked former FBI Director James Comey to end his investigation into former National Security Adviser Michael Flynn, according to a person with direct knowledge of the matter.
Flynn pled guilty to one count",January,Q1,45,"['fbi', 'investigating', 'claims', 'president', 'trump', 'asked', 'former', 'fbi', 'director', 'james', 'comey', 'end', 'investigation', 'former', 'national', 'security', 'adviser', 'michael', 'flynn', 'according', 'person', 'direct', 'knowledge', 'matterflynn', 'pled', 'guilty', 'count']"
The University of Michigan recently released new data showing that the number of students who have been suspended or expelled because of a mental illness has dropped by almost half since the Affordable Care Act was implemented. The number of students suspended for disruptive,January,Q1,45,"['university', 'michigan', 'recently', 'released', 'new', 'data', 'showing', 'number', 'students', 'suspended', 'expelled', 'mental', 'illness', 'dropped', 'almost', 'half', 'affordable', 'care', 'act', 'implemented', 'number', 'students', 'suspended', 'disruptive']"
"Hillary's Promised Land Is Not Even in the Mindset of the Democratic Nomination- It Is in the Hands of the Nominee!
The Democrats are in complete Disarray. They can do nothing &amp;",January,Q1,45,"['hillarys', 'promised', 'land', 'mindset', 'democratic', 'nomination', 'hands', 'nomineethe', 'democrats', 'complete', 'disarray', 'nothing']"
"And this is happening again. Posted by Chris Hayes on Monday, October 10, 2016
Today I am pleased to announce the nomination of Senator Joe Lieberman of Connecticut for a second term in the United States Senate. Lieberman is a",January,Q1,45,"['happening', 'posted', 'chris', 'hayes', 'monday', 'october', '10', '2016today', 'pleased', 'announce', 'nomination', 'senator', 'joe', 'lieberman', 'connecticut', 'second', 'term', 'united', 'states', 'senate', 'lieberman']"
"Have a safe &amp; happy Thanksgiving!
TRANSITION TO GREATNESS!
Defense is our great way to GO!
Great news! @MikeCollinsMD is joining the Great @GOP. Great idea!
",January,Q1,45,"['safe', 'happy', 'thanksgivingtransition', 'greatnessdefense', 'great', 'gogreat', 'news', '@mikecollinsmd', 'joining', 'great', '@gop', 'great', 'idea']"
The New York Times has a story up about how President Trump and his family are turning over control of their business empire to them. This is just the latest in a long line of successes under President Trump including the record setting Dow,January,Q1,45,"['new', 'york', 'times', 'story', 'president', 'trump', 'family', 'turning', 'control', 'business', 'empire', 'latest', 'line', 'successes', 'president', 'trump', 'record', 'setting', 'dow']"
"HARRIS COUNTY, Texas - A man has been arrested after two Harris County deputies were shot and killed in the line of duty.
Deputies responded to the 3000 block of Alaska Avenue around 1:40 a.m",January,Q1,45,"['harris', 'county', 'texas', 'man', 'arrested', 'harris', 'county', 'deputies', 'shot', 'killed', 'line', 'dutydeputies', 'responded', '3000', 'block', 'alaska', 'avenue', '140']"
The President of the United States is calling for the full and total shutdown of all mosques in the United States until such time as the threat from Radical Islamic Terrorism is addressed. The gates must be locked and the entire nation must be,January,Q1,45,"['president', 'united', 'states', 'calling', 'full', 'shutdown', 'mosques', 'united', 'states', 'threat', 'radical', 'islamic', 'terrorism', 'addressed', 'gates', 'locked', 'entire', 'nation']"
"The Diamondbacks have been linked to left-hander Wade Miley on multiple occasions in recent weeks.
The Diamondbacks are a no brainer for @WadeMiley26. He is a righty starter who has",January,Q1,45,"['diamondbacks', 'linked', 'lefthander', 'wade', 'miley', 'multiple', 'occasions', 'recent', 'weeksthe', 'diamondbacks', 'brainer', '@wademiley26', 'righty', 'starter']"
"In order to earn your Silver Star you must have served in the U.S. Military.
...
The process to become a Silver Star recipient has been going on for over 50 years. We have a great tradition of",January,Q1,45,"['order', 'earn', 'silver', 'star', 'served', 'militarythe', 'process', 'become', 'silver', 'star', 'recipient', '50', 'great', 'tradition']"
"Media playback is unsupported on your device Media caption What do Asian Americans think of President Trump?

There has been a surge in interest in medicine in the USA; however, there has also been a surge in suicide attempts and",January,Q1,45,"['media', 'playback', 'unsupported', 'device', 'media', 'caption', 'asian', 'americans', 'think', 'president', 'trumpthere', 'surge', 'interest', 'medicine', 'usa', 'however', 'surge', 'suicide', 'attempts']"
"This is the latest in a series of outrageous and illegal allegations against me brought against her by the Senate Democrats.
The Price Is Right is one of the most watched shows in the history of television. It is a great privilege",January,Q1,45,"['latest', 'series', 'outrageous', 'illegal', 'allegations', 'brought', 'senate', 'democratsthe', 'price', 'watched', 'shows', 'history', 'television', 'great', 'privilege']"
THE TRUTH ABOUT MONSIEUR PRESSLEY: https://t.co/Bv8P92Yd1Z pic.twitter.com/S8Ld4w3xoP — The White,January,Q1,45,"['truth', 'monsieur', 'pressley', 'httpstcobv8p92yd1z', 'pictwittercoms8ld4w3xop', 'white']"
"We are without a doubt #1 in the World!
I just spoke to President Xi of China about North Korea. He is very much on our side. He wants to avoid a catastrophic military conflict and wants to avoid a",January,Q1,45,"['without', 'doubt', '#1', 'worldi', 'spoke', 'president', 'xi', 'china', 'north', 'korea', 'side', 'wants', 'avoid', 'catastrophic', 'military', 'conflict', 'wants', 'avoid']"
"Advertisement

Advertisement

Advertisement

Advertisement

Advertisement
The Sun editorialised that the parent of a dead soldier should not receive an apology from the UK Government.
A Canadian soldier has been killed in action after",January,Q1,45,"['advertisementadvertisementadvertisementadvertisementadvertisementthe', 'sun', 'editorialised', 'parent', 'dead', 'soldier', 'receive', 'apology', 'uk', 'governmenta', 'canadian', 'soldier', 'killed', 'action']"
There are many different types of eyeglasses. There are prescription and over-the-counter (OTC) prescription models. There are over-the-counter and specialty models. There are prescription and OTC models.,January,Q1,45,"['different', 'types', 'eyeglasses', 'prescription', 'overthecounter', 'otc', 'prescription', 'models', 'overthecounter', 'specialty', 'models', 'prescription', 'otc', 'models']"
