;great;trump;president;people;united;administration;states;new;obama;news;state;campaign;fbi;country;american;city;working;thing;world;big;donald;america;fake;war;york;year;party;court;protect;job;bernie;national;debate;best;political;times;presidential;house;russia;government;proud;report;deal;supporter;another;supreme;love;kavanaugh;care;iran;pipeline;may;nation;critical;jack;turn;service;white;republican;history;good;place;j;released;huge;heart;cost;islamic;top;highly;support;committee;democrats;days;words;committed;workers;move;security;number;head;killed;involved;friday;dollars;strong;department;daily;left;election;complete;broncos;decision;economy;usa;@usatf;worst;trade;sanders;hard
great;0;8;6;8;4;4;4;6;2;2;6;2;4;6;6;2;0;2;4;6;2;2;2;0;2;6;4;0;2;4;0;2;4;4;4;2;4;0;4;2;4;0;2;2;0;0;2;2;0;0;2;2;0;0;2;0;4;0;0;0;4;2;2;0;0;0;0;2;2;0;2;0;0;6;4;2;2;0;0;2;2;0;0;0;0;4;0;0;0;2;0;0;0;2;2;2;2;0;0;0
trump;0;0;24;4;4;4;4;4;2;6;4;6;6;6;0;2;2;2;2;4;10;0;4;0;4;0;2;0;2;4;2;0;4;0;2;2;2;2;4;2;0;0;2;2;2;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;4;4;0;0;0;0;0;0;0;0;0;2;2;2;2;0;4;0;0;4;2;2;4;0;0;0;0;2;0;2;0;4;0;0;0;0;2;0;4
president;0;0;0;4;6;2;6;8;2;6;4;2;4;6;2;4;2;2;2;6;6;0;2;0;6;0;0;0;2;4;2;0;2;0;2;4;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;2;0;4;2;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;2;2;2;4;0;0;0;2;0;0;0;0;4;0;0;0;0;2;0;2
people;0;0;0;0;2;2;2;2;4;2;2;4;2;0;4;2;2;0;0;4;0;2;0;4;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;2;2;6;2;0;2;2;2;0;4;2;0;2;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2;0;2;0;0;4;2;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0
united;0;0;0;0;0;6;18;0;4;0;0;0;2;4;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2;2;2;4;0;0;0;0;0;0;2;0;2;0;2;0;0;2;2;0;2;2;0;0;2;2;2;4;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
administration;0;0;0;0;0;0;2;0;14;2;0;0;0;0;2;0;2;0;2;0;0;4;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;2;4;0;2;0;4;2;2;2;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
states;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;2;2;0;0;2;2;2;4;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
new;0;0;0;0;0;0;0;0;2;0;2;8;2;4;2;2;2;2;0;2;4;0;0;0;12;6;0;0;4;2;2;0;2;2;2;6;2;0;2;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;4;0;0;0;2;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;2;0;0;2;2
obama;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;0;0;0;2;0;2;4;2;0;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;2;2;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0
news;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;4;0;0;10;0;0;0;0;0;2;2;2;0;2;0;2;0;0;6;4;0;0;2;0;0;2;0;4;0;0;0;0;0;2;0;2;0;0;4;0;0;2;2;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;4;0;0;2;0;0;0;0;0;0;0;0;2
