;trump;great;president;people;new;united;states;state;federal;news;american;government;administration;national;house;fbi;big;working;man;democrats;campaign;world;country;good;white;obama;job;city;best;america;fake;media;york;donald;department;former;court;help;party;bill;million;team;may;china;republican;war;election;year;history;russia;washington;congress;security;group;released;report;military;vote;money;proud;committee;senate;protect;biggest;number;justice;usa;2016;hard;story;women;times;tax;nothing;support;complete;thing;political;russian;thank;article;love;supreme;senator;left;radical;free;reserve;work;think;running;told;critical;health;presidential;police;economy;strong;fact;california
trump;0;28;84;18;24;12;12;12;6;18;8;10;30;10;12;20;14;12;6;10;28;4;14;4;18;8;8;2;2;10;12;6;12;40;4;8;0;4;6;4;2;4;2;4;6;0;10;0;2;16;16;8;6;0;4;6;6;4;0;2;8;4;4;2;0;4;4;4;8;6;4;8;6;2;6;6;6;8;10;2;4;2;0;0;4;6;0;0;2;10;4;4;2;2;6;2;2;2;4;4
great;0;0;20;22;20;14;14;16;6;14;18;8;10;10;10;4;20;20;6;12;2;8;18;14;6;4;16;8;8;20;6;6;6;6;0;0;0;6;4;8;4;4;4;0;4;0;2;8;2;4;0;12;4;0;0;0;4;2;0;10;0;6;6;6;2;2;8;4;8;6;4;6;6;4;2;2;4;4;2;10;2;6;0;12;4;6;6;2;4;6;6;2;2;2;4;0;4;6;4;2
president;0;0;0;18;24;36;34;12;2;20;8;4;4;10;20;12;8;6;6;12;14;2;16;6;14;12;10;6;4;8;10;10;16;20;2;14;4;0;2;2;4;4;2;2;8;2;6;0;4;4;16;2;4;0;2;2;4;2;0;2;10;8;2;0;2;4;2;2;4;2;2;12;2;4;2;0;2;4;2;4;2;2;2;0;6;10;0;2;6;6;4;4;0;0;4;2;0;6;0;2
people;0;0;0;0;18;18;18;12;10;12;28;12;6;0;6;10;8;2;4;2;10;8;4;6;4;8;4;6;6;6;2;4;10;2;6;2;8;0;2;0;6;2;6;2;2;6;2;4;8;0;2;4;4;10;2;6;0;10;4;4;4;2;8;4;6;4;6;4;0;4;2;8;2;6;8;2;2;0;4;2;2;10;4;2;0;0;2;0;6;8;2;0;0;6;2;8;2;4;4;6
new;0;0;0;0;0;8;8;14;4;12;12;6;10;4;8;12;6;10;6;8;14;10;8;6;6;8;6;10;2;0;0;0;46;6;2;6;2;6;0;6;4;8;0;0;4;0;0;10;2;2;2;4;0;2;4;6;2;0;8;4;4;4;8;6;0;4;6;0;8;4;2;16;0;6;6;0;4;4;4;0;0;0;2;0;0;0;2;0;4;0;4;2;0;6;2;4;0;2;0;4
united;0;0;0;0;0;0;116;10;4;4;10;8;10;0;4;6;6;6;2;0;2;4;18;2;0;12;8;4;6;12;2;6;2;4;6;4;6;4;0;4;6;6;6;12;2;8;4;2;2;6;0;0;8;2;4;2;4;0;2;4;2;0;0;0;8;6;0;0;4;2;6;0;0;2;6;6;4;2;2;2;2;0;4;0;0;2;4;2;2;4;0;2;0;2;0;0;2;6;2;2
states;0;0;0;0;0;0;0;10;2;4;10;6;4;0;4;6;4;4;2;0;2;4;16;2;0;6;8;4;4;10;2;6;2;4;4;4;4;4;0;4;8;6;6;10;2;8;2;2;2;4;0;0;6;2;2;2;4;0;4;4;2;0;0;0;6;6;0;0;4;2;6;0;0;2;6;6;2;2;2;2;2;0;2;0;0;2;2;2;2;2;2;2;0;2;0;0;2;4;2;2
state;0;0;0;0;0;0;0;0;16;4;8;6;2;2;4;6;4;4;2;0;6;2;2;6;0;2;0;2;0;2;4;4;12;0;18;4;12;2;4;4;2;0;2;2;0;0;2;0;2;0;6;6;4;8;2;2;2;6;4;4;0;2;8;2;4;2;0;2;0;0;0;4;0;0;2;0;2;0;4;2;0;0;8;8;2;0;0;2;6;0;2;2;0;4;0;4;0;2;0;6
federal;0;0;0;0;0;0;0;0;0;2;2;26;8;8;2;4;2;4;4;0;0;0;4;0;2;4;4;2;0;4;0;0;2;2;4;4;10;2;4;2;4;2;2;2;4;0;8;2;4;0;0;2;4;4;0;4;0;2;6;4;0;2;4;4;6;0;2;4;4;0;2;2;2;0;0;0;0;0;0;2;2;0;6;4;2;0;2;24;0;2;2;2;2;4;0;0;2;0;4;2
news;0;0;0;0;0;0;0;0;0;0;4;2;2;4;12;2;12;12;2;2;2;2;4;6;8;4;2;0;0;0;36;18;6;2;4;6;2;0;2;2;2;0;0;0;2;0;2;0;2;6;6;4;4;0;4;6;4;0;2;6;4;0;2;2;2;0;2;0;4;4;0;4;4;0;0;2;4;4;6;2;4;8;2;4;0;0;0;2;0;2;2;4;2;0;0;0;0;2;0;0
