;states;united;trump;president;great;people;new;house;government;national;american;federal;world;news;working;white;obama;administration;country;man;best;thank;state;big;department;republican;announce;americans;job;help;article;washington;committee;democrats;york;law;donald;love;russia;america;senator;campaign;party;2016;presidential;city;economy;court;media;congress;may;election;senate;post;million;security;china;fbi;bernie;justice;hard;deal;called;take;work;police;proud;good;supreme;usa;history;important;war;latest;left;former;fake;strong;sanders;military;real;support;health;massive;russian;press;year;story;family;amazing;money;coming;thing;10;illegal;democrat;border;book;candidate;times
states;0;158;30;52;12;20;16;8;14;10;8;6;20;10;6;8;14;16;8;8;0;6;10;8;6;12;4;2;6;8;4;4;0;6;2;6;4;2;6;16;6;4;8;10;4;0;2;6;4;2;4;8;10;2;4;14;8;6;4;2;2;4;8;2;8;2;4;2;8;4;4;2;6;4;2;4;6;10;4;12;6;6;4;2;2;2;4;2;0;0;2;2;10;2;4;0;6;0;6;4
united;0;0;26;46;16;20;16;6;12;8;10;4;20;10;6;10;12;14;8;6;0;4;10;6;6;10;8;2;6;4;4;6;0;4;4;6;2;2;6;18;4;2;8;6;4;2;2;2;4;0;0;4;8;4;2;14;6;4;2;2;2;4;8;2;8;2;6;2;4;4;4;2;6;6;2;4;6;10;2;12;4;4;2;2;2;2;4;2;0;0;0;6;10;2;4;0;4;0;6;4
trump;0;0;0;94;22;32;8;14;6;6;22;6;4;10;6;16;12;26;8;6;0;2;6;4;10;10;2;6;6;8;4;10;12;12;4;4;38;6;18;8;6;22;4;16;10;2;2;6;10;12;12;16;8;6;4;2;8;6;8;8;2;6;10;8;2;0;0;0;6;2;2;4;0;8;4;2;4;10;4;4;6;0;4;8;6;2;0;6;0;0;2;4;2;0;12;8;4;2;6;6
president;0;0;0;0;26;38;8;12;10;6;26;8;8;14;12;16;16;16;12;14;4;4;12;10;6;10;10;6;6;6;4;6;4;10;2;6;10;4;14;6;8;4;6;10;10;0;2;8;10;8;4;8;12;4;4;0;8;2;6;4;8;4;10;10;2;2;2;0;8;0;4;8;4;4;4;4;8;12;4;4;4;4;0;6;6;2;0;2;0;0;2;4;6;0;6;2;4;0;6;2
great;0;0;0;0;0;26;16;8;4;10;16;8;8;12;8;6;0;2;4;10;6;8;8;8;6;8;12;4;16;6;4;4;0;4;6;8;6;10;0;12;10;0;4;2;0;2;8;2;2;6;0;2;4;2;2;2;4;0;2;0;4;2;2;2;8;4;10;4;2;4;2;6;0;2;4;0;2;10;2;6;4;4;0;2;0;2;2;2;8;8;6;4;8;2;2;2;8;0;6;2
people;0;0;0;0;0;0;12;4;14;10;26;6;4;14;4;6;4;8;16;4;8;2;4;6;4;4;2;6;2;6;0;8;0;0;2;6;6;6;6;6;2;4;6;4;0;2;8;2;12;2;4;4;2;2;2;2;6;4;0;4;4;6;0;6;2;2;4;4;2;14;2;4;4;4;2;0;8;6;0;0;2;2;2;8;0;2;4;4;2;8;2;8;2;4;4;6;2;0;0;0
new;0;0;0;0;0;0;0;4;6;4;6;6;4;4;4;4;4;6;4;4;12;2;6;2;4;2;2;2;2;4;2;6;2;0;40;8;4;2;2;8;6;2;2;0;0;6;2;0;2;0;2;0;0;10;2;2;4;0;2;0;2;0;8;2;2;2;0;4;0;2;2;2;2;2;4;4;0;0;2;2;0;2;0;2;0;0;4;4;2;2;0;4;4;6;4;2;2;4;2;12
house;0;0;0;0;0;0;0;0;4;10;0;2;2;6;8;54;6;6;0;4;0;4;2;6;4;4;2;4;2;8;0;4;14;2;2;2;0;2;4;4;2;6;2;2;0;0;0;2;6;4;2;6;4;2;8;2;2;2;0;4;2;6;2;4;4;2;0;2;2;0;2;2;4;2;4;2;0;2;2;0;4;2;4;0;2;12;0;0;4;2;0;2;0;0;2;4;2;2;0;0
government;0;0;0;0;0;0;0;0;0;2;4;26;12;4;14;2;2;4;4;0;0;0;2;0;2;2;2;6;2;8;2;2;2;0;0;2;2;0;0;2;0;0;0;2;0;4;4;2;2;0;2;0;2;2;0;0;2;0;0;0;4;4;0;0;2;0;0;4;2;0;4;2;0;0;0;0;0;2;0;0;2;0;4;4;6;0;2;4;2;0;6;0;2;0;0;0;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;2;4;8;6;4;6;2;0;0;0;6;2;4;0;2;18;2;4;2;6;2;4;24;0;0;8;6;2;4;0;4;6;2;6;6;0;0;2;2;2;2;4;0;2;4;16;0;0;6;2;0;0;0;2;0;2;2;4;2;4;0;2;2;2;0;2;0;4;6;0;0;2;4;2;0;2;2;0;0;0;2;0;4;2;0;4;2;0;8;0
