;president;trump;states;great;united;people;new;house;national;government;world;federal;working;american;article;department;news;big;best;thank;committee;obama;administration;love;man;may;republican;law;state;white;job;amazing;strong;democrats;americans;country;million;campaign;following;security;senate;party;washington;help;russia;family;work;health;economy;year;2016;senator;massive;russian;left;announce;good;justice;china;important;deal;bill;military;police;hard;court;media;could;fbi;attack;intelligence;system;california;illegal;latest;little;san;largest;fake;james;congress;care;presidential;building;cut;usa;bernie;investigation;bad;night;times;election;york;number;donald;nation;trade;real;texas;america
president;0;44;20;12;16;14;2;4;4;4;4;6;6;8;2;6;4;6;0;2;2;2;6;2;2;2;2;4;6;4;4;0;8;4;4;2;4;4;2;0;8;4;2;4;6;0;0;0;2;0;8;2;2;4;2;6;0;4;2;8;2;4;2;2;0;2;4;4;2;2;4;0;2;4;2;0;0;2;2;4;2;0;6;4;0;0;4;2;4;2;2;4;0;0;4;4;4;0;2;4
trump;0;0;14;12;12;14;6;8;2;2;2;4;4;8;2;6;4;2;0;2;8;4;12;6;0;6;2;4;4;8;4;0;6;4;2;2;2;10;2;0;4;2;6;4;8;0;0;4;2;0;6;2;4;2;2;2;0;4;0;4;2;6;2;0;0;0;8;0;4;2;8;4;2;4;6;0;0;0;2;2;6;2;2;4;2;2;4;4;4;2;6;10;4;0;10;2;4;2;2;6
states;0;0;0;6;58;0;6;2;6;8;12;2;2;4;2;6;0;6;0;2;0;4;8;0;2;2;4;2;8;0;4;0;6;2;0;6;2;2;0;4;2;4;2;6;2;0;4;2;2;4;4;2;0;0;0;0;0;0;6;0;2;6;6;2;2;2;0;2;4;0;0;2;2;2;2;2;0;0;0;0;0;0;0;4;2;2;4;0;2;0;0;2;0;0;0;2;4;4;0;6
great;0;0;0;0;8;8;4;2;4;4;8;4;2;8;4;2;6;4;0;8;0;0;0;6;6;0;4;4;4;2;4;4;6;2;2;0;0;0;0;2;2;0;2;2;0;8;4;0;6;2;2;0;2;0;4;4;0;0;0;6;2;4;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;0;2;2;2;0;0;0;0;2;2;2;2;6;0;2;4;0;4
united;0;0;0;0;0;0;4;0;4;6;12;0;2;4;2;4;0;4;0;2;0;4;8;0;0;0;4;2;8;0;4;0;6;0;0;6;0;0;0;4;2;4;2;4;2;0;4;0;2;4;2;0;0;0;0;0;0;0;6;0;2;4;6;0;2;0;0;0;2;0;0;2;2;2;2;2;0;0;0;0;0;0;0;4;2;2;2;0;2;0;0;0;0;2;0;2;4;2;0;4
people;0;0;0;0;0;0;2;0;4;6;2;6;4;12;0;4;4;4;4;0;0;0;4;4;2;2;0;4;0;0;0;6;4;0;2;6;0;2;0;2;2;4;2;4;4;0;0;2;4;4;2;0;6;0;2;2;0;2;0;2;4;2;0;0;0;0;4;0;2;4;0;0;0;2;2;0;0;0;2;2;0;2;0;2;2;8;0;0;2;0;0;4;0;6;2;0;0;2;0;0
new;0;0;0;0;0;0;0;2;2;4;0;6;2;2;2;2;4;2;4;0;2;2;2;0;0;0;2;0;2;0;2;2;0;0;2;4;2;2;0;2;0;0;2;4;2;0;2;0;2;2;0;2;2;0;0;0;0;0;4;2;0;0;0;0;2;0;0;0;0;0;2;4;0;2;0;0;0;2;0;2;0;0;0;4;0;0;2;0;0;2;6;0;10;2;2;4;0;0;0;2
house;0;0;0;0;0;0;0;0;6;0;2;0;4;0;0;4;4;2;0;0;8;4;4;0;0;2;2;2;0;22;0;2;2;0;2;0;8;6;4;0;2;2;2;4;2;2;2;4;0;0;0;2;0;0;2;2;2;4;2;2;2;4;0;0;0;0;4;0;0;2;6;2;0;2;2;0;0;0;0;4;4;0;0;2;0;0;0;2;0;0;0;4;0;0;0;0;0;0;2;0
national;0;0;0;0;0;0;0;0;0;2;6;2;0;2;2;0;2;0;0;0;8;0;0;2;0;2;10;6;0;2;2;0;4;0;2;0;4;0;2;12;0;0;0;4;2;0;0;4;0;2;2;4;0;0;0;2;4;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;2;0;0;4;0;0;2;0;0;0;0;0;2;0;0;4;0;0;0;2;0
government;0;0;0;0;0;0;0;0;0;0;6;14;8;4;2;2;2;0;0;0;2;2;4;0;0;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0;2;6;0;2;2;2;2;2;2;0;4;6;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;2;2;2;0;0;0;0;0;2;0;0;0;2;0;0;4;0;0;2;2;0;0;0;0;6;0;2;0;0;0;0
world;0;0;0;0;0;0;0;0;0;0;0;2;0;6;4;0;0;0;2;2;0;2;2;0;2;0;0;4;2;2;2;0;0;0;4;4;0;0;0;8;0;2;2;0;2;2;0;0;2;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;4;0;0;2;2;0;0;0;0;0;0;0;0;0;2
federal;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;2;0;0;2;2;4;0;0;0;2;4;2;0;4;0;0;0;6;0;2;0;0;0;2;0;0;4;0;2;2;2;4;2;0;0;4;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;2;0;2;0;6;0;2;0;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;2;0;2;0;2;2;0;0;0;2;2;2;4;0;4;2;2;4;0;0;0;2;0;0;4;0;2;0;0;2;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;6;0;0;0;0;2;0;0;4;0;0;0;2;4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
american;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;0;0;0;0;2;0;0;2;0;0;2;0;6;0;4;2;0;0;0;2;0;2;0;2;0;2;2;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;2;0;0;0;2;0;0;0;2;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;2;2;0;0
article;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;0;0;0;2;0;0;2;0;0;2;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;2;0;0;2;0;0;0;0
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;0;2;2;0;0;4;2;0;0;0;2;0;0;0;4;6;4;2;0;2;4;2;0;0;2;0;0;4;2;2;2;0;4;0;12;0;2;0;0;0;4;0;0;0;0;4;2;2;4;2;2;0;0;0;4;0;0;2;0;0;0;2;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0
