;trump;people;united;president;states;new;news;man;great;american;working;government;video;announced;city;china;year;fake;house;proud;texas;state;final;team;thank;party;senate;white;best;national;nation;obama;terrorism;post;may;says;administration;hard;trade;justice;military;watch;country;big;congress;job;left;another;real;republicans;federal;formamy;announce;fbi;america;finally;believe;world;voting;response;week;wide;power;russian;burning;please;americans;limited;thing;head;story;early;steve;strong;rush;economic;everyone;department;court;espn;sign;amazing;protect;email;reduce;washington;copy;donald;shooting;taking;iowa;defeat;transcript;goodman;mass;imperial;republican;fact;monday;attack
trump;0;4;4;16;4;2;2;0;0;2;0;0;0;4;0;0;0;2;4;0;0;0;2;4;0;2;0;4;2;0;0;2;0;2;2;0;2;2;0;2;0;0;0;0;0;2;2;2;2;0;2;2;0;2;0;4;2;0;0;0;0;0;0;2;0;0;0;0;2;4;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;6;0;2;0;2;2;2;0;0;0;2;2;0
people;0;0;0;2;0;4;0;0;2;6;2;2;0;0;2;2;4;0;0;0;0;0;0;0;2;0;0;0;0;0;4;2;0;0;0;0;4;0;0;4;4;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;2;2;0;0;0;4;0;0;2;0;0
united;0;0;0;2;20;2;2;0;0;0;0;0;0;6;0;2;0;0;6;2;0;0;2;2;0;0;2;6;0;2;0;0;2;2;4;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;2;0;2;0;2;0;2;0;0;0;0;4;2;0;0;2;2;2;2;0;0;0;2;0;0;0;2;2;0;0;2;0;4;2;2;0;0;0;0;0;2
president;0;0;0;0;2;0;2;0;0;2;0;0;0;4;0;2;0;4;2;0;0;0;2;2;0;0;0;2;2;2;0;0;0;0;2;0;0;6;2;2;0;0;2;0;2;0;4;2;0;0;4;2;0;2;0;4;4;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;2;2;2;2;0;0;2;2;0
states;0;0;0;0;0;2;2;0;0;0;0;0;0;4;0;2;0;0;6;2;0;0;0;2;0;0;0;6;0;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;2;0;4;0;0;0;0;0;0;0;2
new;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;4;0;0;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2
news;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;6;2;2;0;2;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0
man;0;0;0;0;0;0;0;0;2;2;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
great;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0;2;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
american;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
video;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
announced;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0
city;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
china;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;4;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
