;democrats;president;states;united;people;new;trump;administration;house;together;great;department;obama;york;democrat;california;government;fbi;times;good;investigation;national;white;federal;stop;country;brought;spoke;stronger;possible;donald;fox;police;best;america;asked;attack;republicans;james;law;committee;failing;state;bill;fact;firing;attacks;san;man;book;thursday;crime;investigating;pictureslook;senate;amc;week;trying;almost;china;tuesday;another;working;isis;bad;information;media;statement;use;terrorist;voting;enough;russia;thank;talk;taking;reserve;sixmonth;store;nations;hard;heart;intelligence;plan;official;campaign;congress;forced;john;story;news;republican;called;website;racist;climate;economy;nomination;big;louis
democrats;0;2;2;2;4;0;0;2;2;2;0;2;2;0;4;0;0;0;0;2;0;2;2;0;2;2;0;0;0;2;0;0;0;2;2;0;0;6;0;0;0;0;0;0;4;0;0;0;2;2;2;0;0;0;2;0;2;2;0;0;0;2;2;0;4;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2;0;0;2;0;0;0;0;2;0;0
president;0;0;8;8;2;2;14;10;2;0;4;2;6;2;4;0;2;4;2;2;4;0;2;0;2;0;0;4;0;0;6;0;2;0;0;2;0;2;6;4;2;0;0;2;0;4;0;0;2;0;2;0;4;0;2;0;0;0;2;2;4;0;0;0;0;2;0;0;0;2;0;0;2;2;0;2;0;0;0;2;0;0;2;0;2;2;4;0;0;0;0;2;2;0;0;0;0;2;0;0
states;0;0;0;26;4;0;4;6;0;2;0;2;4;0;0;0;2;0;0;2;2;2;0;0;2;2;0;0;2;2;2;0;2;0;0;2;4;0;0;6;0;0;0;2;0;0;2;0;2;0;2;4;0;0;2;0;0;2;2;0;0;0;0;2;0;2;0;2;0;4;0;0;0;2;0;4;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0
united;0;0;0;0;2;0;4;6;0;2;0;2;4;0;0;0;2;0;0;2;2;2;0;0;2;2;0;0;2;2;2;0;2;0;0;2;4;0;0;6;0;0;0;2;0;0;2;0;0;0;0;4;0;0;2;0;0;0;2;0;0;0;0;2;0;2;0;2;0;4;0;0;0;2;0;4;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0
people;0;0;0;0;0;2;4;0;0;0;0;0;0;2;2;0;0;2;2;2;0;0;2;0;2;4;2;0;0;2;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;2;2;4;2;0;0;0;2;0;2;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;2;0;0
new;0;0;0;0;0;0;2;0;2;0;2;0;2;12;2;2;2;0;12;2;0;4;2;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;2;6;4;0;0;4;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;2;2;2;2;0
trump;0;0;0;0;0;0;0;6;4;0;6;2;4;2;0;0;2;4;2;2;2;0;4;0;2;2;0;2;0;2;10;2;0;0;2;2;0;0;2;2;0;0;0;2;2;2;0;0;0;0;0;0;6;0;0;0;0;0;2;2;4;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;4;2;0;0;0;2;0;2;0;0
administration;0;0;0;0;0;0;0;0;0;0;2;0;12;0;2;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;2;2;0;2;0
house;0;0;0;0;0;0;0;0;0;0;2;4;0;2;2;0;0;0;2;0;2;4;8;0;0;0;0;2;0;2;4;0;0;2;0;0;0;2;0;2;4;2;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
