;great;people;trump;states;united;house;president;american;new;republican;country;thank;democrat;state;million;war;police;russia;court;party;obama;washington;working;news;white;government;donald;democrats;administration;man;support;fbi;complete;federal;past;information;2016;city;america;staff;friends;pay;proud;threat;still;released;important;congress;national;investigation;supreme;charges;everyone;deal;report;spent;muslim;chairman;book;grandpa;fighting;allowed;clinton;13;candidate;copy;transcript;lot;historic;full;final;left;death;devastating;across;games;strongly;tough;change;campaign;best;chief;trying;affected;brotherhood;seeing;radical;making;continue;highest;guy;season;walking;nation;press;history;6;bill;nothing;security
great;0;4;2;2;2;2;2;6;2;2;6;4;2;2;0;0;0;0;0;0;0;0;4;0;0;0;0;6;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;4;0;2;0;2;2;2;2;0;0;0;0;0;0;0;4;2;0;0;4;0;0;0;0;0;2;2;0;2;0;0;0;2;0;4;2;2;0;0;0;0;4;0;0;0;0;0;0
people;0;0;4;4;4;0;0;6;0;6;6;2;4;2;0;0;2;0;0;2;0;2;2;0;0;6;4;2;0;2;0;0;0;4;0;0;6;0;0;0;4;0;0;2;0;0;0;0;0;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;4;0;0;4;2;2;0;0;2;2;4;0;2;0;0;0;0;2;4;2;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;2
trump;0;0;0;0;0;4;8;2;6;4;0;0;0;0;0;0;0;4;0;0;0;6;0;2;4;0;6;0;0;2;0;4;2;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;0;0;0;2;0;2;0;4;4;4;2;0;0;4;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0
states;0;0;0;0;22;2;4;2;0;2;2;2;0;0;0;2;0;0;4;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;4;2;0;0;0;2;0;0;0;2;2;0;4;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;2;0;2;4;0;0;0;0;0;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2
united;0;0;0;0;0;2;4;2;0;2;2;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;4;2;0;0;0;2;0;0;0;2;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;2;0;2;4;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2
house;0;0;0;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;8;0;0;4;0;0;0;2;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;4;0
president;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;2;0;2;0;0;0;0;0;4;2;0;0;0;2;0;0;0;0;2;0;0;0;0;4;2;0;0;0;2;0;0;0;2;0;0;2;2;0;0;2;2;0;0;4;0;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2
american;0;0;0;0;0;0;0;0;0;2;6;4;2;0;2;0;2;0;0;2;0;0;4;0;0;2;2;4;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;2;2;2;2;0;2;2;0;0;4;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2
new;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;2;4;0;0;0;0;0;4;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;4;0;0;4;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
country;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;0;0;2;2;0;0;4;0;4;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2
democrat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;2;2;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;0;4;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;0;0;0;4;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
