;trump;people;president;united;states;great;american;news;new;working;house;national;party;government;republican;man;china;country;thank;state;obama;fake;donald;white;federal;fact;court;congress;best;investigation;act;trade;fbi;administration;democrats;city;police;washington;work;thing;big;america;video;left;democrat;hard;proud;still;war;help;world;senate;russia;massive;post;2016;complete;support;finally;everyone;trying;believe;final;may;change;job;information;media;year;military;called;million;york;says;story;team;copy;weeks;former;security;shooting;another;family;wants;friends;threat;supreme;important;attack;bill;families;republicans;tax;past;spent;campaign;nation;strong;announced;good
trump;0;12;38;4;4;6;10;10;10;2;8;4;6;0;8;2;6;0;0;0;2;4;20;8;2;4;2;0;2;6;4;2;6;2;2;0;0;8;6;2;2;0;0;6;2;4;0;0;0;0;2;0;8;0;4;6;2;0;4;0;6;4;6;6;2;2;0;6;4;0;2;0;6;2;4;4;6;2;0;0;2;4;0;0;0;2;2;0;0;0;0;2;0;0;2;4;2;4;4;2
people;0;0;4;6;6;10;20;0;6;6;0;0;2;10;6;2;2;8;6;2;2;0;8;0;6;6;2;0;0;2;0;0;0;4;4;2;2;4;2;4;6;2;4;4;4;2;0;2;0;2;4;2;0;6;0;6;2;2;2;4;4;0;0;0;0;0;0;4;4;4;0;0;2;0;0;0;0;0;0;2;4;0;2;2;4;2;2;0;2;2;2;2;0;2;0;0;6;2;0;0
president;0;0;0;8;8;4;6;6;2;0;6;8;2;0;2;0;4;4;2;0;2;6;4;6;4;4;4;2;4;4;6;2;2;0;2;0;0;2;0;4;2;4;0;6;0;8;0;0;0;0;0;4;4;0;2;2;2;2;4;0;6;6;4;4;2;2;0;6;2;0;4;0;2;2;4;2;4;2;2;2;2;2;0;0;0;4;2;0;0;2;0;2;0;0;0;2;2;2;4;0
united;0;0;0;0;54;4;2;2;2;2;8;4;0;0;2;0;6;2;4;0;0;0;0;6;0;4;2;2;0;0;0;2;0;0;2;0;0;2;0;2;2;8;0;4;0;2;2;0;2;0;0;6;0;0;2;0;0;2;2;4;2;2;2;4;0;0;0;0;0;2;4;0;0;0;4;2;2;2;0;4;0;0;0;2;0;2;2;0;2;0;0;2;0;0;0;0;0;0;6;2
states;0;0;0;0;0;4;2;2;2;2;10;2;0;0;2;0;6;2;4;0;0;0;0;6;0;4;4;4;0;0;2;2;0;2;2;0;0;2;0;2;2;8;0;4;0;2;2;0;2;2;0;4;0;0;2;0;0;2;4;4;2;2;0;2;0;0;0;0;0;2;4;0;0;0;2;2;0;2;0;2;0;0;0;2;0;2;4;0;2;0;0;4;0;0;0;0;0;0;4;2
great;0;0;0;0;0;0;12;6;2;6;4;2;0;2;2;2;4;6;6;2;0;4;0;0;2;0;0;2;4;0;0;2;2;0;8;0;0;0;2;4;2;2;2;8;2;2;0;2;2;2;0;4;0;4;0;2;2;2;2;4;0;2;0;0;2;0;2;4;2;0;0;0;0;0;0;2;0;0;0;2;0;0;4;0;2;2;0;0;0;2;2;2;0;0;0;0;4;2;0;2
american;0;0;0;0;0;0;0;2;2;8;0;0;2;4;2;4;0;6;6;0;4;4;4;0;4;2;2;0;0;0;2;2;0;2;6;0;2;0;2;4;6;0;2;4;2;2;2;2;0;2;2;2;0;0;0;2;2;0;0;2;0;0;2;2;0;0;0;4;2;2;0;4;0;0;0;0;2;0;0;2;6;2;0;2;0;0;2;0;2;0;4;2;0;0;0;0;6;0;0;0
news;0;0;0;0;0;0;0;0;0;0;4;0;2;2;4;0;0;0;0;2;0;14;4;4;0;0;0;0;2;2;0;0;2;0;0;0;0;2;2;2;0;2;2;2;4;2;2;0;0;0;0;0;4;2;2;2;0;0;2;2;4;2;0;0;2;0;0;8;0;0;0;0;0;0;2;0;0;2;0;2;2;4;2;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;4;4
new;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;2;2;0;4;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;4;0;0;0;0;0;0;0;0;2;2;2;0;2;0;4;2;0;2;10;0;2;4;2;2;0;0;0;2;0;0;0;0;0;2;2;0;0;2;0;0;0;2;4;2;0;0
working;0;0;0;0;0;0;0;0;0;0;4;4;2;4;2;0;2;0;0;4;2;0;2;2;6;0;0;0;4;2;2;0;4;4;4;0;0;0;0;0;4;0;0;2;0;4;2;4;0;4;0;2;0;0;0;2;2;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;0;2;0;0;0;2;0;2;2;0;2;2;0;0;0;2;0
house;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;2;2;0;2;0;22;2;2;0;0;4;4;4;2;2;0;6;0;0;2;2;2;0;2;0;0;0;0;0;0;0;4;0;2;2;0;2;0;0;0;2;0;0;2;2;2;2;0;2;0;2;0;2;0;0;2;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;2;0;4;0;0;0;0;0;0;2;2
national;0;0;0;0;0;0;0;0;0;0;0;0;8;2;4;0;0;4;0;2;4;0;4;0;0;0;0;4;2;2;2;2;6;2;0;0;2;2;0;0;2;0;0;0;0;0;2;0;0;4;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;4;10;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;4;0
party;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;0;2;2;0;2;0;6;2;2;2;0;2;0;0;0;2;0;0;4;0;0;0;0;2;0;4;0;0;8;0;0;2;2;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;2;4;2;0;0;0;10;0;4;0;2;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;4;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;2;2;2;0;2;2;0;0;2;2;2;0;0;0;0;2;4;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;8;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;6;0;6;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;2
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;2;0;4;2;0;2;0;0;0;0;0;0;6;2;2;0;0;0;4;0;0;0;0;0;0;2;2;2;0;0;0;2;0;0;2;0;0;4;2;2;0;0;2;0;0;0;0;0;0;2;4;0;2;0;2;0;2;4;6;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0
