;great;united;states;trump;people;department;president;life;obama;@;justice;house;administration;hillary;good;federal;national;help;released;new;government;news;white;intelligence;job;poll;vs;2016;china;party;committee;monday;hiking;campaign;clinton;list;donald;rates;looking;senate;presidential;fbi;election;working;americans;democrats;future;state;number;story;result;supreme;organization;best;congress;world;thank;report;women;military;came;political;minister;agency;lead;senator;iowa;high;economy;police;incredible;nations;forward;official;reserve;court;america;men;called;please;worlds;investigating;ukraine;support;could;walks;year;public;texas;fans;copy;washington;witch;leaders;doors;senior;entire;together;response;nursing
great;0;6;4;6;8;2;4;0;0;0;2;0;2;0;2;4;0;2;0;0;2;2;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;2;6;0;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0;2;2;0;4;2;0;2;2;0;0;0;0;0;4;0;2;0;0;2;4;0;2;4;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0
united;0;0;18;0;2;2;2;0;2;2;2;0;0;0;0;2;0;2;4;0;0;2;0;2;0;0;0;2;4;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;6;2;0;0;4;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;4;2;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0
states;0;0;0;0;2;0;2;0;4;0;0;0;4;0;0;2;0;4;4;0;0;0;0;2;0;0;0;2;6;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;4;2;0;0;2;0;0;2;2;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0
trump;0;0;0;0;4;6;6;0;0;0;6;4;4;0;0;0;2;2;0;4;2;4;2;6;4;2;0;4;0;2;4;0;0;4;0;0;6;0;2;2;6;2;2;2;2;4;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;6;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
people;0;0;0;0;0;4;0;2;0;0;0;2;2;0;0;0;2;4;0;0;0;0;4;2;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;2;0;0;2;0;0;0;2;2;0
department;0;0;0;0;0;0;4;0;2;0;8;0;2;0;0;0;2;0;2;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;2;2;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
president;0;0;0;0;0;0;0;0;2;0;4;2;2;0;2;0;2;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;2;0;2;2;2;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
life;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0
obama;0;0;0;0;0;0;0;0;0;2;4;2;8;0;0;0;4;2;4;4;0;4;2;0;0;2;0;0;4;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;2;2;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
@;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
