;great;trump;president;united;states;new;people;federal;news;house;government;administration;american;world;obama;national;republican;country;state;donald;york;white;man;thank;good;former;media;senate;department;committee;city;released;campaign;party;fbi;million;reserve;court;money;story;military;election;hillary;fake;presidential;2016;clinton;washington;democrats;thing;help;america;order;working;big;nothing;report;senator;congress;job;year;home;supreme;justice;women;russia;love;announce;life;investigation;group;police;best;democratic;trade;monday;free;voted;woman;bill;hard;republicans;announced;history;work;may;times;trumps;political;forward;possible;killed;video;j;massive;war;week;democrat;men;amazing
great;0;18;24;20;18;12;32;8;12;4;10;8;32;14;4;2;8;18;10;4;2;2;10;20;14;6;2;4;2;2;4;2;0;10;2;2;8;0;2;4;6;2;0;4;4;2;0;2;6;14;2;10;2;0;6;4;8;8;0;10;0;0;0;2;4;0;6;4;4;0;2;2;10;2;4;2;4;4;2;0;4;4;2;8;8;0;0;0;2;2;0;0;4;4;4;4;2;0;6;12
trump;0;0;72;8;2;22;16;8;20;26;10;16;2;4;6;8;20;8;6;50;10;24;6;4;6;16;6;10;6;10;4;10;18;10;14;2;0;4;0;0;0;12;4;12;14;10;4;4;6;0;4;2;12;2;8;4;4;2;8;10;0;0;4;6;2;4;2;0;2;6;0;0;4;6;4;6;2;4;0;4;2;0;2;6;2;6;6;6;6;0;4;0;2;16;4;2;6;6;2;2
president;0;0;0;30;26;20;14;12;18;28;8;12;4;6;12;2;6;6;6;24;4;26;8;8;12;16;8;8;10;6;2;10;8;8;12;2;0;8;2;6;2;10;2;8;8;10;4;4;2;2;2;4;8;4;2;4;0;4;4;8;2;2;4;10;2;10;0;2;4;12;0;2;2;0;2;4;2;0;4;4;2;0;2;4;4;4;2;20;2;2;6;0;4;2;4;4;6;4;2;0
united;0;0;0;0;132;6;18;8;8;8;14;20;10;12;16;0;0;10;14;2;2;6;2;10;6;4;2;4;4;0;2;10;2;0;2;4;0;10;4;0;8;4;4;2;0;2;6;8;2;2;8;10;4;4;0;6;4;2;12;2;2;4;8;8;2;2;0;8;0;0;2;2;2;0;8;2;2;0;2;6;2;4;4;2;0;0;2;4;2;0;2;0;2;2;2;2;2;4;0;2
states;0;0;0;0;0;6;16;8;6;10;14;18;10;10;14;0;0;10;12;0;2;6;2;8;6;2;2;6;0;2;2;10;0;0;0;4;0;10;4;0;6;2;4;2;0;2;6;8;2;2;10;10;2;4;0;4;6;2;8;2;2;4;8;4;2;2;0;8;0;0;2;2;0;0;6;4;4;0;2;8;2;4;4;2;0;2;2;2;2;2;2;0;2;2;2;2;0;0;0;0
new;0;0;0;0;0;0;10;6;12;8;8;8;8;6;6;10;4;2;8;8;42;6;2;0;2;10;2;0;4;2;6;6;8;0;4;8;2;2;4;4;0;2;4;4;6;4;4;6;0;2;4;8;0;4;4;0;0;4;2;4;2;6;2;0;0;0;2;6;2;0;0;4;6;4;2;4;0;4;2;2;2;2;6;4;0;2;20;0;0;0;2;0;2;2;2;2;2;4;2;2
people;0;0;0;0;0;0;0;4;4;8;4;6;36;8;8;4;4;10;8;6;2;10;0;14;2;2;8;2;6;2;0;4;2;2;0;2;2;0;0;6;4;4;0;4;6;2;0;2;6;4;6;6;6;6;2;4;4;2;2;6;0;6;0;2;2;4;2;4;4;0;10;4;4;4;0;0;0;0;2;0;6;0;0;0;6;4;2;4;6;0;2;8;4;4;2;4;0;2;2;8
federal;0;0;0;0;0;0;0;0;2;6;20;4;6;0;2;6;2;0;2;6;4;0;0;0;0;6;0;4;6;6;2;0;8;2;2;12;30;6;8;2;0;2;2;0;2;8;2;6;0;4;2;4;2;2;2;8;0;2;2;0;0;0;4;4;0;4;0;0;0;6;0;0;0;0;4;4;4;2;0;4;0;4;4;4;0;4;0;10;4;0;4;0;0;0;4;2;2;2;0;0
news;0;0;0;0;0;0;0;0;0;12;4;6;0;4;8;2;8;0;0;8;6;4;6;0;4;2;18;4;2;2;2;6;6;4;4;2;2;2;2;2;2;4;0;34;6;4;0;6;0;6;2;2;0;0;2;2;6;2;0;4;0;0;2;4;0;2;0;2;2;0;2;0;6;2;4;0;6;2;0;4;0;4;2;0;0;6;4;0;0;0;2;2;4;6;4;4;6;6;0;0
house;0;0;0;0;0;0;0;0;0;0;4;0;8;4;4;4;8;8;2;8;4;48;2;4;6;6;2;14;0;18;0;14;6;4;4;0;0;0;4;0;0;2;2;6;2;2;0;0;4;4;2;0;4;0;2;4;2;0;2;6;0;2;0;0;0;6;2;0;2;4;2;0;0;2;2;4;2;4;0;4;0;10;2;0;2;0;2;4;0;2;4;0;4;0;2;0;10;6;0;2
government;0;0;0;0;0;0;0;0;0;0;0;4;2;4;2;4;0;0;0;2;0;0;0;2;0;0;6;4;0;4;0;2;2;0;2;2;2;4;8;0;2;0;0;2;0;0;0;2;4;8;2;0;4;4;0;0;0;2;6;2;8;2;4;0;0;4;0;0;0;2;0;0;0;0;2;4;0;0;2;2;0;2;4;4;0;0;0;0;0;2;4;4;0;0;2;2;0;0;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;4;0;42;2;0;0;2;6;2;0;0;2;2;4;2;0;2;0;0;4;2;0;2;0;0;4;0;2;6;2;0;2;2;2;0;2;2;0;4;0;4;0;4;8;2;4;4;2;0;0;2;2;0;0;2;2;2;0;0;0;0;0;0;6;0;0;0;2;2;0;4;2;0;2;2;4;0;0;2;0;0;2;0;6;0;2;0;0
american;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;2;2;10;2;0;4;4;2;2;2;4;2;2;0;4;2;2;4;0;0;0;4;0;0;4;8;2;2;0;6;2;2;2;2;2;0;6;4;2;0;2;4;0;2;0;0;2;0;2;2;2;4;6;4;0;0;0;0;4;0;0;0;2;0;0;4;4;0;4;2;0;2;0;4;0;0;2;0;0;0;0;0;2;4;4
