;great;trump;president;united;states;people;federal;house;new;administration;american;news;state;government;donald;obama;national;department;world;good;fbi;party;white;man;justice;working;senate;life;committee;republican;fake;@;released;hillary;thank;country;2016;men;money;york;help;massive;report;city;investigation;job;media;military;story;woman;former;senator;history;power;possible;democratic;kansas;fight;work;part;court;campaign;finally;nothing;proud;big;election;year;friend;looking;women;j;america;clinton;thing;trade;article;democrats;americans;million;hard;support;trumps;supreme;monday;poll;may;police;washington;crime;political;ukraine;times;plan;another;medical;home;pay;friends;best
great;0;12;14;10;8;12;4;0;4;6;16;8;8;4;2;2;0;2;8;8;0;4;0;10;2;0;0;4;0;2;2;2;0;0;10;8;0;6;0;0;2;0;6;4;0;4;0;6;0;0;2;2;4;2;0;0;0;2;4;0;0;0;2;0;4;2;0;0;6;6;4;2;4;0;6;2;2;4;2;0;0;6;0;0;0;0;0;0;2;2;2;0;0;0;2;2;0;0;0;4
trump;0;0;30;4;2;8;4;8;8;12;2;8;2;8;24;2;8;6;4;4;6;8;6;4;6;2;2;0;6;8;6;0;0;0;2;2;6;2;0;6;4;2;0;0;2;4;4;0;0;0;6;0;4;0;4;4;2;2;2;0;2;6;2;2;0;4;4;0;2;6;0;8;0;0;0;2;2;4;2;0;2;0;4;2;4;2;2;0;2;0;4;0;4;2;2;2;0;2;0;2
president;0;0;0;8;8;6;6;8;4;4;0;6;4;4;12;6;2;8;6;6;6;0;8;6;8;2;2;0;2;0;4;2;2;0;2;0;6;2;0;2;0;2;0;0;2;0;4;0;2;0;6;0;0;0;6;0;0;4;0;0;4;4;4;0;0;2;2;0;0;4;0;2;0;0;0;0;0;0;0;0;0;2;10;2;4;0;0;0;0;0;2;0;0;2;0;2;2;2;0;2
united;0;0;0;0;44;8;4;4;2;4;2;2;12;2;0;4;0;2;2;2;0;0;2;0;2;2;0;0;0;0;0;2;6;2;6;2;2;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;4;0;2;4;0;0;0;0;0;0;0;0;4;2;0;4;0;2;0;0;0;2;0;4;2;0;0;0;2;0;0;4;0;0;0;0;0;0;0;2
states;0;0;0;0;0;8;6;6;2;8;2;0;10;4;0;6;0;0;2;2;0;0;2;0;0;2;2;0;2;0;0;0;6;2;4;2;2;0;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;4;4;0;0;0;0;0;0;0;0;4;2;0;2;0;2;0;0;0;2;0;2;4;0;2;0;2;0;0;4;0;0;0;0;0;0;0;0
people;0;0;0;0;0;0;2;4;0;2;8;2;4;4;4;0;2;4;2;0;0;0;6;0;0;4;2;2;2;2;2;0;2;0;4;2;2;0;0;0;4;2;2;0;0;2;2;2;0;2;0;2;0;6;2;2;2;0;0;0;0;2;2;0;4;2;2;0;0;2;0;2;0;0;2;0;0;2;0;0;2;4;2;0;0;0;2;4;0;0;0;0;0;0;2;0;0;0;0;2
federal;0;0;0;0;0;0;0;4;0;0;2;0;0;10;4;0;2;4;0;0;2;0;0;0;4;0;4;0;4;0;0;0;0;2;0;0;4;0;4;2;2;4;0;2;4;0;0;0;2;0;0;2;0;0;2;0;2;2;0;0;4;4;0;6;0;2;2;0;0;2;0;0;2;2;2;2;0;0;2;4;0;0;6;2;2;0;2;0;0;2;2;0;0;0;0;0;0;2;0;0
house;0;0;0;0;0;0;0;0;2;0;2;2;0;2;4;2;4;0;2;4;0;2;18;2;0;0;4;0;8;4;2;0;2;2;2;2;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0
new;0;0;0;0;0;0;0;0;0;4;2;4;4;0;4;4;2;0;2;2;0;0;2;2;0;2;0;0;0;0;2;0;2;0;0;0;2;0;2;14;2;0;0;0;0;2;2;0;2;0;0;2;4;0;0;2;0;2;0;2;0;4;2;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;4;2;0;0;0;0;0;6;2;0;2;0;0;0;8;2;4;2;2;4;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;4;0;2;4;18;2;2;0;0;2;0;0;0;2;0;0;2;0;0;2;0;4;0;0;0;2;0;0;0;4;0;2;0;0;0;0;0;2;0;2;2;2;0;2;0;0;0;0;0;0;0;4;2;0;4;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;2;0;4;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0
