;president;great;new;national;federal;people;states;trump;united;state;obama;election;working;media;fbi;deal;house;court;work;democrats;2;republican;rates;hard;released;donald;american;asked;nfl;story;job;justice;government;support;bill;death;saturday;supreme;country;agenda;poll;love;times;party;department;killed;white;called;congress;reserve;americans;weekend;vice;administration;director;massive;big;safe;proud;help;midst;complaint;mayor;james;left;important;september;continue;hillary;another;trying;economy;political;wall;jack;power;chief;2016;investigation;conference;#maga;city;good;apple;thank;nation;schools;stop;complete;dog;north;treatment;news;numbers;announce;still;bernie;without;street;article
president;0;4;2;2;2;0;4;12;6;6;6;4;2;2;6;0;4;4;2;0;0;2;0;2;2;4;2;4;0;0;0;2;2;0;0;0;0;2;0;0;0;0;4;0;0;0;2;2;0;0;2;2;4;0;4;2;0;2;0;0;0;0;0;4;0;2;0;4;0;0;0;0;2;0;0;0;4;0;2;2;0;2;2;0;0;0;0;4;4;0;4;2;2;0;0;2;0;0;0;0
great;0;0;2;0;2;4;2;4;0;6;0;2;6;2;0;2;0;2;2;2;2;2;2;4;0;2;0;0;0;0;6;2;0;4;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;4;0;0;2;2;2;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;2;2;2;0;0;4;0;2;2;0;2;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;2;0
new;0;0;0;8;4;0;4;2;2;0;2;4;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;4;0;2;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;4;0;2;0;0;0;0;2;2;0;0;0;0;0;2;2;2;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;4;0;0;0;2;4
national;0;0;0;0;4;0;2;0;0;0;8;2;0;0;0;2;2;0;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;2;0;0;0;2;2;0;0;0;2;4;2;2;0;2;0;0;0;4;0;0;2;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;2;2
federal;0;0;0;0;0;0;2;2;2;2;2;2;0;0;0;0;2;4;0;0;4;0;6;0;0;2;2;0;2;0;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;2;2;0;0;6;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
people;0;0;0;0;0;0;2;0;2;2;2;2;4;0;0;0;2;0;4;0;0;2;0;2;0;0;2;0;0;0;2;2;2;2;2;0;2;0;0;4;0;0;0;2;2;2;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;0;2;0;0;4;0;0;0;4;2;2;0;0;0;0;2;0;0;2;0;0;0;0;2
states;0;0;0;0;0;0;0;0;14;0;4;0;6;0;0;2;0;2;2;4;4;0;0;2;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;4;0;0;2;0;0;0;2;2;0;0;0;0;0;4;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
trump;0;0;0;0;0;0;0;0;2;4;0;4;2;2;4;0;0;0;2;0;0;2;0;2;0;8;0;2;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;2;2;2;2;0;2;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0
united;0;0;0;0;0;0;0;0;0;0;4;0;4;2;0;0;0;2;2;2;0;0;0;2;0;2;2;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;2;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2
state;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;0;0;0;2;0;2;4;2;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;2;2;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
obama;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;4;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;2;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;4;2;2;4;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;2;4
election;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;4;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;2;0;0;4;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;2;2;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;2;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0
