;united;states;people;president;government;national;new;great;house;white;news;department;trump;state;senate;article;security;iran;russia;job;lot;committee;federal;game;could;love;order;approved;young;good;republicans;fact;work;california;may;post;york;hotline;called;means;fake;service;justice;man;disaster;congressman;middle;clinton;looking;country;university;watching;minnesota;jeff;matter;class;powerful;social;following;player;2016;travel;10;bad;letter;enough;reason;agency;recent;actively;coming;working;saw;debate;provide;trained;leave;democrat;making;thursday;sanders;republic;american;fellow;treated;city;book;congress;hillary;police;campaign;friend;night;support;bernie;democratic;bombing;convention;times;close
united;0;32;4;4;2;0;0;0;2;0;4;2;2;6;4;0;0;4;2;0;0;2;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2;2;4;0;0;6;0;2;0;0;2;0;2;0;0;0;0;2;0;2;0;0;0;2;2;0;0;2;0;2;2;2;2;0;0;2;0;4;0;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;2;2
states;0;0;4;4;2;0;0;0;2;0;4;2;2;6;4;0;0;4;2;0;0;2;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2;2;4;0;0;6;0;2;0;0;2;0;2;0;0;0;0;2;0;2;0;0;0;2;2;0;0;2;0;2;2;2;2;0;0;2;0;4;0;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;2;2
people;0;0;0;2;2;2;0;0;2;4;2;4;0;2;0;0;2;0;0;2;4;0;2;2;2;0;2;0;0;4;2;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0
president;0;0;0;0;0;2;0;4;0;0;2;2;8;2;2;0;0;2;4;2;0;2;4;0;4;2;2;2;0;0;2;2;0;0;0;0;0;2;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;2;0;0;2;0;0;2;2;2;0;0;0;0
government;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;2;4;0;0;0;0;0;4;0;2;0;2;0;0;0;2;0;2;0;0;0;0;0;4;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
national;0;0;0;0;0;0;0;0;2;4;0;2;0;2;0;2;4;0;0;0;2;6;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;4;0;0;4;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;2;0;0;0;2;4;0;2;0;0
new;0;0;0;0;0;0;0;2;0;0;0;0;0;4;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;2;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;2;2
great;0;0;0;0;0;0;0;0;4;2;2;0;2;2;2;0;0;0;0;6;0;0;0;0;2;4;0;0;0;0;0;6;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;6;2;2;0;0;4;0;2;0;0;2;0;4;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0
white;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
