;great;trump;united;president;states;news;national;new;people;article;help;working;end;world;media;russia;city;election;senate;man;accused;debate;federal;state;fake;thank;scrolls;house;daily;hard;reports;monday;michael;special;dallas;hoax;white;republican;american;uespwiki;asked;texas;democrats;speaks;million;security;thing;use;death;police;job;elder;best;big;work;source;fan;presidential;washington;campaign;horrible;closely;secret;party;pete;year;investigation;country;amazing;justice;bank;absolutely;kos;veterans;killed;unfortunately;app;tax;@foxnews;vote;using;latest;released;thursday;team;committee;testing;clear;find;friend;dangerous;matter;chief;manager;court;given;everyone;stay;south;wednesday
great;0;2;0;6;0;2;2;4;2;0;4;4;0;0;2;0;0;2;0;0;0;0;0;4;0;2;0;0;0;4;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;2;2;2;0;2;2;0;2;2;2;0;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0
trump;0;0;0;6;0;2;4;2;0;0;0;0;0;0;0;4;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;2;0;0;4;0;2;2;0;4;0;0;0;0;2;0;0;2;0;0;0;2;0;6;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;2
united;0;0;0;4;18;2;0;0;2;0;2;2;0;2;0;0;0;0;0;2;0;0;2;0;0;4;0;0;0;0;0;0;0;2;0;0;2;0;4;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;4;2;4;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;4;2;0;4;0;0
president;0;0;0;0;4;4;4;2;0;0;0;0;2;0;0;2;0;4;2;0;0;0;2;2;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;4;2;0;0;0;4;0;0;0;2;2;0;0;2;0;0;0;4;0;0;4;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;2;0;4;0;0;0;0;0;0;0;0;0;2
states;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;4;0;4;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;0;0;4;0;0
news;0;0;0;0;0;0;2;2;2;0;0;0;0;0;6;2;0;0;2;0;0;2;2;4;10;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;4;0;0;0;2;0;0;2;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
national;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0
new;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;2;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
people;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;0;2;2;2;0;0
article;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;8;0;0;0;0;2;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
