;united;president;states;new;great;people;trump;government;news;state;national;american;man;world;federal;obama;party;house;fake;white;working;country;york;republican;good;department;media;russia;big;administration;city;democrats;love;year;called;best;help;job;end;work;thank;war;hard;police;trying;americans;presidential;nothing;election;court;military;security;fbi;senate;thing;friend;donald;article;million;released;america;committee;china;huge;justice;tuesday;economy;republicans;team;political;vote;2016;supreme;night;former;congress;thursday;saturday;hillary;killed;history;post;fact;may;take;left;radical;continue;second;part;black;live;russian;bernie;law;lot;video;times;campaign;provide
united;0;42;150;8;14;18;14;16;8;10;4;12;10;18;8;8;2;8;2;2;10;16;2;6;8;4;4;14;0;12;2;8;0;4;4;2;2;2;2;2;6;4;4;6;2;4;4;6;2;10;8;2;4;4;2;2;2;0;2;0;4;2;10;0;0;4;4;0;0;4;4;2;6;2;0;2;6;0;8;8;6;0;2;2;4;0;4;6;2;0;6;0;2;2;2;0;2;2;4;2
president;0;0;40;10;22;16;62;14;10;10;14;8;8;6;12;22;2;6;4;2;0;4;2;2;8;10;4;14;6;4;0;6;4;4;10;4;2;10;6;2;0;0;0;2;6;4;8;10;8;4;2;4;6;4;8;4;6;0;0;6;0;6;6;2;10;2;2;6;0;2;2;8;4;0;14;2;6;2;8;0;4;2;8;0;2;8;8;4;2;2;2;0;4;4;6;0;2;2;10;0
states;0;0;0;6;16;16;12;20;8;10;4;10;8;14;12;8;2;6;2;2;8;12;2;4;6;6;6;14;0;12;4;8;0;2;4;2;0;4;2;4;4;4;4;4;2;6;4;4;2;14;8;2;4;4;0;2;2;0;2;0;4;2;10;2;0;2;2;0;0;4;4;2;6;2;0;4;8;0;8;6;4;0;2;0;4;0;2;6;0;0;4;0;2;2;2;0;2;2;4;2
new;0;0;0;0;16;14;8;10;8;10;4;8;2;4;4;8;2;4;4;2;8;6;48;2;2;10;0;4;2;10;8;6;2;4;6;6;2;2;2;2;0;0;6;0;0;4;10;4;2;0;0;2;2;2;2;0;4;4;4;8;4;0;0;4;8;0;4;4;4;0;0;0;0;2;4;4;0;4;4;0;2;6;4;2;0;8;6;2;2;4;2;8;2;2;2;8;2;14;4;2
great;0;0;0;0;0;18;14;4;18;14;8;12;4;6;8;6;2;10;6;6;10;8;4;4;2;0;8;0;4;6;2;6;18;6;0;4;6;20;6;10;2;2;10;2;0;8;0;0;4;0;4;2;0;10;8;10;2;0;2;2;6;2;0;2;0;0;4;0;0;2;2;2;0;0;4;2;2;0;0;0;0;2;12;2;2;4;4;2;4;4;2;4;0;4;2;0;2;6;2;0
people;0;0;0;0;0;0;16;10;8;12;8;26;6;6;8;2;8;6;0;8;14;12;0;8;8;6;4;2;2;2;0;2;0;0;8;6;12;8;10;6;6;2;10;2;2;2;2;4;2;2;0;4;2;2;6;0;4;2;2;2;4;2;4;2;4;0;4;2;0;8;2;0;2;4;0;4;4;4;2;4;2;0;2;4;4;0;0;0;2;4;2;8;2;2;2;10;4;0;0;0
trump;0;0;0;0;0;0;0;6;12;2;10;6;2;4;2;0;6;8;6;4;2;0;4;4;4;4;6;12;6;8;0;10;2;8;4;4;0;8;0;2;0;6;2;0;6;6;6;8;6;2;0;6;2;8;2;0;28;0;0;6;2;10;6;2;8;4;2;6;0;4;6;10;4;0;6;2;6;0;2;0;2;8;4;2;0;2;6;0;2;2;2;2;4;0;2;0;4;4;10;0
government;0;0;0;0;0;0;0;0;6;4;2;4;0;8;26;8;0;2;2;0;8;0;2;2;4;4;0;2;4;4;2;2;0;2;6;0;6;8;2;8;0;4;2;0;0;10;0;0;4;2;4;4;2;0;0;2;2;2;6;2;0;2;2;0;0;0;8;2;2;0;0;0;2;0;4;6;0;0;4;2;0;4;0;2;2;0;0;4;0;0;2;0;4;0;0;0;2;2;0;6
news;0;0;0;0;0;0;0;0;0;6;8;2;2;2;4;4;2;4;48;4;0;8;2;2;8;0;22;6;10;4;0;6;6;2;2;2;0;2;0;2;0;2;2;0;6;2;4;4;2;0;0;4;2;2;4;4;4;0;0;0;4;2;0;0;2;0;0;2;2;8;2;0;0;2;2;2;2;2;0;0;0;2;0;2;0;2;2;2;2;0;2;0;4;0;0;0;0;2;2;0
state;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;10;6;6;2;2;4;2;4;4;2;12;2;0;2;4;8;0;12;2;8;2;4;0;2;0;4;0;4;4;2;0;0;2;0;2;2;0;2;2;0;0;0;0;2;2;0;4;0;0;2;2;2;0;0;2;0;2;2;2;2;4;0;0;2;0;0;0;2;2;0;0;0;2;0;2;0;2;0;0;2;2;0;0;0;2
national;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;2;4;0;4;6;2;0;14;8;2;0;0;2;0;0;4;2;6;2;0;4;2;2;0;4;0;2;0;2;4;2;2;4;2;0;16;4;4;0;0;0;2;2;4;0;16;0;2;0;2;0;2;2;0;2;8;0;0;6;0;4;2;2;0;2;2;0;2;2;0;0;0;4;2;0;0;2;4;2;2;4;0;2;0
american;0;0;0;0;0;0;0;0;0;0;0;0;4;4;6;4;2;6;0;2;8;0;4;0;4;2;0;4;4;4;2;0;2;0;4;2;4;2;2;4;4;2;6;2;2;6;2;4;4;4;0;2;0;2;2;4;0;2;0;2;2;0;0;0;0;0;0;0;0;4;4;0;2;2;0;4;2;2;0;2;2;4;0;0;0;0;4;0;4;4;0;4;0;0;2;2;0;4;0;0
man;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;4;0;0;2;2;0;4;0;0;4;0;0;0;2;2;4;2;0;2;2;0;2;0;2;0;4;2;0;16;0;0;0;2;0;4;0;0;0;0;0;0;0;0;2;0;4;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;4;0;8;0;0;0;0;4;0;0;0;2;4;2;0;0;0;0;0;4;0;0;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;2;2;0;0;2;0;0;0;2;0;4;2;0;2;4;0;8;0;0;0;4;0;2;0;0;0;0;0;0;2;0;2;0;2;0;6;0;2;2;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;2;2;0;2;0;2;0;2;0;0;2;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;2;2;4;0;2;2;4;6;0;2;2;2;2;0;0;2;4;2;4;8;2;2;0;0;4;2;0;8;0;2;2;4;0;0;0;0;2;0;2;4;6;0;0;4;0;2;0;0;6;0;0;0;4;2;2;0;2;4;2;0;0;0;0;0;0;2;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;2
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;2;0;4;0;0;4;0;0;10;26;0;0;0;4;6;0;0;2;4;0;2;0;2;0;2;2;2;0;2;0;2;0;0;0;2;0;0;2;0;2;2;0;2;2;2;2;6;2;0;0;0;0;0;2;4;0;0;2;0;2;2;2;2;0;6;0;2;2;0;4;0;0;4;0;6;0;0;6;2;0
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;14;0;2;4;4;2;0;2;2;0;0;6;2;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;2;4;2;0;0;0;0;0;2;6;0;4;0;2;0;4;0;4;2;0;0;2;0;0;2;0;4;0;2;0;2;0;0;0;0;0;0;0;0;2;2;2;0;4;0;0;2;0
