;states;people;united;great;state;government;new;president;youthank;party;city;trump;year;story;good;federal;stop;morning;south;best;world;white;partnership;fired;man;republican;russian;syria;announce;usa;history;number;department;team;biggest;big;work;video;trying;house;media;military;police;proud;john;china;executive;source;real;islamic;congress;warriors;facebook;taxes;help;budget;group;blue;houston;deliver;continue;leader;american;gone;fake;saturday;exactly;democrat;post;thousands;bannon;twitter;support;immediately;picture;news;huge;believe;necessary;country;still;please;tobacco;using;kevin;steve;america;businesses;washington;night;thursday;put;thank;national;billion;administration;rights;thing;vote;end
states;0;2;20;4;0;4;0;2;0;0;4;0;0;2;2;2;4;0;2;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;4;2;0;0;2;2;2;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;4;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0
people;0;0;2;2;2;4;0;2;0;2;0;4;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0;2;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2
united;0;0;0;2;0;4;0;2;0;0;2;0;0;0;2;2;4;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;2;2;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;4;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0
great;0;0;0;0;4;0;0;0;0;0;2;0;0;4;0;2;2;4;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;4;2;0;0;0;2;0;0;0;0;2;0;0;0;0;2;4;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0
state;0;0;0;0;0;4;2;2;0;0;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;2;4;0;4;0;0;2;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0
government;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;6;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;2;0;2;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
new;0;0;0;0;0;0;0;2;0;0;2;0;4;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;4;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2
president;0;0;0;0;0;0;0;0;0;0;0;8;0;0;2;0;2;0;0;4;0;2;0;0;0;0;0;0;0;4;2;0;2;0;2;0;0;0;2;4;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;2;0;0
youthank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
