;united;states;trump;people;government;country;president;great;world;federal;house;nations;washington;police;fbi;russia;law;man;security;military;threat;wrong;money;administration;usa;former;post;news;shooting;investigation;national;department;director;working;russian;presidential;shot;north;assembly;sharks;donald;approved;love;james;enforcement;committee;china;leading;place;early;totally;2016;americans;election;new;stop;used;complete;leader;able;player;state;congress;across;pay;train;senate;another;call;putting;mph;making;justice;times;white;death;economy;group;san;flynn;support;media;spending;proud;months;reuters;sunday;meet;request;general;possible;business;mouth;carolina;stay;party;official;eurosystem;history;mitch
united;0;28;2;4;8;2;4;4;4;2;0;6;2;0;0;4;0;0;0;0;2;2;2;0;0;0;6;0;0;0;0;0;0;2;6;2;0;0;2;0;2;0;0;0;0;0;2;2;2;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;0
states;0;0;2;6;8;2;4;4;4;0;0;4;2;0;0;4;2;0;0;0;2;2;2;0;0;0;6;0;0;0;0;0;0;2;6;2;0;2;0;0;2;0;0;0;0;0;0;2;2;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;2;2;2;0;0
trump;0;0;0;6;0;2;12;2;0;2;6;0;2;0;0;0;0;2;0;0;0;2;2;6;0;0;4;2;2;2;0;4;0;0;0;2;0;0;0;0;6;0;0;0;0;2;2;0;2;0;0;0;2;2;2;0;4;0;2;0;0;0;0;0;0;0;2;4;0;2;0;2;2;0;4;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;2;0;2;2;0;0;0;2
people;0;0;0;0;2;0;2;2;2;2;2;0;4;2;0;0;2;2;2;0;2;0;4;2;0;0;2;0;2;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;2;0;2;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;2;2;0;0;2;2;0;2;2;0;0;6;0;0;2
government;0;0;0;0;0;2;0;0;0;6;4;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
country;0;0;0;0;0;0;2;2;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
president;0;0;0;0;0;0;0;2;0;2;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
great;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
world;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;4;0;0;2;2;0;0;0;0;0;2;0;4;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0
